Time,Call Sign,Altitude (ft),Speed (knots),Engine Performance,Deviation from Flight Path (nm),Fuel Efficiency (kg/hour)
00:53:00,UAE201,13623,482,Abnormal,3,1543
00:53:30,UAE201,39245,451,Normal,4,2375
00:54:00,UAE201,13727,421,Abnormal,5,1322
00:54:30,UAE201,13477,473,Normal,3,334
00:55:00,UAE201,39946,441,Normal,5,1859
00:55:30,UAE201,8576,422,Normal,5,1604
00:56:00,UAE201,31270,462,Normal,0,2433
00:56:30,UAE201,26645,498,Normal,4,2538
00:57:00,UAE201,18177,499,Abnormal,5,120
00:57:30,UAE201,30939,467,Abnormal,3,2855
00:58:00,UAE201,23849,464,Abnormal,3,628
00:58:30,UAE201,8640,495,Normal,3,2789
00:59:00,UAE201,10272,452,Abnormal,5,1112
00:59:30,UAE201,7110,440,Abnormal,1,942
01:00:00,UAE201,39388,404,Normal,1,768
01:00:30,UAE201,32742,450,Normal,5,1216
01:01:00,UAE201,22913,425,Abnormal,5,1443
01:01:30,UAE201,23211,416,Abnormal,2,2950
01:02:00,UAE201,14247,429,Abnormal,2,1132
01:02:30,UAE201,39481,486,Abnormal,3,1883
01:03:00,UAE201,32103,439,Normal,5,2459
01:03:30,UAE201,17408,431,Abnormal,5,1868
01:04:00,UAE201,38939,429,Abnormal,3,1288
01:04:30,UAE201,16355,479,Normal,2,1133
01:05:00,UAE201,28498,498,Normal,3,292
01:05:30,UAE201,33745,468,Abnormal,5,1478
01:06:00,UAE201,14438,483,Abnormal,4,669
01:06:30,UAE201,11804,408,Abnormal,2,585
01:07:00,UAE201,26912,469,Normal,2,1135
01:07:30,UAE201,38375,404,Normal,4,1047
01:08:00,UAE201,13561,407,Abnormal,1,2553
01:08:30,UAE201,11159,499,Normal,1,851
01:09:00,UAE201,7232,430,Abnormal,4,1681
01:09:30,UAE201,24556,405,Abnormal,2,911
01:10:00,UAE201,30051,452,Normal,3,2234
01:10:30,UAE201,25189,402,Abnormal,3,2372
01:11:00,UAE201,9473,480,Normal,0,2294
01:11:30,UAE201,37769,400,Normal,1,1410
01:12:00,UAE201,7661,497,Normal,1,410
01:12:30,UAE201,18107,438,Normal,5,2042
01:13:00,UAE201,25799,438,Normal,1,946
01:13:30,UAE201,9102,492,Normal,4,2935
01:14:00,UAE201,38688,414,Normal,0,689
01:14:30,UAE201,37318,444,Normal,4,1811
01:15:00,UAE201,16992,468,Abnormal,5,142
01:15:30,UAE201,25661,437,Normal,5,943
01:16:00,UAE201,22398,464,Abnormal,3,283
01:16:30,UAE201,21454,414,Normal,4,280
01:17:00,UAE201,18376,462,Normal,4,883
01:17:30,UAE201,6550,460,Abnormal,3,1948
01:18:00,UAE201,33997,483,Abnormal,2,1796
01:18:30,UAE201,7070,466,Normal,3,589
01:19:00,UAE201,12119,472,Normal,5,1199
01:19:30,UAE201,27583,429,Abnormal,2,427
01:20:00,UAE201,34993,422,Abnormal,1,2008
01:20:30,UAE201,35527,448,Abnormal,4,1200
01:21:00,UAE201,8389,458,Abnormal,2,2746
01:21:30,UAE201,8974,413,Normal,2,2591
01:22:00,UAE201,39238,496,Normal,4,1207
01:22:30,UAE201,6254,455,Normal,1,1904
01:23:00,UAE201,21546,418,Abnormal,1,1768
01:23:30,UAE201,25503,416,Abnormal,2,1245
01:24:00,UAE201,11329,456,Normal,1,210
01:24:30,UAE201,29738,418,Normal,1,2586
01:25:00,UAE201,22892,459,Abnormal,1,2312
01:25:30,UAE201,31583,413,Normal,0,2605
01:26:00,UAE201,5951,451,Abnormal,4,1121
01:26:30,UAE201,21208,461,Normal,4,500
01:27:00,UAE201,16279,466,Abnormal,0,1190
01:27:30,UAE201,33015,448,Normal,2,1173
01:28:00,UAE201,16841,427,Normal,1,2092
01:28:30,UAE201,5200,418,Normal,3,634
01:29:00,UAE201,26261,410,Abnormal,5,266
01:29:30,UAE201,5454,461,Normal,3,164
01:30:00,UAE201,14542,465,Normal,1,1633
01:30:30,UAE201,8792,413,Abnormal,3,2470
01:31:00,UAE201,25728,461,Normal,1,2591
01:31:30,UAE201,23795,477,Normal,4,1290
01:32:00,UAE201,24110,426,Normal,1,2136
01:32:30,UAE201,23901,443,Abnormal,1,2589
01:33:00,UAE201,11321,459,Abnormal,3,2805
01:33:30,UAE201,13668,500,Abnormal,1,549
01:34:00,UAE201,14345,482,Abnormal,1,592
01:34:30,UAE201,24439,459,Normal,2,1653
01:35:00,UAE201,27105,461,Abnormal,5,881
01:35:30,UAE201,14892,491,Abnormal,3,1833
01:36:00,UAE201,39343,486,Abnormal,5,2446
01:36:30,UAE201,17573,472,Normal,0,2798
01:37:00,UAE201,21942,499,Abnormal,0,2301
01:37:30,UAE201,19350,426,Normal,0,700
01:38:00,UAE201,23419,455,Normal,2,925
01:38:30,UAE201,10893,450,Abnormal,4,215
01:39:00,UAE201,39577,453,Normal,1,2644
01:39:30,UAE201,31179,499,Normal,1,2735
01:40:00,UAE201,38931,470,Normal,0,1863
01:40:30,UAE201,17662,495,Abnormal,4,1583
01:41:00,UAE201,11207,441,Normal,4,2691
01:41:30,UAE201,26713,405,Normal,2,2942
01:42:00,UAE201,29852,438,Abnormal,0,762
01:42:30,UAE201,39191,441,Abnormal,1,2597
01:43:00,UAE201,37161,482,Abnormal,5,1674
01:43:30,UAE201,38404,434,Abnormal,2,1989
01:44:00,UAE201,26709,480,Abnormal,5,1182
01:44:30,UAE201,21412,461,Abnormal,5,226
01:45:00,UAE201,38883,458,Normal,3,1962
01:45:30,UAE201,17069,446,Normal,0,2821
01:46:00,UAE201,20691,425,Normal,4,2798
01:46:30,UAE201,30480,470,Abnormal,1,206
01:47:00,UAE201,10731,447,Normal,5,1091
01:47:30,UAE201,14089,437,Normal,0,865
01:48:00,UAE201,28339,452,Abnormal,5,2859
01:48:30,UAE201,9644,484,Normal,5,249
01:49:00,UAE201,22218,440,Abnormal,0,1419
01:49:30,UAE201,23848,481,Abnormal,0,1657
01:50:00,UAE201,29150,496,Abnormal,5,1459
01:50:30,UAE201,15669,468,Normal,3,1647
01:51:00,UAE201,35460,484,Normal,0,2663
01:51:30,UAE201,37924,449,Normal,2,399
01:52:00,UAE201,36298,412,Abnormal,4,2946
01:52:30,UAE201,21461,489,Normal,2,312
01:53:00,UAE201,32692,447,Abnormal,5,194
01:53:30,UAE201,21453,480,Abnormal,3,1968
01:54:00,UAE201,22625,418,Normal,3,538
01:54:30,UAE201,33346,419,Abnormal,3,848
01:55:00,UAE201,33593,449,Normal,3,1491
01:55:30,UAE201,10119,460,Abnormal,0,959
01:56:00,UAE201,7902,474,Normal,0,1885
01:56:30,UAE201,37437,460,Abnormal,0,347
01:57:00,UAE201,13267,463,Abnormal,5,2700
01:57:30,UAE201,28397,432,Normal,3,2891
01:58:00,UAE201,26299,448,Normal,1,244
01:58:30,UAE201,19994,473,Normal,3,2524
01:59:00,UAE201,38725,475,Abnormal,5,2109
01:59:30,UAE201,17248,444,Abnormal,0,509
02:00:00,UAE201,37627,479,Normal,2,654
02:00:30,UAE201,21069,426,Abnormal,3,2774
02:01:00,UAE201,26379,498,Abnormal,1,1524
02:01:30,UAE201,36849,498,Normal,3,1010
02:02:00,UAE201,9014,422,Normal,0,177
02:02:30,UAE201,39926,408,Normal,2,2596
02:03:00,UAE201,6703,452,Normal,4,2506
02:03:30,UAE201,10459,440,Abnormal,4,2218
02:04:00,UAE201,16427,442,Abnormal,1,287
02:04:30,UAE201,33039,474,Abnormal,4,566
02:05:00,UAE201,10887,447,Normal,1,2985
02:05:30,UAE201,35283,498,Abnormal,0,798
02:06:00,UAE201,17373,500,Normal,0,2787
02:06:30,UAE201,35646,483,Abnormal,2,1544
02:07:00,UAE201,12291,451,Abnormal,2,105
02:07:30,UAE201,14156,433,Abnormal,5,1233
02:08:00,UAE201,15152,472,Normal,2,490
02:08:30,UAE201,12041,444,Normal,5,2320
02:09:00,UAE201,39587,480,Abnormal,2,2551
02:09:30,UAE201,30310,466,Abnormal,3,878
02:10:00,UAE201,28178,444,Normal,1,1136
02:10:30,UAE201,25959,478,Abnormal,1,2294
02:11:00,UAE201,10673,460,Abnormal,1,640
02:11:30,UAE201,31125,433,Normal,4,546
02:12:00,UAE201,6706,484,Normal,2,789
02:12:30,UAE201,34318,481,Abnormal,4,1578
02:13:00,UAE201,10295,410,Normal,1,1183
02:13:30,UAE201,26705,453,Abnormal,3,2831
02:14:00,UAE201,22857,410,Abnormal,4,1516
02:14:30,UAE201,16153,469,Normal,1,413
02:15:00,UAE201,11532,458,Abnormal,4,1047
02:15:30,UAE201,7390,483,Abnormal,1,2587
02:16:00,UAE201,9985,403,Abnormal,3,1566
02:16:30,UAE201,25768,454,Abnormal,2,409
02:17:00,UAE201,11111,429,Normal,4,1178
02:17:30,UAE201,13472,500,Normal,3,2621
02:18:00,UAE201,21864,473,Normal,0,2371
02:18:30,UAE201,7019,447,Abnormal,2,1558
02:19:00,UAE201,27196,434,Normal,4,1086
02:19:30,UAE201,31149,445,Normal,1,2148
02:20:00,UAE201,9434,452,Normal,2,1974
02:20:30,UAE201,11412,455,Normal,2,2729
02:21:00,UAE201,12565,409,Abnormal,0,523
02:21:30,UAE201,7890,401,Abnormal,3,2464
02:22:00,UAE201,8592,494,Normal,3,1601
02:22:30,UAE201,5981,434,Abnormal,0,255
02:23:00,UAE201,36499,428,Abnormal,4,510
02:23:30,UAE201,7624,469,Normal,1,106
02:24:00,UAE201,21893,483,Normal,2,2882
02:24:30,UAE201,21407,419,Normal,2,2517
02:25:00,UAE201,20064,476,Abnormal,4,404
02:25:30,UAE201,25995,428,Normal,2,2468
02:26:00,UAE201,36803,451,Abnormal,3,2513
02:26:30,UAE201,15536,407,Abnormal,1,245
02:27:00,UAE201,10926,403,Abnormal,1,614
02:27:30,UAE201,9144,435,Abnormal,5,357
02:28:00,UAE201,23862,414,Normal,1,2019
02:28:30,UAE201,12347,459,Abnormal,5,487
02:29:00,UAE201,7304,426,Normal,2,1775
02:29:30,UAE201,14391,460,Normal,2,2607
02:30:00,UAE201,31331,495,Normal,0,1131
02:30:30,UAE201,22602,435,Normal,3,565
02:31:00,UAE201,32565,452,Abnormal,0,2550
02:31:30,UAE201,19894,442,Normal,2,1183
02:32:00,UAE201,22309,487,Normal,4,925
02:32:30,UAE201,33186,469,Normal,1,743
02:33:00,UAE201,6929,493,Normal,2,106
02:33:30,UAE201,19102,482,Normal,0,885
02:34:00,UAE201,27751,496,Abnormal,5,2532
02:34:30,UAE201,10971,405,Normal,0,810
02:35:00,UAE201,26737,489,Normal,1,2780
02:35:30,UAE201,10289,435,Abnormal,3,2067
02:36:00,UAE201,29182,463,Abnormal,4,879
02:36:30,UAE201,33204,483,Abnormal,3,2144
02:37:00,UAE201,37525,462,Normal,2,635
02:37:30,UAE201,31539,446,Normal,2,1472
02:38:00,UAE201,31052,477,Normal,4,2599
02:38:30,UAE201,7306,408,Normal,4,219
02:39:00,UAE201,29842,425,Normal,1,529
02:39:30,UAE201,26105,488,Normal,3,2876
02:40:00,UAE201,36959,499,Normal,5,2755
02:40:30,UAE201,19281,404,Abnormal,2,842
02:41:00,UAE201,13838,476,Normal,1,2904
02:41:30,UAE201,36600,470,Normal,3,1942
02:42:00,UAE201,12811,452,Normal,3,2693
02:42:30,UAE201,26947,405,Abnormal,4,266
02:43:00,UAE201,19636,448,Abnormal,4,2115
02:43:30,UAE201,20163,445,Normal,0,311
02:44:00,UAE201,39467,449,Abnormal,2,1467
02:44:30,UAE201,16675,447,Normal,3,1899
02:45:00,UAE201,37178,458,Abnormal,3,1595
02:45:30,UAE201,6985,442,Abnormal,4,652
02:46:00,UAE201,27192,494,Normal,3,1391
02:46:30,UAE201,22333,442,Abnormal,3,2378
02:47:00,UAE201,26166,450,Abnormal,3,670
02:47:30,UAE201,16056,476,Abnormal,1,230
02:48:00,UAE201,7284,427,Abnormal,3,707
02:48:30,UAE201,37250,467,Abnormal,3,506
02:49:00,UAE201,33532,409,Normal,3,894
02:49:30,UAE201,17173,480,Abnormal,3,242
02:50:00,UAE201,5784,471,Normal,4,1371
02:50:30,UAE201,36494,437,Normal,1,565
02:51:00,UAE201,6770,487,Normal,1,1965
02:51:30,UAE201,13608,419,Normal,1,1880
02:52:00,UAE201,34096,455,Abnormal,2,926
02:52:30,UAE201,29791,410,Normal,2,1293
02:53:00,UAE201,8617,435,Abnormal,2,1332
02:53:30,UAE201,9885,500,Normal,3,551
02:54:00,UAE201,18119,413,Normal,4,2738
02:54:30,UAE201,19107,494,Normal,3,441
02:55:00,UAE201,12904,457,Abnormal,3,1430
02:55:30,UAE201,21491,424,Abnormal,4,2857
02:56:00,UAE201,31855,436,Normal,5,245
02:56:30,UAE201,11145,453,Normal,5,2618
02:57:00,UAE201,14344,467,Abnormal,5,1374
02:57:30,UAE201,28138,454,Normal,1,1967
02:58:00,UAE201,16653,474,Abnormal,3,2272
02:58:30,UAE201,37394,471,Abnormal,1,2716
02:59:00,UAE201,11868,474,Normal,1,615
02:59:30,UAE201,32561,470,Abnormal,3,1661
03:00:00,UAE201,19410,439,Abnormal,3,1263
03:00:30,UAE201,34296,444,Normal,3,1845
03:01:00,UAE201,12052,490,Normal,3,1164
03:01:30,UAE201,6675,459,Normal,2,146
03:02:00,UAE201,7551,485,Abnormal,5,263
03:02:30,UAE201,13415,433,Normal,3,826
03:03:00,UAE201,28196,434,Normal,2,1448
03:03:30,UAE201,26030,495,Abnormal,0,993
03:04:00,UAE201,18708,432,Abnormal,0,878
03:04:30,UAE201,17355,432,Normal,4,535
03:05:00,UAE201,25723,412,Normal,5,2608
03:05:30,UAE201,26441,465,Abnormal,1,1022
03:06:00,UAE201,18743,436,Abnormal,3,150
03:06:30,UAE201,29346,486,Abnormal,1,219
03:07:00,UAE201,10426,454,Normal,0,2548
03:07:30,UAE201,20524,478,Normal,1,1840
03:08:00,UAE201,39353,459,Normal,1,2728
03:08:30,UAE201,5714,442,Normal,3,1820
03:09:00,UAE201,6663,423,Normal,3,1470
03:09:30,UAE201,17729,437,Normal,1,2473
03:10:00,UAE201,26543,465,Normal,1,231
03:10:30,UAE201,25833,494,Abnormal,3,1490
03:11:00,UAE201,39722,452,Abnormal,4,116
03:11:30,UAE201,35599,491,Abnormal,4,549
03:12:00,UAE201,32503,448,Abnormal,0,1759
03:12:30,UAE201,37296,482,Abnormal,1,1362
03:13:00,UAE201,17470,471,Abnormal,0,1251
03:13:30,UAE201,11492,500,Abnormal,1,2399
03:14:00,UAE201,22923,410,Abnormal,5,2877
03:14:30,UAE201,37056,459,Normal,2,1656
03:15:00,UAE201,14358,458,Normal,1,1084
03:15:30,UAE201,21691,448,Normal,2,2794
03:16:00,UAE201,24589,422,Abnormal,5,2102
03:16:30,UAE201,31469,416,Normal,2,146
03:17:00,UAE201,6553,491,Abnormal,5,1152
03:17:30,UAE201,16475,440,Normal,1,2563
03:18:00,UAE201,6419,434,Abnormal,1,114
03:18:30,UAE201,17862,465,Normal,5,2009
03:19:00,UAE201,25825,457,Normal,3,2677
03:19:30,UAE201,5697,411,Abnormal,5,1260
03:20:00,UAE201,28438,412,Abnormal,2,2584
03:20:30,UAE201,24270,466,Normal,2,2283
03:21:00,UAE201,14550,436,Normal,4,2517
03:21:30,UAE201,14339,420,Abnormal,2,2845
03:22:00,UAE201,27579,415,Normal,0,2459
03:22:30,UAE201,5472,402,Normal,3,2668
03:23:00,UAE201,8070,477,Normal,3,2361
03:23:30,UAE201,22014,453,Abnormal,4,1287
03:24:00,UAE201,35244,422,Normal,0,2337
03:24:30,UAE201,39834,475,Normal,5,2408
03:25:00,UAE201,26678,452,Abnormal,1,590
03:25:30,UAE201,26689,415,Abnormal,4,1417
03:26:00,UAE201,10952,448,Abnormal,4,2439
03:26:30,UAE201,24842,454,Abnormal,1,127
03:27:00,UAE201,38349,490,Abnormal,2,2538
03:27:30,UAE201,35480,431,Abnormal,5,2488
03:28:00,UAE201,31684,410,Normal,3,1717
03:28:30,UAE201,37322,425,Normal,5,2444
03:29:00,UAE201,25796,497,Abnormal,0,114
03:29:30,UAE201,19678,463,Normal,0,464
03:30:00,UAE201,24762,439,Abnormal,5,1137
03:30:30,UAE201,13102,482,Normal,5,2011
03:31:00,UAE201,7969,480,Abnormal,4,116
03:31:30,UAE201,28075,413,Normal,2,695
03:32:00,UAE201,7001,452,Normal,1,1660
03:32:30,UAE201,10139,498,Normal,3,2629
03:33:00,UAE201,18714,414,Normal,4,536
03:33:30,UAE201,29130,452,Normal,5,262
03:34:00,UAE201,10567,422,Normal,3,448
03:34:30,UAE201,5744,498,Normal,1,2015
03:35:00,UAE201,29414,424,Normal,2,386
03:35:30,UAE201,39751,471,Normal,3,2403
03:36:00,UAE201,18924,468,Abnormal,3,2260
03:36:30,UAE201,21869,489,Abnormal,4,1550
03:37:00,UAE201,21186,451,Abnormal,0,2023
03:37:30,UAE201,13246,403,Normal,3,1933
03:38:00,UAE201,9802,453,Normal,2,881
03:38:30,UAE201,13181,463,Abnormal,3,1570
03:39:00,UAE201,39011,458,Abnormal,3,868
03:39:30,UAE201,8949,459,Normal,0,811
03:40:00,UAE201,31913,443,Normal,1,276
03:40:30,UAE201,30627,443,Abnormal,2,1706
03:41:00,UAE201,15640,420,Abnormal,4,2492
03:41:30,UAE201,12151,458,Normal,5,1436
03:42:00,UAE201,5314,422,Normal,2,2423
03:42:30,UAE201,21523,465,Normal,5,871
03:43:00,UAE201,30382,473,Abnormal,2,2022
03:43:30,UAE201,21122,466,Normal,2,131
03:44:00,UAE201,36591,409,Abnormal,5,2140
03:44:30,UAE201,9035,407,Normal,4,1200
03:45:00,UAE201,25619,472,Normal,2,2841
03:45:30,UAE201,14767,413,Abnormal,0,596
03:46:00,UAE201,12741,406,Normal,4,1259
03:46:30,UAE201,12328,437,Abnormal,2,1147
03:47:00,UAE201,27710,450,Normal,1,1349
03:47:30,UAE201,30302,407,Normal,3,2710
03:48:00,UAE201,8644,439,Abnormal,0,502
03:48:30,UAE201,11041,467,Abnormal,3,710
03:49:00,UAE201,26927,416,Abnormal,2,1819
03:49:30,UAE201,13199,410,Normal,3,1723
03:50:00,UAE201,38352,405,Normal,5,1039
03:50:30,UAE201,38250,494,Abnormal,0,2457
03:51:00,UAE201,13384,494,Abnormal,5,2446
03:51:30,UAE201,18740,459,Abnormal,5,1395
03:52:00,UAE201,39096,468,Abnormal,0,1946
03:52:30,UAE201,10307,430,Normal,0,379
03:53:00,UAE201,25794,429,Abnormal,2,2808
03:53:30,UAE201,16408,459,Normal,5,2168
03:54:00,UAE201,14336,450,Abnormal,5,863
03:54:30,UAE201,15009,463,Abnormal,3,2512
03:55:00,UAE201,26601,429,Abnormal,0,2440
03:55:30,UAE201,17361,467,Abnormal,1,229
03:56:00,UAE201,21168,416,Normal,2,642
03:56:30,UAE201,13458,426,Normal,4,1035
03:57:00,UAE201,29893,435,Normal,2,1904
03:57:30,UAE201,24251,442,Abnormal,5,2023
03:58:00,UAE201,11932,415,Abnormal,0,1434
03:58:30,UAE201,26006,430,Abnormal,1,2234
03:59:00,UAE201,17037,403,Abnormal,2,2219
03:59:30,UAE201,8316,453,Abnormal,2,1225
04:00:00,UAE201,18836,405,Normal,1,1894
04:00:30,UAE201,12318,410,Abnormal,0,1613
04:01:00,UAE201,12030,489,Abnormal,4,2949
04:01:30,UAE201,5129,424,Normal,3,1211
04:02:00,UAE201,9387,469,Abnormal,3,912
04:02:30,UAE201,38552,500,Normal,2,1520
04:03:00,UAE201,29259,468,Abnormal,1,976
04:03:30,UAE201,14823,419,Normal,0,1441
04:04:00,UAE201,11767,412,Abnormal,1,2389
04:04:30,UAE201,15117,441,Abnormal,3,2350
04:05:00,UAE201,33603,492,Abnormal,2,2914
04:05:30,UAE201,38901,434,Normal,3,1741
04:06:00,UAE201,23200,434,Abnormal,0,1581
04:06:30,UAE201,39288,404,Normal,0,1854
04:07:00,UAE201,35095,478,Normal,0,162
04:07:30,UAE201,35765,428,Normal,3,2784
04:08:00,UAE201,29795,483,Normal,5,1121
04:08:30,UAE201,6970,456,Abnormal,2,1215
04:09:00,UAE201,31963,485,Abnormal,0,2562
04:09:30,UAE201,9863,456,Normal,5,2986
04:10:00,UAE201,32299,499,Abnormal,5,2391
04:10:30,UAE201,12996,444,Normal,0,1739
04:11:00,UAE201,9729,410,Normal,3,277
04:11:30,UAE201,14679,409,Abnormal,4,666
04:12:00,UAE201,29426,468,Abnormal,4,1675
04:12:30,UAE201,16212,429,Normal,0,371
04:13:00,UAE201,36170,480,Normal,5,2805
04:13:30,UAE201,34859,470,Abnormal,5,811
04:14:00,UAE201,11275,499,Normal,3,1129
04:14:30,UAE201,8648,400,Abnormal,5,1443
04:15:00,UAE201,27596,490,Abnormal,4,2712
04:15:30,UAE201,18719,437,Normal,3,1467
04:16:00,UAE201,35903,478,Normal,5,313
04:16:30,UAE201,21924,409,Normal,2,2719
04:17:00,UAE201,38298,500,Normal,0,504
04:17:30,UAE201,8420,432,Normal,1,1338
04:18:00,UAE201,16975,414,Abnormal,5,1798
04:18:30,UAE201,26795,437,Normal,1,2930
04:19:00,UAE201,24021,471,Normal,5,186
04:19:30,UAE201,28776,435,Normal,2,227
04:20:00,UAE201,30886,402,Abnormal,0,1895
04:20:30,UAE201,27331,441,Abnormal,0,1027
04:21:00,UAE201,28870,457,Normal,5,2713
04:21:30,UAE201,11181,483,Normal,4,2656
04:22:00,UAE201,21853,434,Normal,1,1006
04:22:30,UAE201,7512,456,Abnormal,1,909
04:23:00,UAE201,21765,429,Normal,1,1526
04:23:30,UAE201,32759,486,Normal,4,559
04:24:00,UAE201,35788,472,Normal,5,442
04:24:30,UAE201,24948,488,Abnormal,3,1325
04:25:00,UAE201,38007,464,Abnormal,4,1056
04:25:30,UAE201,20019,474,Abnormal,4,1005
04:26:00,UAE201,34413,426,Normal,3,823
04:26:30,UAE201,33853,500,Normal,4,2514
04:27:00,UAE201,33339,411,Normal,4,366
04:27:30,UAE201,18230,468,Normal,2,2579
04:28:00,UAE201,38702,456,Normal,5,2946
04:28:30,UAE201,7127,478,Abnormal,2,1810
04:29:00,UAE201,5241,404,Abnormal,5,2621
04:29:30,UAE201,15239,406,Abnormal,0,1256
04:30:00,UAE201,29326,490,Normal,5,570
