Time,Position,Weather Condition,Wind Speed,Temperature
00:23:30,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,24°C
00:24:00,"('26.0765° N', '56.2406° E')",Fog,15 knots,34°C
00:24:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,29°C
00:25:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,15 knots,22°C
00:25:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,24°C
00:26:00,"('25.2532° N', '55.3657° E')",Fog,10 knots,26°C
00:26:30,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,35°C
00:27:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,10 knots,30°C
00:27:30,"('40.6413° N', '-73.7781° W')",Clear,10 knots,34°C
00:28:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,22°C
00:28:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,25°C
00:29:00,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,20°C
00:29:30,"('25.2532° N', '55.3657° E')",Clear,15 knots,27°C
00:30:00,"('25.2532° N', '55.3657° E')",Thunderstorms,20 knots,20°C
00:30:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,21°C
00:31:00,"('34.0837° N', '74.7973° E')",Clear,20 knots,34°C
00:31:30,"('34.0837° N', '74.7973° E')",Fog,20 knots,23°C
00:32:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,27°C
00:32:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,23°C
00:33:00,"('26.0765° N', '56.2406° E')",Fog,20 knots,33°C
00:33:30,"('26.0765° N', '56.2406° E')",Fog,15 knots,34°C
00:34:00,"('34.0837° N', '74.7973° E')",Fog,20 knots,31°C
00:34:30,"('25.2532° N', '55.3657° E')",Clear,15 knots,31°C
00:35:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,10 knots,20°C
00:35:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,10 knots,23°C
00:36:00,"('28.7041° N', '77.1025° E')",Fog,15 knots,26°C
00:36:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,32°C
00:37:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,20 knots,21°C
00:37:30,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,23°C
00:38:00,"('28.7041° N', '77.1025° E')",Fog,20 knots,31°C
00:38:30,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,20°C
00:39:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,31°C
00:39:30,"('40.6413° N', '-73.7781° W')",Clear,15 knots,25°C
00:40:00,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,21°C
00:40:30,"('40.6413° N', '-73.7781° W')",Fog,15 knots,32°C
00:41:00,"('25.2532° N', '55.3657° E')",Icing Conditions,15 knots,20°C
00:41:30,"('25.2532° N', '55.3657° E')",Icing Conditions,10 knots,20°C
00:42:00,"('28.7041° N', '77.1025° E')",Fog,10 knots,21°C
00:42:30,"('40.6413° N', '-73.7781° W')",Clear,15 knots,21°C
00:43:00,"('28.7041° N', '77.1025° E')",Clear,10 knots,26°C
00:43:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,25°C
00:44:00,"('25.2532° N', '55.3657° E')",Icing Conditions,15 knots,28°C
00:44:30,"('34.0837° N', '74.7973° E')",Fog,15 knots,22°C
00:45:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,23°C
00:45:30,"('25.2532° N', '55.3657° E')",Fog,15 knots,32°C
00:46:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,10 knots,22°C
00:46:30,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,24°C
00:47:00,"('25.2532° N', '55.3657° E')",Clear,10 knots,32°C
00:47:30,"('26.0765° N', '56.2406° E')",Clear,20 knots,27°C
00:48:00,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,31°C
00:48:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,21°C
00:49:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,32°C
00:49:30,"('26.0765° N', '56.2406° E')",Fog,20 knots,29°C
00:50:00,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,31°C
00:50:30,"('28.7041° N', '77.1025° E')",Thunderstorms,20 knots,29°C
00:51:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,28°C
00:51:30,"('26.0765° N', '56.2406° E')",Fog,10 knots,34°C
00:52:00,"('40.6413° N', '-73.7781° W')",Clear,10 knots,21°C
00:52:30,"('25.2532° N', '55.3657° E')",Fog,20 knots,35°C
00:53:00,"('26.0765° N', '56.2406° E')",Fog,20 knots,28°C
00:53:30,"('25.2532° N', '55.3657° E')",Thunderstorms,15 knots,29°C
00:54:00,"('34.0837° N', '74.7973° E')",Clear,15 knots,33°C
00:54:30,"('25.2532° N', '55.3657° E')",Icing Conditions,10 knots,24°C
00:55:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,24°C
00:55:30,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,30°C
00:56:00,"('25.2532° N', '55.3657° E')",Thunderstorms,20 knots,34°C
00:56:30,"('25.2532° N', '55.3657° E')",Icing Conditions,10 knots,27°C
00:57:00,"('25.2532° N', '55.3657° E')",Clear,15 knots,24°C
00:57:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,15 knots,26°C
00:58:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,29°C
00:58:30,"('40.6413° N', '-73.7781° W')",Fog,20 knots,32°C
00:59:00,"('25.2532° N', '55.3657° E')",Thunderstorms,15 knots,23°C
00:59:30,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,34°C
01:00:00,"('34.0837° N', '74.7973° E')",Fog,20 knots,23°C
01:00:30,"('34.0837° N', '74.7973° E')",Icing Conditions,15 knots,27°C
01:01:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,32°C
01:01:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,10 knots,31°C
01:02:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,10 knots,33°C
01:02:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,23°C
01:03:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,32°C
01:03:30,"('25.2532° N', '55.3657° E')",Clear,15 knots,25°C
01:04:00,"('25.2532° N', '55.3657° E')",Fog,10 knots,24°C
01:04:30,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,23°C
01:05:00,"('26.0765° N', '56.2406° E')",Clear,15 knots,30°C
01:05:30,"('26.0765° N', '56.2406° E')",Thunderstorms,15 knots,34°C
01:06:00,"('34.0837° N', '74.7973° E')",Fog,15 knots,35°C
01:06:30,"('26.0765° N', '56.2406° E')",Clear,10 knots,31°C
01:07:00,"('40.6413° N', '-73.7781° W')",Clear,15 knots,21°C
01:07:30,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,29°C
01:08:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,20°C
01:08:30,"('34.0837° N', '74.7973° E')",Fog,15 knots,30°C
01:09:00,"('28.7041° N', '77.1025° E')",Fog,15 knots,26°C
01:09:30,"('28.7041° N', '77.1025° E')",Fog,10 knots,24°C
01:10:00,"('34.0837° N', '74.7973° E')",Clear,10 knots,29°C
01:10:30,"('26.0765° N', '56.2406° E')",Clear,10 knots,28°C
01:11:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,20 knots,29°C
01:11:30,"('34.0837° N', '74.7973° E')",Fog,20 knots,20°C
01:12:00,"('25.2532° N', '55.3657° E')",Icing Conditions,10 knots,21°C
01:12:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,10 knots,25°C
01:13:00,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,23°C
01:13:30,"('28.7041° N', '77.1025° E')",Icing Conditions,20 knots,35°C
01:14:00,"('25.2532° N', '55.3657° E')",Fog,20 knots,23°C
01:14:30,"('25.2532° N', '55.3657° E')",Clear,15 knots,31°C
01:15:00,"('25.2532° N', '55.3657° E')",Clear,10 knots,26°C
01:15:30,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,31°C
01:16:00,"('28.7041° N', '77.1025° E')",Clear,10 knots,34°C
01:16:30,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,35°C
01:17:00,"('28.7041° N', '77.1025° E')",Fog,15 knots,20°C
01:17:30,"('26.0765° N', '56.2406° E')",Clear,10 knots,31°C
01:18:00,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,33°C
01:18:30,"('28.7041° N', '77.1025° E')",Fog,10 knots,35°C
01:19:00,"('28.7041° N', '77.1025° E')",Clear,20 knots,30°C
01:19:30,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,25°C
01:20:00,"('28.7041° N', '77.1025° E')",Clear,20 knots,35°C
01:20:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,30°C
01:21:00,"('26.0765° N', '56.2406° E')",Fog,10 knots,27°C
01:21:30,"('25.2532° N', '55.3657° E')",Clear,20 knots,32°C
01:22:00,"('40.6413° N', '-73.7781° W')",Clear,15 knots,30°C
01:22:30,"('25.2532° N', '55.3657° E')",Clear,15 knots,32°C
01:23:00,"('25.2532° N', '55.3657° E')",Clear,15 knots,21°C
01:23:30,"('26.0765° N', '56.2406° E')",Clear,15 knots,35°C
01:24:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,33°C
01:24:30,"('34.0837° N', '74.7973° E')",Icing Conditions,10 knots,33°C
01:25:00,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,30°C
01:25:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,24°C
01:26:00,"('25.2532° N', '55.3657° E')",Clear,10 knots,31°C
01:26:30,"('25.2532° N', '55.3657° E')",Icing Conditions,15 knots,23°C
01:27:00,"('28.7041° N', '77.1025° E')",Thunderstorms,20 knots,34°C
01:27:30,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,33°C
01:28:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,20 knots,24°C
01:28:30,"('34.0837° N', '74.7973° E')",Thunderstorms,10 knots,22°C
01:29:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,15 knots,33°C
01:29:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,20°C
01:30:00,"('34.0837° N', '74.7973° E')",Clear,15 knots,25°C
01:30:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,22°C
01:31:00,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,32°C
01:31:30,"('28.7041° N', '77.1025° E')",Fog,10 knots,23°C
01:32:00,"('34.0837° N', '74.7973° E')",Thunderstorms,10 knots,29°C
01:32:30,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,27°C
01:33:00,"('34.0837° N', '74.7973° E')",Icing Conditions,10 knots,27°C
01:33:30,"('25.2532° N', '55.3657° E')",Icing Conditions,15 knots,32°C
01:34:00,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,25°C
01:34:30,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,33°C
01:35:00,"('25.2532° N', '55.3657° E')",Fog,20 knots,32°C
01:35:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,20°C
01:36:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,10 knots,30°C
01:36:30,"('25.2532° N', '55.3657° E')",Thunderstorms,10 knots,33°C
01:37:00,"('34.0837° N', '74.7973° E')",Fog,20 knots,27°C
01:37:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,27°C
01:38:00,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,24°C
01:38:30,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,22°C
01:39:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,31°C
01:39:30,"('34.0837° N', '74.7973° E')",Clear,20 knots,28°C
01:40:00,"('26.0765° N', '56.2406° E')",Fog,10 knots,29°C
01:40:30,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,30°C
01:41:00,"('28.7041° N', '77.1025° E')",Clear,20 knots,25°C
01:41:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,29°C
01:42:00,"('28.7041° N', '77.1025° E')",Clear,15 knots,28°C
01:42:30,"('34.0837° N', '74.7973° E')",Moderate Turbulence,20 knots,33°C
01:43:00,"('26.0765° N', '56.2406° E')",Fog,20 knots,23°C
01:43:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,21°C
01:44:00,"('34.0837° N', '74.7973° E')",Clear,20 knots,29°C
01:44:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,30°C
01:45:00,"('26.0765° N', '56.2406° E')",Clear,10 knots,30°C
01:45:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,28°C
01:46:00,"('28.7041° N', '77.1025° E')",Clear,15 knots,23°C
01:46:30,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,20°C
01:47:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,32°C
01:47:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,35°C
01:48:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,29°C
01:48:30,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,23°C
01:49:00,"('40.6413° N', '-73.7781° W')",Fog,15 knots,31°C
01:49:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,21°C
01:50:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,10 knots,25°C
01:50:30,"('40.6413° N', '-73.7781° W')",Clear,20 knots,26°C
01:51:00,"('28.7041° N', '77.1025° E')",Clear,20 knots,30°C
01:51:30,"('25.2532° N', '55.3657° E')",Clear,20 knots,35°C
01:52:00,"('34.0837° N', '74.7973° E')",Thunderstorms,20 knots,21°C
01:52:30,"('34.0837° N', '74.7973° E')",Fog,20 knots,23°C
01:53:00,"('28.7041° N', '77.1025° E')",Clear,10 knots,24°C
01:53:30,"('40.6413° N', '-73.7781° W')",Clear,10 knots,33°C
01:54:00,"('40.6413° N', '-73.7781° W')",Fog,20 knots,20°C
01:54:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,15 knots,25°C
01:55:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,32°C
01:55:30,"('40.6413° N', '-73.7781° W')",Clear,20 knots,20°C
01:56:00,"('40.6413° N', '-73.7781° W')",Clear,15 knots,30°C
01:56:30,"('40.6413° N', '-73.7781° W')",Fog,15 knots,29°C
01:57:00,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,28°C
01:57:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,32°C
01:58:00,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,33°C
01:58:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,25°C
01:59:00,"('25.2532° N', '55.3657° E')",Thunderstorms,15 knots,29°C
01:59:30,"('40.6413° N', '-73.7781° W')",Clear,15 knots,32°C
02:00:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,23°C
02:00:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,30°C
02:01:00,"('25.2532° N', '55.3657° E')",Icing Conditions,15 knots,31°C
02:01:30,"('26.0765° N', '56.2406° E')",Clear,15 knots,32°C
02:02:00,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,26°C
02:02:30,"('26.0765° N', '56.2406° E')",Icing Conditions,15 knots,27°C
02:03:00,"('25.2532° N', '55.3657° E')",Fog,20 knots,25°C
02:03:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,26°C
02:04:00,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,29°C
02:04:30,"('28.7041° N', '77.1025° E')",Clear,20 knots,31°C
02:05:00,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,32°C
02:05:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,20°C
02:06:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,10 knots,27°C
02:06:30,"('26.0765° N', '56.2406° E')",Clear,20 knots,34°C
02:07:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,10 knots,23°C
02:07:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,27°C
02:08:00,"('28.7041° N', '77.1025° E')",Thunderstorms,15 knots,20°C
02:08:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,20°C
02:09:00,"('28.7041° N', '77.1025° E')",Icing Conditions,15 knots,35°C
02:09:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,20 knots,25°C
02:10:00,"('34.0837° N', '74.7973° E')",Fog,20 knots,29°C
02:10:30,"('28.7041° N', '77.1025° E')",Icing Conditions,20 knots,34°C
02:11:00,"('25.2532° N', '55.3657° E')",Fog,15 knots,20°C
02:11:30,"('40.6413° N', '-73.7781° W')",Fog,15 knots,25°C
02:12:00,"('34.0837° N', '74.7973° E')",Thunderstorms,15 knots,33°C
02:12:30,"('25.2532° N', '55.3657° E')",Fog,15 knots,24°C
02:13:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,10 knots,28°C
02:13:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,27°C
02:14:00,"('34.0837° N', '74.7973° E')",Moderate Turbulence,10 knots,25°C
02:14:30,"('25.2532° N', '55.3657° E')",Fog,10 knots,24°C
02:15:00,"('34.0837° N', '74.7973° E')",Clear,10 knots,25°C
02:15:30,"('25.2532° N', '55.3657° E')",Fog,20 knots,25°C
02:16:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,20°C
02:16:30,"('28.7041° N', '77.1025° E')",Icing Conditions,20 knots,26°C
02:17:00,"('26.0765° N', '56.2406° E')",Thunderstorms,10 knots,24°C
02:17:30,"('40.6413° N', '-73.7781° W')",Clear,10 knots,33°C
02:18:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,22°C
02:18:30,"('40.6413° N', '-73.7781° W')",Fog,10 knots,22°C
02:19:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,32°C
02:19:30,"('26.0765° N', '56.2406° E')",Icing Conditions,20 knots,23°C
02:20:00,"('25.2532° N', '55.3657° E')",Clear,15 knots,26°C
02:20:30,"('26.0765° N', '56.2406° E')",Fog,20 knots,30°C
02:21:00,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,35°C
02:21:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,31°C
02:22:00,"('34.0837° N', '74.7973° E')",Fog,20 knots,32°C
02:22:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,10 knots,28°C
02:23:00,"('26.0765° N', '56.2406° E')",Clear,20 knots,33°C
02:23:30,"('28.7041° N', '77.1025° E')",Fog,20 knots,22°C
02:24:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,21°C
02:24:30,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,28°C
02:25:00,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,27°C
02:25:30,"('34.0837° N', '74.7973° E')",Icing Conditions,10 knots,27°C
02:26:00,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,15 knots,27°C
02:26:30,"('26.0765° N', '56.2406° E')",Clear,20 knots,31°C
02:27:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,31°C
02:27:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,10 knots,31°C
02:28:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,34°C
02:28:30,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,31°C
02:29:00,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,25°C
02:29:30,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,35°C
02:30:00,"('28.7041° N', '77.1025° E')",Fog,10 knots,25°C
02:30:30,"('28.7041° N', '77.1025° E')",Clear,20 knots,31°C
02:31:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,15 knots,34°C
02:31:30,"('26.0765° N', '56.2406° E')",Moderate Turbulence,10 knots,25°C
02:32:00,"('26.0765° N', '56.2406° E')",Clear,10 knots,20°C
02:32:30,"('40.6413° N', '-73.7781° W')",Fog,15 knots,30°C
02:33:00,"('25.2532° N', '55.3657° E')",Fog,20 knots,29°C
02:33:30,"('28.7041° N', '77.1025° E')",Clear,15 knots,27°C
02:34:00,"('25.2532° N', '55.3657° E')",Fog,15 knots,35°C
02:34:30,"('28.7041° N', '77.1025° E')",Clear,20 knots,34°C
02:35:00,"('34.0837° N', '74.7973° E')",Icing Conditions,10 knots,21°C
02:35:30,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,31°C
02:36:00,"('28.7041° N', '77.1025° E')",Clear,15 knots,34°C
02:36:30,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,28°C
02:37:00,"('25.2532° N', '55.3657° E')",Icing Conditions,20 knots,23°C
02:37:30,"('34.0837° N', '74.7973° E')",Icing Conditions,15 knots,27°C
02:38:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,33°C
02:38:30,"('40.6413° N', '-73.7781° W')",Moderate Turbulence,10 knots,22°C
02:39:00,"('26.0765° N', '56.2406° E')",Moderate Turbulence,15 knots,32°C
02:39:30,"('34.0837° N', '74.7973° E')",Fog,15 knots,20°C
02:40:00,"('28.7041° N', '77.1025° E')",Moderate Turbulence,15 knots,22°C
02:40:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,20 knots,34°C
02:41:00,"('40.6413° N', '-73.7781° W')",Thunderstorms,20 knots,31°C
02:41:30,"('25.2532° N', '55.3657° E')",Clear,10 knots,34°C
02:42:00,"('26.0765° N', '56.2406° E')",Clear,20 knots,28°C
02:42:30,"('25.2532° N', '55.3657° E')",Fog,15 knots,35°C
02:43:00,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,35°C
02:43:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,20 knots,28°C
02:44:00,"('40.6413° N', '-73.7781° W')",Clear,15 knots,20°C
02:44:30,"('34.0837° N', '74.7973° E')",Clear,10 knots,25°C
02:45:00,"('40.6413° N', '-73.7781° W')",Clear,10 knots,25°C
02:45:30,"('26.0765° N', '56.2406° E')",Fog,20 knots,32°C
02:46:00,"('25.2532° N', '55.3657° E')",Clear,20 knots,30°C
02:46:30,"('25.2532° N', '55.3657° E')",Icing Conditions,15 knots,27°C
02:47:00,"('26.0765° N', '56.2406° E')",Icing Conditions,10 knots,24°C
02:47:30,"('25.2532° N', '55.3657° E')",Clear,15 knots,24°C
02:48:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,20 knots,25°C
02:48:30,"('40.6413° N', '-73.7781° W')",Clear,15 knots,31°C
02:49:00,"('26.0765° N', '56.2406° E')",Thunderstorms,20 knots,33°C
02:49:30,"('40.6413° N', '-73.7781° W')",Icing Conditions,15 knots,22°C
02:50:00,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,23°C
02:50:30,"('26.0765° N', '56.2406° E')",Clear,15 knots,25°C
02:51:00,"('40.6413° N', '-73.7781° W')",Fog,10 knots,26°C
02:51:30,"('28.7041° N', '77.1025° E')",Moderate Turbulence,15 knots,29°C
02:52:00,"('28.7041° N', '77.1025° E')",Icing Conditions,10 knots,23°C
02:52:30,"('25.2532° N', '55.3657° E')",Fog,10 knots,33°C
02:53:00,"('34.0837° N', '74.7973° E')",Icing Conditions,20 knots,29°C
02:53:30,"('28.7041° N', '77.1025° E')",Thunderstorms,10 knots,26°C
02:54:00,"('25.2532° N', '55.3657° E')",Moderate Turbulence,15 knots,34°C
