Time,Call Sign,Nearby Aircraft,Distance (nm),Bearing (degrees),ATC Instructions
00:14:30,UAE201,"KLM532, JBU557, BAW500",8,318,Maintain separation
00:15:00,UAE201,"Qantas832, DAL809, SWA488",3,337,Climb to avoid traffic
00:15:30,UAE201,"Qantas623, AFR727, DAL311",4,299,Climb to avoid traffic
00:16:00,UAE201,"AAL721, DAL386, Lufthansa746",4,49,Turn left for traffic avoidance
00:16:30,UAE201,"AAL365, Emirates338, KLM274",10,122,Descend to avoid traffic
00:17:00,UAE201,"DAL806, BAW858, UAL828",4,68,Descend to avoid traffic
00:17:30,UAE201,"DAL247, JBU800, SWA896",1,130,Maintain separation
00:18:00,UAE201,"Qantas200, AFR442, Lufthansa954",10,236,Turn left for traffic avoidance
00:18:30,UAE201,"SWA548, DAL578, Lufthansa130",13,244,Turn left for traffic avoidance
00:19:00,UAE201,"KLM154, JBU986, BAW249",4,56,Turn left for traffic avoidance
00:19:30,UAE201,"Qantas237, KLM742, SWA680",9,70,Climb to avoid traffic
00:20:00,UAE201,"SWA159, BAW430, Emirates494",13,264,Climb to avoid traffic
00:20:30,UAE201,"Qantas916, BAW828, UAL462",13,342,Turn left for traffic avoidance
00:21:00,UAE201,"Qantas951, JBU735, Emirates557",3,324,Climb to avoid traffic
00:21:30,UAE201,"DAL502, SWA344, AFR511",9,251,Maintain separation
00:22:00,UAE201,"DAL293, AFR980, SWA193",2,307,Maintain separation
00:22:30,UAE201,"SWA709, AFR751, Qantas533",11,215,Climb to avoid traffic
00:23:00,UAE201,"JBU746, DAL527, KLM822",7,219,Descend to avoid traffic
00:23:30,UAE201,"UAL803, DAL968, AAL811",7,203,Climb to avoid traffic
00:24:00,UAE201,"JBU597, Lufthansa461, Qantas941",8,132,Maintain separation
00:24:30,UAE201,"UAL626, BAW309, AAL380",6,156,Maintain separation
00:25:00,UAE201,"Emirates763, Qantas323, JBU285",8,88,Descend to avoid traffic
00:25:30,UAE201,"UAL980, Qantas487, KLM831",11,226,Descend to avoid traffic
00:26:00,UAE201,"AAL756, DAL850, AFR723",11,57,Climb to avoid traffic
00:26:30,UAE201,"KLM614, Emirates936, UAL477",3,134,Maintain separation
00:27:00,UAE201,"UAL729, AAL883, KLM475",9,229,Descend to avoid traffic
00:27:30,UAE201,"Lufthansa641, AFR374, UAL616",14,103,Turn left for traffic avoidance
00:28:00,UAE201,"KLM237, BAW998, Emirates401",13,236,Descend to avoid traffic
00:28:30,UAE201,"Emirates947, JBU355, UAL248",12,198,Turn left for traffic avoidance
00:29:00,UAE201,"JBU938, AFR866, SWA547",13,333,Maintain separation
00:29:30,UAE201,"SWA304, DAL170, KLM702",4,147,Maintain separation
00:30:00,UAE201,"AFR948, KLM245, Qantas954",11,169,Descend to avoid traffic
00:30:30,UAE201,"AFR718, DAL774, UAL312",14,284,Climb to avoid traffic
00:31:00,UAE201,"SWA206, AFR904, Qantas565",1,241,Turn left for traffic avoidance
00:31:30,UAE201,"Lufthansa377, Qantas438, JBU504",2,201,Climb to avoid traffic
00:32:00,UAE201,"JBU360, DAL858, Lufthansa607",10,119,Turn left for traffic avoidance
00:32:30,UAE201,"AAL239, JBU113, UAL870",7,95,Climb to avoid traffic
00:33:00,UAE201,"JBU170, Qantas828, Lufthansa145",11,336,Climb to avoid traffic
00:33:30,UAE201,"AAL606, BAW769, KLM757",8,64,Turn left for traffic avoidance
00:34:00,UAE201,"SWA411, UAL502, BAW994",3,146,Descend to avoid traffic
00:34:30,UAE201,"AFR443, KLM241, Qantas359",15,221,Turn left for traffic avoidance
00:35:00,UAE201,"BAW349, SWA585, KLM866",11,150,Turn left for traffic avoidance
00:35:30,UAE201,"AFR877, SWA842, UAL477",5,16,Descend to avoid traffic
00:36:00,UAE201,"JBU934, KLM402, SWA393",2,218,Increase speed to avoid traffic conflict
00:36:30,UAE201,"BAW421, AFR270, Lufthansa227",1,208,Maintain separation
00:37:00,UAE201,"KLM372, UAL107, Lufthansa921",11,9,Turn left for traffic avoidance
00:37:30,UAE201,"SWA279, Emirates129, BAW144",15,199,Climb to avoid traffic
00:38:00,UAE201,"SWA812, Lufthansa497, KLM451",2,125,Turn left for traffic avoidance
00:38:30,UAE201,"SWA503, Lufthansa414, AAL241",14,212,Climb to avoid traffic
00:39:00,UAE201,"JBU353, KLM840, Emirates909",13,23,Descend to avoid traffic
00:39:30,UAE201,"UAL849, AFR139, Qantas542",2,324,Turn left for traffic avoidance
00:40:00,UAE201,"Emirates647, BAW307, KLM143",1,6,Climb to avoid traffic
00:40:30,UAE201,"Lufthansa144, DAL296, KLM463",10,21,Descend to avoid traffic
00:41:00,UAE201,"Lufthansa153, BAW662, Emirates350",1,103,Turn left for traffic avoidance
00:41:30,UAE201,"BAW312, JBU318, DAL919",6,212,Descend to avoid traffic
00:42:00,UAE201,"AAL112, UAL865, KLM784",1,81,Maintain separation
00:42:30,UAE201,"KLM303, SWA671, AAL783",9,158,Descend to avoid traffic
00:43:00,UAE201,"Lufthansa220, JBU562, UAL196",8,149,Increase speed to avoid traffic conflict
00:43:30,UAE201,"Lufthansa513, BAW395, DAL761",15,186,Turn left for traffic avoidance
00:44:00,UAE201,"AAL799, KLM571, Lufthansa219",14,340,Turn left for traffic avoidance
00:44:30,UAE201,"Lufthansa381, SWA229, AFR306",5,69,Maintain separation
00:45:00,UAE201,"UAL906, Emirates950, SWA722",2,63,Turn left for traffic avoidance
00:45:30,UAE201,"SWA346, Qantas156, UAL741",2,303,Turn left for traffic avoidance
00:46:00,UAE201,"AFR886, KLM594, UAL327",12,172,Descend to avoid traffic
00:46:30,UAE201,"Lufthansa687, BAW132, UAL877",1,198,Descend to avoid traffic
00:47:00,UAE201,"Qantas794, KLM201, UAL474",15,220,Increase speed to avoid traffic conflict
00:47:30,UAE201,"SWA681, JBU871, Lufthansa479",9,277,Turn left for traffic avoidance
00:48:00,UAE201,"DAL563, SWA916, KLM833",6,275,Maintain separation
00:48:30,UAE201,"KLM277, Lufthansa774, DAL904",15,351,Maintain separation
00:49:00,UAE201,"SWA896, KLM904, Qantas231",3,119,Descend to avoid traffic
00:49:30,UAE201,"BAW324, DAL852, AAL144",14,31,Climb to avoid traffic
00:50:00,UAE201,"UAL732, AAL438, SWA798",13,218,Maintain separation
00:50:30,UAE201,"JBU754, AFR834, AAL802",11,111,Increase speed to avoid traffic conflict
00:51:00,UAE201,"Lufthansa326, KLM384, DAL900",5,190,Increase speed to avoid traffic conflict
00:51:30,UAE201,"Lufthansa491, Qantas680, Emirates372",5,298,Descend to avoid traffic
00:52:00,UAE201,"AFR287, Emirates357, JBU860",14,183,Maintain separation
00:52:30,UAE201,"BAW246, KLM175, Qantas406",1,272,Turn left for traffic avoidance
00:53:00,UAE201,"SWA963, DAL742, AFR660",12,19,Maintain separation
00:53:30,UAE201,"UAL656, BAW615, Emirates629",9,354,Maintain separation
00:54:00,UAE201,"DAL781, Lufthansa380, KLM701",5,217,Maintain separation
00:54:30,UAE201,"JBU821, UAL739, SWA886",6,356,Climb to avoid traffic
00:55:00,UAE201,"UAL126, AAL351, Qantas553",5,160,Maintain separation
00:55:30,UAE201,"DAL386, Lufthansa640, Qantas955",11,235,Increase speed to avoid traffic conflict
00:56:00,UAE201,"AAL884, JBU454, DAL676",2,274,Descend to avoid traffic
00:56:30,UAE201,"AFR229, UAL405, SWA965",2,303,Descend to avoid traffic
00:57:00,UAE201,"Qantas442, JBU864, AAL439",11,22,Maintain separation
00:57:30,UAE201,"Lufthansa874, KLM524, UAL467",6,339,Maintain separation
00:58:00,UAE201,"AFR337, Lufthansa166, JBU923",15,321,Descend to avoid traffic
00:58:30,UAE201,"AFR441, BAW135, JBU638",14,179,Maintain separation
00:59:00,UAE201,"KLM338, Qantas906, Emirates848",10,181,Descend to avoid traffic
00:59:30,UAE201,"Lufthansa352, SWA531, AFR649",6,234,Descend to avoid traffic
01:00:00,UAE201,"Qantas249, Lufthansa226, KLM711",10,80,Maintain separation
01:00:30,UAE201,"Qantas649, BAW672, KLM266",6,158,Turn left for traffic avoidance
01:01:00,UAE201,"Emirates480, AFR633, Lufthansa334",1,112,Increase speed to avoid traffic conflict
01:01:30,UAE201,"UAL382, JBU929, AFR654",8,176,Climb to avoid traffic
01:02:00,UAE201,"Lufthansa918, BAW509, Qantas843",12,67,Maintain separation
01:02:30,UAE201,"KLM323, AAL597, SWA199",3,57,Climb to avoid traffic
01:03:00,UAE201,"UAL226, Emirates405, DAL722",7,306,Turn left for traffic avoidance
01:03:30,UAE201,"UAL182, Lufthansa190, JBU818",15,91,Climb to avoid traffic
01:04:00,UAE201,"BAW123, UAL339, AFR639",13,75,Increase speed to avoid traffic conflict
01:04:30,UAE201,"Lufthansa194, Emirates669, JBU911",8,356,Turn left for traffic avoidance
01:05:00,UAE201,"Qantas250, DAL326, KLM373",9,188,Turn left for traffic avoidance
01:05:30,UAE201,"DAL387, SWA843, AFR431",11,176,Maintain separation
01:06:00,UAE201,"KLM216, Emirates501, JBU416",15,292,Maintain separation
01:06:30,UAE201,"Qantas175, SWA217, BAW574",6,271,Climb to avoid traffic
01:07:00,UAE201,"SWA420, Qantas563, Emirates344",11,357,Turn left for traffic avoidance
01:07:30,UAE201,"Qantas452, AAL782, SWA169",12,163,Climb to avoid traffic
01:08:00,UAE201,"BAW963, KLM469, AFR698",5,172,Descend to avoid traffic
01:08:30,UAE201,"Emirates668, JBU912, KLM480",7,251,Turn left for traffic avoidance
01:09:00,UAE201,"UAL342, KLM711, Emirates587",14,153,Descend to avoid traffic
01:09:30,UAE201,"DAL782, SWA838, Qantas578",4,25,Maintain separation
01:10:00,UAE201,"Qantas753, JBU361, AFR740",4,27,Maintain separation
01:10:30,UAE201,"SWA200, Emirates484, AAL418",3,334,Turn left for traffic avoidance
01:11:00,UAE201,"JBU987, KLM100, UAL498",8,120,Increase speed to avoid traffic conflict
01:11:30,UAE201,"Lufthansa387, UAL369, SWA243",12,300,Turn left for traffic avoidance
01:12:00,UAE201,"Qantas683, BAW622, AFR794",7,318,Increase speed to avoid traffic conflict
01:12:30,UAE201,"AFR820, JBU265, KLM384",13,349,Maintain separation
01:13:00,UAE201,"Emirates569, SWA699, DAL703",3,344,Turn left for traffic avoidance
01:13:30,UAE201,"BAW317, UAL138, AAL766",14,264,Maintain separation
01:14:00,UAE201,"KLM924, AAL952, Emirates394",7,0,Descend to avoid traffic
01:14:30,UAE201,"AAL501, SWA543, KLM579",2,158,Increase speed to avoid traffic conflict
01:15:00,UAE201,"Qantas172, AFR136, SWA927",4,290,Increase speed to avoid traffic conflict
01:15:30,UAE201,"DAL418, Lufthansa488, BAW619",8,178,Descend to avoid traffic
01:16:00,UAE201,"AAL578, DAL649, Lufthansa809",15,203,Turn left for traffic avoidance
01:16:30,UAE201,"AAL129, Lufthansa489, DAL495",7,139,Descend to avoid traffic
01:17:00,UAE201,"Emirates771, DAL773, KLM944",12,67,Increase speed to avoid traffic conflict
01:17:30,UAE201,"Emirates324, JBU509, AAL621",3,342,Turn left for traffic avoidance
01:18:00,UAE201,"BAW570, KLM783, Lufthansa303",11,286,Climb to avoid traffic
01:18:30,UAE201,"BAW515, UAL938, Lufthansa518",14,214,Climb to avoid traffic
01:19:00,UAE201,"KLM436, Qantas513, BAW121",6,324,Increase speed to avoid traffic conflict
01:19:30,UAE201,"KLM784, BAW196, Lufthansa681",15,326,Increase speed to avoid traffic conflict
01:20:00,UAE201,"DAL121, SWA374, Lufthansa503",12,291,Climb to avoid traffic
01:20:30,UAE201,"KLM222, AAL464, Lufthansa938",6,14,Increase speed to avoid traffic conflict
01:21:00,UAE201,"UAL652, AAL188, KLM553",6,54,Descend to avoid traffic
01:21:30,UAE201,"Lufthansa660, Emirates738, BAW816",10,43,Descend to avoid traffic
01:22:00,UAE201,"JBU625, DAL421, AFR511",7,96,Descend to avoid traffic
01:22:30,UAE201,"DAL649, Qantas576, Lufthansa332",6,5,Maintain separation
01:23:00,UAE201,"KLM984, SWA715, AAL710",4,325,Turn left for traffic avoidance
01:23:30,UAE201,"AAL463, KLM995, UAL147",11,317,Descend to avoid traffic
01:24:00,UAE201,"AFR608, BAW586, DAL574",11,6,Maintain separation
01:24:30,UAE201,"DAL511, Qantas859, BAW575",9,144,Climb to avoid traffic
01:25:00,UAE201,"KLM538, JBU864, Lufthansa515",8,65,Turn left for traffic avoidance
01:25:30,UAE201,"BAW403, Lufthansa886, JBU713",3,242,Descend to avoid traffic
01:26:00,UAE201,"DAL433, AFR929, Emirates324",3,123,Maintain separation
01:26:30,UAE201,"BAW905, SWA492, AAL366",14,242,Turn left for traffic avoidance
01:27:00,UAE201,"Emirates839, Lufthansa339, AAL231",14,15,Turn left for traffic avoidance
01:27:30,UAE201,"KLM659, JBU406, AFR944",4,176,Climb to avoid traffic
01:28:00,UAE201,"KLM901, SWA842, BAW125",8,352,Maintain separation
01:28:30,UAE201,"SWA204, DAL527, Qantas481",12,213,Turn left for traffic avoidance
01:29:00,UAE201,"KLM416, UAL597, Qantas102",1,75,Maintain separation
01:29:30,UAE201,"SWA524, BAW225, JBU216",10,45,Climb to avoid traffic
01:30:00,UAE201,"KLM501, AFR711, AAL967",3,59,Maintain separation
01:30:30,UAE201,"AAL293, KLM820, BAW666",10,136,Climb to avoid traffic
01:31:00,UAE201,"BAW257, JBU741, Lufthansa630",13,223,Increase speed to avoid traffic conflict
01:31:30,UAE201,"UAL825, JBU418, SWA756",14,320,Climb to avoid traffic
01:32:00,UAE201,"AAL543, UAL625, DAL416",13,182,Turn left for traffic avoidance
01:32:30,UAE201,"AFR817, Emirates305, SWA713",7,269,Turn left for traffic avoidance
01:33:00,UAE201,"UAL639, Emirates518, JBU329",13,258,Increase speed to avoid traffic conflict
01:33:30,UAE201,"AAL927, JBU388, Qantas407",5,199,Turn left for traffic avoidance
01:34:00,UAE201,"JBU547, SWA439, Emirates108",5,325,Maintain separation
01:34:30,UAE201,"KLM767, SWA102, Lufthansa942",13,195,Maintain separation
01:35:00,UAE201,"JBU152, AAL755, Emirates476",1,118,Descend to avoid traffic
01:35:30,UAE201,"BAW538, Qantas464, KLM555",9,68,Maintain separation
01:36:00,UAE201,"JBU316, KLM954, Emirates891",9,61,Climb to avoid traffic
01:36:30,UAE201,"DAL388, JBU457, BAW271",12,228,Increase speed to avoid traffic conflict
01:37:00,UAE201,"Qantas950, BAW263, DAL155",4,44,Maintain separation
01:37:30,UAE201,"SWA148, BAW689, AFR764",4,303,Climb to avoid traffic
01:38:00,UAE201,"Qantas849, AAL103, JBU198",3,267,Climb to avoid traffic
01:38:30,UAE201,"AFR358, KLM281, Qantas861",2,273,Maintain separation
01:39:00,UAE201,"UAL715, JBU841, KLM415",7,336,Maintain separation
01:39:30,UAE201,"BAW424, JBU837, Qantas492",1,166,Increase speed to avoid traffic conflict
01:40:00,UAE201,"JBU603, Emirates766, UAL686",1,107,Increase speed to avoid traffic conflict
01:40:30,UAE201,"Lufthansa539, SWA863, Qantas415",10,342,Maintain separation
01:41:00,UAE201,"JBU868, AAL585, AFR915",4,339,Climb to avoid traffic
01:41:30,UAE201,"AFR675, SWA848, KLM196",12,208,Increase speed to avoid traffic conflict
01:42:00,UAE201,"SWA553, DAL998, UAL846",7,16,Maintain separation
01:42:30,UAE201,"Lufthansa316, UAL783, Qantas796",7,59,Climb to avoid traffic
01:43:00,UAE201,"AFR693, AAL268, BAW492",15,132,Climb to avoid traffic
01:43:30,UAE201,"UAL348, BAW414, KLM740",7,279,Maintain separation
01:44:00,UAE201,"Emirates203, Lufthansa495, AAL112",2,128,Descend to avoid traffic
01:44:30,UAE201,"JBU453, BAW212, UAL364",13,125,Descend to avoid traffic
01:45:00,UAE201,"JBU246, BAW473, Lufthansa605",5,121,Climb to avoid traffic
01:45:30,UAE201,"Lufthansa792, DAL137, UAL890",12,198,Increase speed to avoid traffic conflict
01:46:00,UAE201,"Lufthansa826, Emirates712, SWA849",4,41,Climb to avoid traffic
01:46:30,UAE201,"Lufthansa427, BAW387, KLM384",4,325,Climb to avoid traffic
01:47:00,UAE201,"Lufthansa617, BAW920, SWA286",12,115,Increase speed to avoid traffic conflict
01:47:30,UAE201,"UAL771, JBU913, AFR309",11,142,Climb to avoid traffic
01:48:00,UAE201,"KLM445, AAL473, BAW776",7,314,Descend to avoid traffic
01:48:30,UAE201,"AFR592, UAL695, DAL972",8,356,Climb to avoid traffic
01:49:00,UAE201,"Lufthansa113, KLM782, AAL624",3,246,Increase speed to avoid traffic conflict
01:49:30,UAE201,"AFR577, Qantas858, DAL562",5,256,Maintain separation
01:50:00,UAE201,"KLM471, Emirates823, BAW667",9,79,Increase speed to avoid traffic conflict
01:50:30,UAE201,"SWA116, Qantas972, JBU909",3,339,Descend to avoid traffic
01:51:00,UAE201,"BAW530, KLM858, AAL865",8,222,Increase speed to avoid traffic conflict
01:51:30,UAE201,"AFR664, Emirates240, KLM793",10,32,Climb to avoid traffic
01:52:00,UAE201,"Qantas513, AFR576, UAL582",1,234,Turn left for traffic avoidance
01:52:30,UAE201,"Lufthansa944, BAW652, JBU527",3,292,Turn left for traffic avoidance
01:53:00,UAE201,"Emirates356, DAL484, AAL626",5,42,Increase speed to avoid traffic conflict
01:53:30,UAE201,"Qantas518, AFR967, DAL375",15,95,Increase speed to avoid traffic conflict
01:54:00,UAE201,"Lufthansa366, AAL842, Emirates466",13,185,Maintain separation
01:54:30,UAE201,"AFR245, Emirates866, Lufthansa592",8,102,Turn left for traffic avoidance
01:55:00,UAE201,"UAL761, DAL756, AFR191",15,195,Descend to avoid traffic
01:55:30,UAE201,"AFR286, KLM462, SWA470",13,151,Turn left for traffic avoidance
01:56:00,UAE201,"BAW324, DAL162, Qantas964",13,239,Maintain separation
01:56:30,UAE201,"KLM238, AAL202, SWA352",13,177,Descend to avoid traffic
01:57:00,UAE201,"Emirates380, KLM466, UAL603",6,244,Increase speed to avoid traffic conflict
01:57:30,UAE201,"Emirates886, AAL142, Lufthansa771",2,172,Maintain separation
01:58:00,UAE201,"BAW366, JBU889, SWA539",12,36,Increase speed to avoid traffic conflict
01:58:30,UAE201,"AFR362, JBU271, Lufthansa599",2,20,Descend to avoid traffic
01:59:00,UAE201,"Qantas807, AAL433, Lufthansa246",7,260,Increase speed to avoid traffic conflict
01:59:30,UAE201,"Emirates352, AFR463, KLM662",5,308,Climb to avoid traffic
02:00:00,UAE201,"Qantas550, JBU591, DAL698",4,113,Turn left for traffic avoidance
02:00:30,UAE201,"AAL239, JBU275, Qantas282",14,234,Climb to avoid traffic
02:01:00,UAE201,"Emirates313, BAW651, UAL162",15,118,Maintain separation
02:01:30,UAE201,"UAL799, Qantas813, AFR766",2,107,Turn left for traffic avoidance
02:02:00,UAE201,"DAL239, Emirates350, AFR249",3,287,Maintain separation
02:02:30,UAE201,"Lufthansa620, Qantas557, Emirates363",12,40,Increase speed to avoid traffic conflict
02:03:00,UAE201,"KLM102, AAL328, Emirates793",14,287,Increase speed to avoid traffic conflict
02:03:30,UAE201,"AAL751, SWA195, KLM309",7,38,Increase speed to avoid traffic conflict
02:04:00,UAE201,"Emirates338, AAL235, KLM905",14,114,Increase speed to avoid traffic conflict
02:04:30,UAE201,"BAW525, Lufthansa416, Qantas666",15,14,Climb to avoid traffic
02:05:00,UAE201,"DAL906, SWA497, AAL306",10,235,Maintain separation
02:05:30,UAE201,"DAL812, JBU448, UAL454",5,174,Descend to avoid traffic
02:06:00,UAE201,"Qantas485, JBU988, BAW316",15,258,Increase speed to avoid traffic conflict
02:06:30,UAE201,"AAL933, Qantas382, AFR256",13,243,Climb to avoid traffic
02:07:00,UAE201,"UAL284, SWA956, BAW905",8,183,Increase speed to avoid traffic conflict
02:07:30,UAE201,"BAW867, DAL467, KLM410",9,337,Climb to avoid traffic
02:08:00,UAE201,"BAW262, SWA332, JBU643",3,299,Increase speed to avoid traffic conflict
02:08:30,UAE201,"Lufthansa671, DAL291, Qantas534",12,18,Descend to avoid traffic
02:09:00,UAE201,"Lufthansa265, AFR777, KLM582",7,88,Increase speed to avoid traffic conflict
02:09:30,UAE201,"AAL991, Emirates433, DAL687",6,110,Increase speed to avoid traffic conflict
02:10:00,UAE201,"Emirates318, Qantas299, SWA491",2,163,Descend to avoid traffic
02:10:30,UAE201,"SWA194, AAL257, JBU652",2,96,Climb to avoid traffic
02:11:00,UAE201,"KLM852, DAL366, AAL876",14,41,Descend to avoid traffic
02:11:30,UAE201,"BAW442, Emirates610, DAL583",7,262,Climb to avoid traffic
02:12:00,UAE201,"BAW721, KLM329, JBU423",3,67,Climb to avoid traffic
02:12:30,UAE201,"AAL617, KLM467, BAW916",2,227,Increase speed to avoid traffic conflict
02:13:00,UAE201,"UAL573, Emirates654, DAL622",11,244,Descend to avoid traffic
02:13:30,UAE201,"UAL988, AAL609, BAW671",11,230,Climb to avoid traffic
02:14:00,UAE201,"Lufthansa514, AAL624, JBU860",12,293,Maintain separation
02:14:30,UAE201,"SWA871, AFR596, AAL699",4,36,Maintain separation
02:15:00,UAE201,"AFR103, SWA766, DAL213",11,331,Descend to avoid traffic
02:15:30,UAE201,"AFR446, SWA402, AAL309",12,70,Climb to avoid traffic
02:16:00,UAE201,"AFR107, SWA676, Qantas335",3,331,Maintain separation
02:16:30,UAE201,"AAL345, Qantas553, Lufthansa459",11,177,Climb to avoid traffic
02:17:00,UAE201,"SWA238, Qantas874, KLM768",14,281,Turn left for traffic avoidance
02:17:30,UAE201,"AAL378, Emirates294, JBU430",9,134,Climb to avoid traffic
02:18:00,UAE201,"Qantas380, AAL535, AFR810",3,130,Descend to avoid traffic
02:18:30,UAE201,"Emirates357, BAW766, Lufthansa404",7,214,Climb to avoid traffic
02:19:00,UAE201,"AFR864, Qantas158, JBU450",3,206,Maintain separation
02:19:30,UAE201,"AAL135, Qantas524, UAL128",8,334,Increase speed to avoid traffic conflict
02:20:00,UAE201,"AFR552, BAW299, AAL748",14,123,Maintain separation
02:20:30,UAE201,"KLM115, Emirates772, UAL691",14,164,Descend to avoid traffic
02:21:00,UAE201,"SWA191, KLM509, Emirates848",7,317,Descend to avoid traffic
02:21:30,UAE201,"AAL507, UAL253, BAW820",9,171,Increase speed to avoid traffic conflict
02:22:00,UAE201,"KLM439, Emirates417, Lufthansa281",9,79,Turn left for traffic avoidance
02:22:30,UAE201,"AFR501, UAL779, BAW320",3,170,Increase speed to avoid traffic conflict
02:23:00,UAE201,"JBU635, Emirates542, BAW550",10,114,Increase speed to avoid traffic conflict
02:23:30,UAE201,"Qantas331, BAW172, SWA833",14,25,Maintain separation
02:24:00,UAE201,"AFR920, Emirates960, Qantas700",14,123,Increase speed to avoid traffic conflict
02:24:30,UAE201,"AFR564, Qantas458, AAL559",11,28,Increase speed to avoid traffic conflict
02:25:00,UAE201,"UAL699, AFR950, SWA867",6,290,Maintain separation
02:25:30,UAE201,"Emirates351, AFR804, KLM975",14,122,Increase speed to avoid traffic conflict
02:26:00,UAE201,"Lufthansa862, BAW615, JBU494",6,203,Turn left for traffic avoidance
02:26:30,UAE201,"AFR206, SWA833, UAL489",1,184,Increase speed to avoid traffic conflict
02:27:00,UAE201,"KLM571, Qantas152, Lufthansa965",6,295,Maintain separation
02:27:30,UAE201,"UAL168, DAL860, AAL563",8,333,Descend to avoid traffic
02:28:00,UAE201,"BAW587, SWA545, DAL150",12,152,Descend to avoid traffic
02:28:30,UAE201,"JBU309, Lufthansa386, BAW827",2,310,Climb to avoid traffic
02:29:00,UAE201,"DAL588, BAW674, JBU174",2,216,Descend to avoid traffic
02:29:30,UAE201,"Emirates309, DAL734, Qantas881",4,109,Maintain separation
02:30:00,UAE201,"BAW804, SWA352, Emirates164",12,326,Climb to avoid traffic
02:30:30,UAE201,"UAL626, Lufthansa183, KLM176",15,320,Maintain separation
02:31:00,UAE201,"KLM316, UAL284, Qantas510",6,19,Increase speed to avoid traffic conflict
02:31:30,UAE201,"AFR578, JBU331, SWA901",2,124,Turn left for traffic avoidance
02:32:00,UAE201,"Qantas899, KLM317, Emirates608",3,293,Turn left for traffic avoidance
02:32:30,UAE201,"KLM336, Qantas200, BAW332",1,268,Climb to avoid traffic
02:33:00,UAE201,"BAW850, SWA800, Lufthansa365",7,230,Increase speed to avoid traffic conflict
02:33:30,UAE201,"DAL773, SWA246, Qantas310",12,176,Increase speed to avoid traffic conflict
02:34:00,UAE201,"JBU453, UAL655, AFR939",13,345,Maintain separation
02:34:30,UAE201,"DAL129, AFR181, BAW808",14,250,Turn left for traffic avoidance
02:35:00,UAE201,"KLM830, JBU930, AFR850",1,41,Descend to avoid traffic
02:35:30,UAE201,"JBU650, AFR198, Qantas486",14,326,Maintain separation
02:36:00,UAE201,"Emirates596, DAL451, AFR486",8,345,Climb to avoid traffic
02:36:30,UAE201,"SWA529, Lufthansa393, Emirates329",11,80,Increase speed to avoid traffic conflict
02:37:00,UAE201,"UAL660, KLM163, AFR270",12,47,Increase speed to avoid traffic conflict
02:37:30,UAE201,"AFR986, Lufthansa760, DAL705",12,245,Turn left for traffic avoidance
02:38:00,UAE201,"JBU310, Emirates382, AFR703",6,250,Increase speed to avoid traffic conflict
