Time,Call Sign,System,Status,Action Needed,Remarks
00:27:30,UAE201,Landing Gear,Warning,System reset needed,
00:28:00,UAE201,Hydraulics,Warning,No action needed,
00:28:30,UAE201,Landing Gear,Critical,System reset needed,
00:29:00,UAE201,Hydraulics,Normal,Manual override required,
00:29:30,UAE201,Engine,Normal,System reset needed,
00:30:00,UAE201,Electrical,Normal,Manual override required,
00:30:30,UAE201,Landing Gear,Critical,Manual override required,
00:31:00,UAE201,Avionics,Warning,System reset needed,
00:31:30,UAE201,Hydraulics,Critical,Manual override required,
00:32:00,UAE201,Landing Gear,Normal,No action needed,
00:32:30,UAE201,Avionics,Normal,Manual override required,
00:33:00,UAE201,Engine,Warning,System reset needed,
00:33:30,UAE201,Avionics,Normal,No action needed,
00:34:00,UAE201,Landing Gear,Critical,No action needed,
00:34:30,UAE201,Hydraulics,Normal,Manual override required,
00:35:00,UAE201,Landing Gear,Normal,No action needed,
00:35:30,UAE201,Landing Gear,Normal,Manual override required,
00:36:00,UAE201,Electrical,Warning,System reset needed,
00:36:30,UAE201,Electrical,Normal,System reset needed,
00:37:00,UAE201,Hydraulics,Critical,No action needed,
00:37:30,UAE201,Electrical,Normal,Manual override required,
00:38:00,UAE201,Landing Gear,Normal,Manual override required,
00:38:30,UAE201,Landing Gear,Warning,Manual override required,
00:39:00,UAE201,Hydraulics,Normal,Manual override required,
00:39:30,UAE201,Electrical,Warning,System reset needed,
00:40:00,UAE201,Landing Gear,Normal,System reset needed,
00:40:30,UAE201,Landing Gear,Warning,Manual override required,
00:41:00,UAE201,Engine,Normal,No action needed,
00:41:30,UAE201,Hydraulics,Normal,No action needed,
00:42:00,UAE201,Landing Gear,Normal,System reset needed,
00:42:30,UAE201,Electrical,Normal,No action needed,
00:43:00,UAE201,Landing Gear,Normal,System reset needed,
00:43:30,UAE201,Engine,Normal,System reset needed,
00:44:00,UAE201,Electrical,Critical,Manual override required,
00:44:30,UAE201,Hydraulics,Critical,No action needed,
00:45:00,UAE201,Hydraulics,Warning,Manual override required,
00:45:30,UAE201,Landing Gear,Critical,System reset needed,
00:46:00,UAE201,Landing Gear,Normal,Manual override required,
00:46:30,UAE201,Avionics,Critical,System reset needed,
00:47:00,UAE201,Engine,Normal,Manual override required,
00:47:30,UAE201,Landing Gear,Critical,System reset needed,
00:48:00,UAE201,Engine,Warning,No action needed,
00:48:30,UAE201,Engine,Critical,System reset needed,
00:49:00,UAE201,Landing Gear,Normal,No action needed,
00:49:30,UAE201,Avionics,Warning,No action needed,
00:50:00,UAE201,Electrical,Critical,Manual override required,
00:50:30,UAE201,Electrical,Warning,No action needed,
00:51:00,UAE201,Electrical,Normal,System reset needed,
00:51:30,UAE201,Hydraulics,Warning,Manual override required,
00:52:00,UAE201,Electrical,Warning,System reset needed,
00:52:30,UAE201,Hydraulics,Critical,Manual override required,
00:53:00,UAE201,Landing Gear,Warning,No action needed,
00:53:30,UAE201,Hydraulics,Critical,Manual override required,
00:54:00,UAE201,Hydraulics,Critical,Manual override required,
00:54:30,UAE201,Hydraulics,Critical,System reset needed,
00:55:00,UAE201,Landing Gear,Warning,No action needed,
00:55:30,UAE201,Avionics,Normal,No action needed,
00:56:00,UAE201,Hydraulics,Warning,No action needed,
00:56:30,UAE201,Landing Gear,Normal,System reset needed,
00:57:00,UAE201,Engine,Normal,System reset needed,
00:57:30,UAE201,Landing Gear,Critical,Manual override required,
00:58:00,UAE201,Landing Gear,Normal,System reset needed,
00:58:30,UAE201,Hydraulics,Critical,Manual override required,
00:59:00,UAE201,Avionics,Normal,System reset needed,
00:59:30,UAE201,Hydraulics,Critical,No action needed,
01:00:00,UAE201,Landing Gear,Critical,System reset needed,
01:00:30,UAE201,Engine,Critical,Manual override required,
01:01:00,UAE201,Hydraulics,Critical,No action needed,
01:01:30,UAE201,Avionics,Normal,No action needed,
01:02:00,UAE201,Landing Gear,Warning,System reset needed,
01:02:30,UAE201,Electrical,Critical,No action needed,
01:03:00,UAE201,Hydraulics,Normal,Manual override required,
01:03:30,UAE201,Landing Gear,Normal,No action needed,
01:04:00,UAE201,Electrical,Critical,No action needed,
01:04:30,UAE201,Avionics,Critical,No action needed,
01:05:00,UAE201,Landing Gear,Critical,Manual override required,
01:05:30,UAE201,Hydraulics,Critical,No action needed,
01:06:00,UAE201,Landing Gear,Normal,Manual override required,
01:06:30,UAE201,Electrical,Critical,System reset needed,
01:07:00,UAE201,Engine,Normal,No action needed,
01:07:30,UAE201,Engine,Normal,System reset needed,
01:08:00,UAE201,Avionics,Critical,System reset needed,
01:08:30,UAE201,Engine,Warning,No action needed,
01:09:00,UAE201,Hydraulics,Critical,No action needed,
01:09:30,UAE201,Avionics,Warning,System reset needed,
01:10:00,UAE201,Engine,Warning,Manual override required,
01:10:30,UAE201,Electrical,Critical,Manual override required,
01:11:00,UAE201,Avionics,Critical,System reset needed,
01:11:30,UAE201,Hydraulics,Normal,No action needed,
01:12:00,UAE201,Hydraulics,Normal,No action needed,
01:12:30,UAE201,Electrical,Warning,Manual override required,
01:13:00,UAE201,Electrical,Normal,No action needed,
01:13:30,UAE201,Avionics,Critical,No action needed,
01:14:00,UAE201,Electrical,Warning,No action needed,
01:14:30,UAE201,Engine,Normal,No action needed,
01:15:00,UAE201,Hydraulics,Normal,No action needed,
01:15:30,UAE201,Landing Gear,Critical,No action needed,
01:16:00,UAE201,Hydraulics,Normal,Manual override required,
01:16:30,UAE201,Landing Gear,Critical,Manual override required,
01:17:00,UAE201,Avionics,Warning,Manual override required,
01:17:30,UAE201,Engine,Normal,Manual override required,
01:18:00,UAE201,Landing Gear,Normal,No action needed,
01:18:30,UAE201,Electrical,Critical,System reset needed,
01:19:00,UAE201,Hydraulics,Normal,No action needed,
01:19:30,UAE201,Electrical,Normal,Manual override required,
01:20:00,UAE201,Engine,Normal,No action needed,
01:20:30,UAE201,Avionics,Critical,Manual override required,
01:21:00,UAE201,Engine,Critical,No action needed,
01:21:30,UAE201,Avionics,Normal,System reset needed,
01:22:00,UAE201,Avionics,Critical,Manual override required,
01:22:30,UAE201,Engine,Warning,System reset needed,
01:23:00,UAE201,Landing Gear,Warning,System reset needed,
01:23:30,UAE201,Engine,Critical,No action needed,
01:24:00,UAE201,Landing Gear,Warning,System reset needed,
01:24:30,UAE201,Hydraulics,Normal,System reset needed,
01:25:00,UAE201,Electrical,Normal,System reset needed,
01:25:30,UAE201,Hydraulics,Warning,System reset needed,
01:26:00,UAE201,Electrical,Warning,System reset needed,
01:26:30,UAE201,Avionics,Critical,System reset needed,
01:27:00,UAE201,Engine,Warning,Manual override required,
01:27:30,UAE201,Avionics,Critical,System reset needed,
01:28:00,UAE201,Hydraulics,Warning,Manual override required,
01:28:30,UAE201,Engine,Normal,Manual override required,
01:29:00,UAE201,Engine,Normal,No action needed,
01:29:30,UAE201,Electrical,Critical,No action needed,
01:30:00,UAE201,Hydraulics,Warning,System reset needed,
01:30:30,UAE201,Hydraulics,Critical,System reset needed,
01:31:00,UAE201,Engine,Critical,System reset needed,
01:31:30,UAE201,Landing Gear,Warning,Manual override required,
01:32:00,UAE201,Landing Gear,Warning,No action needed,
01:32:30,UAE201,Hydraulics,Warning,Manual override required,
01:33:00,UAE201,Engine,Critical,No action needed,
01:33:30,UAE201,Avionics,Normal,System reset needed,
01:34:00,UAE201,Hydraulics,Critical,Manual override required,
01:34:30,UAE201,Hydraulics,Normal,System reset needed,
01:35:00,UAE201,Landing Gear,Normal,Manual override required,
01:35:30,UAE201,Engine,Warning,No action needed,
01:36:00,UAE201,Electrical,Normal,System reset needed,
01:36:30,UAE201,Hydraulics,Critical,System reset needed,
01:37:00,UAE201,Avionics,Critical,Manual override required,
01:37:30,UAE201,Avionics,Critical,Manual override required,
01:38:00,UAE201,Avionics,Warning,Manual override required,
01:38:30,UAE201,Landing Gear,Normal,No action needed,
01:39:00,UAE201,Engine,Warning,System reset needed,
01:39:30,UAE201,Electrical,Critical,No action needed,
01:40:00,UAE201,Hydraulics,Normal,No action needed,
01:40:30,UAE201,Landing Gear,Warning,Manual override required,
01:41:00,UAE201,Landing Gear,Warning,No action needed,
01:41:30,UAE201,Electrical,Warning,No action needed,
01:42:00,UAE201,Engine,Normal,Manual override required,
01:42:30,UAE201,Engine,Normal,System reset needed,
01:43:00,UAE201,Landing Gear,Warning,Manual override required,
01:43:30,UAE201,Hydraulics,Normal,System reset needed,
01:44:00,UAE201,Engine,Warning,Manual override required,
01:44:30,UAE201,Engine,Normal,System reset needed,
01:45:00,UAE201,Hydraulics,Critical,Manual override required,
01:45:30,UAE201,Engine,Critical,Manual override required,
01:46:00,UAE201,Hydraulics,Critical,Manual override required,
01:46:30,UAE201,Avionics,Critical,Manual override required,
01:47:00,UAE201,Electrical,Critical,No action needed,
01:47:30,UAE201,Landing Gear,Warning,System reset needed,
01:48:00,UAE201,Engine,Critical,System reset needed,
01:48:30,UAE201,Engine,Normal,Manual override required,
01:49:00,UAE201,Electrical,Critical,No action needed,
01:49:30,UAE201,Engine,Normal,No action needed,
01:50:00,UAE201,Electrical,Normal,No action needed,
01:50:30,UAE201,Landing Gear,Critical,System reset needed,
01:51:00,UAE201,Avionics,Critical,Manual override required,
01:51:30,UAE201,Electrical,Normal,No action needed,
01:52:00,UAE201,Hydraulics,Warning,Manual override required,
01:52:30,UAE201,Electrical,Normal,No action needed,
01:53:00,UAE201,Engine,Warning,System reset needed,
01:53:30,UAE201,Electrical,Normal,Manual override required,
01:54:00,UAE201,Avionics,Critical,Manual override required,
01:54:30,UAE201,Electrical,Normal,Manual override required,
01:55:00,UAE201,Landing Gear,Warning,System reset needed,
01:55:30,UAE201,Hydraulics,Normal,No action needed,
01:56:00,UAE201,Avionics,Critical,No action needed,
01:56:30,UAE201,Avionics,Warning,System reset needed,
01:57:00,UAE201,Hydraulics,Warning,No action needed,
01:57:30,UAE201,Landing Gear,Normal,No action needed,
01:58:00,UAE201,Avionics,Critical,Manual override required,
01:58:30,UAE201,Engine,Warning,No action needed,
01:59:00,UAE201,Landing Gear,Critical,No action needed,
01:59:30,UAE201,Landing Gear,Normal,No action needed,
02:00:00,UAE201,Landing Gear,Normal,No action needed,
02:00:30,UAE201,Hydraulics,Critical,No action needed,
02:01:00,UAE201,Landing Gear,Critical,System reset needed,
02:01:30,UAE201,Engine,Critical,Manual override required,
02:02:00,UAE201,Avionics,Warning,No action needed,
02:02:30,UAE201,Landing Gear,Normal,Manual override required,
02:03:00,UAE201,Electrical,Normal,Manual override required,
02:03:30,UAE201,Hydraulics,Critical,Manual override required,
02:04:00,UAE201,Engine,Warning,No action needed,
02:04:30,UAE201,Avionics,Normal,Manual override required,
02:05:00,UAE201,Engine,Normal,System reset needed,
02:05:30,UAE201,Landing Gear,Warning,No action needed,
02:06:00,UAE201,Engine,Normal,System reset needed,
02:06:30,UAE201,Electrical,Normal,System reset needed,
02:07:00,UAE201,Hydraulics,Warning,No action needed,
02:07:30,UAE201,Electrical,Normal,No action needed,
02:08:00,UAE201,Hydraulics,Critical,System reset needed,
02:08:30,UAE201,Electrical,Normal,Manual override required,
02:09:00,UAE201,Landing Gear,Warning,System reset needed,
02:09:30,UAE201,Landing Gear,Warning,System reset needed,
02:10:00,UAE201,Engine,Warning,System reset needed,
02:10:30,UAE201,Avionics,Critical,Manual override required,
02:11:00,UAE201,Hydraulics,Warning,No action needed,
02:11:30,UAE201,Avionics,Warning,System reset needed,
02:12:00,UAE201,Engine,Critical,Manual override required,
02:12:30,UAE201,Electrical,Normal,No action needed,
02:13:00,UAE201,Electrical,Warning,Manual override required,
02:13:30,UAE201,Landing Gear,Critical,System reset needed,
02:14:00,UAE201,Engine,Critical,No action needed,
02:14:30,UAE201,Electrical,Normal,System reset needed,
02:15:00,UAE201,Electrical,Normal,Manual override required,
02:15:30,UAE201,Hydraulics,Warning,System reset needed,
02:16:00,UAE201,Avionics,Critical,Manual override required,
02:16:30,UAE201,Hydraulics,Warning,No action needed,
02:17:00,UAE201,Engine,Warning,No action needed,
02:17:30,UAE201,Landing Gear,Normal,System reset needed,
02:18:00,UAE201,Avionics,Warning,No action needed,
02:18:30,UAE201,Hydraulics,Warning,No action needed,
02:19:00,UAE201,Landing Gear,Critical,No action needed,
02:19:30,UAE201,Engine,Critical,No action needed,
02:20:00,UAE201,Avionics,Critical,No action needed,
02:20:30,UAE201,Electrical,Critical,Manual override required,
02:21:00,UAE201,Landing Gear,Normal,Manual override required,
02:21:30,UAE201,Engine,Warning,System reset needed,
02:22:00,UAE201,Hydraulics,Warning,Manual override required,
02:22:30,UAE201,Electrical,Critical,System reset needed,
02:23:00,UAE201,Avionics,Critical,No action needed,
02:23:30,UAE201,Avionics,Normal,No action needed,
02:24:00,UAE201,Avionics,Normal,Manual override required,
02:24:30,UAE201,Engine,Warning,Manual override required,
02:25:00,UAE201,Landing Gear,Critical,System reset needed,
02:25:30,UAE201,Avionics,Warning,No action needed,
02:26:00,UAE201,Hydraulics,Normal,System reset needed,
02:26:30,UAE201,Electrical,Warning,No action needed,
02:27:00,UAE201,Electrical,Normal,No action needed,
02:27:30,UAE201,Landing Gear,Warning,System reset needed,
02:28:00,UAE201,Engine,Warning,No action needed,
02:28:30,UAE201,Landing Gear,Warning,No action needed,
02:29:00,UAE201,Electrical,Normal,Manual override required,
02:29:30,UAE201,Hydraulics,Warning,No action needed,
02:30:00,UAE201,Landing Gear,Warning,Manual override required,
02:30:30,UAE201,Engine,Normal,No action needed,
02:31:00,UAE201,Electrical,Normal,No action needed,
02:31:30,UAE201,Landing Gear,Critical,Manual override required,
02:32:00,UAE201,Landing Gear,Warning,No action needed,
02:32:30,UAE201,Avionics,Critical,System reset needed,
02:33:00,UAE201,Landing Gear,Normal,System reset needed,
02:33:30,UAE201,Engine,Warning,No action needed,
02:34:00,UAE201,Avionics,Normal,No action needed,
02:34:30,UAE201,Engine,Critical,Manual override required,
02:35:00,UAE201,Engine,Warning,System reset needed,
02:35:30,UAE201,Landing Gear,Warning,System reset needed,
02:36:00,UAE201,Landing Gear,Warning,System reset needed,
02:36:30,UAE201,Avionics,Normal,No action needed,
02:37:00,UAE201,Engine,Normal,System reset needed,
02:37:30,UAE201,Landing Gear,Warning,Manual override required,
02:38:00,UAE201,Avionics,Normal,Manual override required,
02:38:30,UAE201,Engine,Critical,No action needed,
02:39:00,UAE201,Electrical,Normal,No action needed,
02:39:30,UAE201,Electrical,Normal,Manual override required,
02:40:00,UAE201,Engine,Warning,Manual override required,
02:40:30,UAE201,Landing Gear,Critical,System reset needed,
02:41:00,UAE201,Landing Gear,Critical,Manual override required,
02:41:30,UAE201,Engine,Warning,No action needed,
02:42:00,UAE201,Landing Gear,Warning,No action needed,
02:42:30,UAE201,Engine,Critical,Manual override required,
02:43:00,UAE201,Hydraulics,Normal,Manual override required,
02:43:30,UAE201,Landing Gear,Normal,No action needed,
02:44:00,UAE201,Engine,Warning,System reset needed,
02:44:30,UAE201,Engine,Normal,No action needed,
02:45:00,UAE201,Avionics,Normal,System reset needed,
02:45:30,UAE201,Landing Gear,Warning,Manual override required,
02:46:00,UAE201,Avionics,Critical,System reset needed,
02:46:30,UAE201,Hydraulics,Warning,No action needed,
02:47:00,UAE201,Landing Gear,Normal,System reset needed,
02:47:30,UAE201,Engine,Warning,System reset needed,
02:48:00,UAE201,Landing Gear,Normal,No action needed,
02:48:30,UAE201,Electrical,Critical,System reset needed,
02:49:00,UAE201,Engine,Normal,System reset needed,
02:49:30,UAE201,Engine,Warning,System reset needed,
02:50:00,UAE201,Engine,Critical,System reset needed,
02:50:30,UAE201,Electrical,Normal,Manual override required,
02:51:00,UAE201,Landing Gear,Critical,No action needed,
02:51:30,UAE201,Hydraulics,Critical,No action needed,
02:52:00,UAE201,Electrical,Normal,System reset needed,
02:52:30,UAE201,Hydraulics,Critical,Manual override required,
02:53:00,UAE201,Hydraulics,Warning,No action needed,
02:53:30,UAE201,Hydraulics,Normal,No action needed,
02:54:00,UAE201,Hydraulics,Critical,System reset needed,
02:54:30,UAE201,Hydraulics,Critical,Manual override required,
02:55:00,UAE201,Hydraulics,Critical,System reset needed,
02:55:30,UAE201,Landing Gear,Critical,Manual override required,
02:56:00,UAE201,Engine,Critical,System reset needed,
02:56:30,UAE201,Avionics,Critical,No action needed,
02:57:00,UAE201,Electrical,Normal,No action needed,
02:57:30,UAE201,Electrical,Warning,No action needed,
02:58:00,UAE201,Electrical,Warning,Manual override required,
02:58:30,UAE201,Landing Gear,Normal,No action needed,
02:59:00,UAE201,Avionics,Normal,Manual override required,
02:59:30,UAE201,Landing Gear,Warning,Manual override required,
03:00:00,UAE201,Engine,Warning,System reset needed,
03:00:30,UAE201,Engine,Normal,No action needed,
03:01:00,UAE201,Engine,Critical,No action needed,
03:01:30,UAE201,Hydraulics,Normal,No action needed,
03:02:00,UAE201,Engine,Normal,System reset needed,
03:02:30,UAE201,Hydraulics,Normal,System reset needed,
03:03:00,UAE201,Electrical,Normal,No action needed,
03:03:30,UAE201,Hydraulics,Warning,System reset needed,
03:04:00,UAE201,Avionics,Warning,Manual override required,
03:04:30,UAE201,Engine,Normal,Manual override required,
03:05:00,UAE201,Electrical,Normal,Manual override required,
03:05:30,UAE201,Electrical,Normal,System reset needed,
03:06:00,UAE201,Hydraulics,Warning,System reset needed,
03:06:30,UAE201,Electrical,Critical,System reset needed,
03:07:00,UAE201,Electrical,Normal,Manual override required,
03:07:30,UAE201,Electrical,Warning,System reset needed,
03:08:00,UAE201,Hydraulics,Warning,No action needed,
03:08:30,UAE201,Engine,Warning,System reset needed,
03:09:00,UAE201,Avionics,Normal,System reset needed,
03:09:30,UAE201,Avionics,Warning,No action needed,
03:10:00,UAE201,Engine,Critical,Manual override required,
03:10:30,UAE201,Electrical,Warning,Manual override required,
03:11:00,UAE201,Hydraulics,Warning,Manual override required,
03:11:30,UAE201,Engine,Critical,System reset needed,
03:12:00,UAE201,Hydraulics,Normal,No action needed,
03:12:30,UAE201,Engine,Warning,No action needed,
03:13:00,UAE201,Engine,Normal,No action needed,
03:13:30,UAE201,Landing Gear,Normal,No action needed,
03:14:00,UAE201,Avionics,Normal,No action needed,
03:14:30,UAE201,Hydraulics,Critical,System reset needed,
03:15:00,UAE201,Hydraulics,Normal,Manual override required,
03:15:30,UAE201,Avionics,Warning,No action needed,
03:16:00,UAE201,Electrical,Normal,Manual override required,
03:16:30,UAE201,Hydraulics,Critical,No action needed,
03:17:00,UAE201,Avionics,Critical,System reset needed,
03:17:30,UAE201,Avionics,Normal,Manual override required,
03:18:00,UAE201,Engine,Normal,System reset needed,
03:18:30,UAE201,Landing Gear,Normal,No action needed,
03:19:00,UAE201,Electrical,Critical,Manual override required,
03:19:30,UAE201,Electrical,Warning,No action needed,
03:20:00,UAE201,Landing Gear,Warning,Manual override required,
03:20:30,UAE201,Landing Gear,Critical,System reset needed,
03:21:00,UAE201,Engine,Normal,Manual override required,
03:21:30,UAE201,Landing Gear,Normal,No action needed,
03:22:00,UAE201,Hydraulics,Warning,No action needed,
03:22:30,UAE201,Hydraulics,Critical,System reset needed,
03:23:00,UAE201,Engine,Critical,System reset needed,
03:23:30,UAE201,Electrical,Normal,Manual override required,
03:24:00,UAE201,Engine,Normal,No action needed,
03:24:30,UAE201,Landing Gear,Normal,System reset needed,
03:25:00,UAE201,Avionics,Normal,System reset needed,
03:25:30,UAE201,Engine,Normal,System reset needed,
03:26:00,UAE201,Engine,Warning,Manual override required,
03:26:30,UAE201,Landing Gear,Normal,System reset needed,
03:27:00,UAE201,Engine,Normal,No action needed,
03:27:30,UAE201,Engine,Critical,No action needed,
03:28:00,UAE201,Electrical,Critical,No action needed,
03:28:30,UAE201,Avionics,Critical,Manual override required,
03:29:00,UAE201,Electrical,Critical,System reset needed,
03:29:30,UAE201,Landing Gear,Warning,Manual override required,
03:30:00,UAE201,Avionics,Critical,System reset needed,
03:30:30,UAE201,Hydraulics,Critical,System reset needed,
03:31:00,UAE201,Electrical,Critical,System reset needed,
03:31:30,UAE201,Landing Gear,Normal,Manual override required,
03:32:00,UAE201,Electrical,Warning,System reset needed,
03:32:30,UAE201,Electrical,Warning,Manual override required,
03:33:00,UAE201,Landing Gear,Critical,Manual override required,
03:33:30,UAE201,Avionics,Normal,System reset needed,
03:34:00,UAE201,Avionics,Warning,System reset needed,
03:34:30,UAE201,Electrical,Critical,No action needed,
03:35:00,UAE201,Avionics,Normal,No action needed,
03:35:30,UAE201,Hydraulics,Normal,No action needed,
03:36:00,UAE201,Engine,Normal,Manual override required,
03:36:30,UAE201,Engine,Normal,No action needed,
03:37:00,UAE201,Engine,Normal,Manual override required,
03:37:30,UAE201,Avionics,Critical,No action needed,
03:38:00,UAE201,Landing Gear,Normal,Manual override required,
03:38:30,UAE201,Electrical,Critical,No action needed,
03:39:00,UAE201,Hydraulics,Warning,Manual override required,
03:39:30,UAE201,Electrical,Critical,No action needed,
03:40:00,UAE201,Hydraulics,Warning,Manual override required,
03:40:30,UAE201,Engine,Critical,Manual override required,
03:41:00,UAE201,Avionics,Normal,No action needed,
03:41:30,UAE201,Electrical,Warning,System reset needed,
03:42:00,UAE201,Hydraulics,Critical,System reset needed,
03:42:30,UAE201,Engine,Warning,No action needed,
03:43:00,UAE201,Hydraulics,Normal,No action needed,
03:43:30,UAE201,Avionics,Warning,Manual override required,
03:44:00,UAE201,Hydraulics,Warning,System reset needed,
03:44:30,UAE201,Avionics,Critical,System reset needed,
03:45:00,UAE201,Landing Gear,Warning,System reset needed,
03:45:30,UAE201,Landing Gear,Warning,No action needed,
03:46:00,UAE201,Electrical,Critical,No action needed,
03:46:30,UAE201,Electrical,Normal,No action needed,
03:47:00,UAE201,Electrical,Warning,Manual override required,
03:47:30,UAE201,Engine,Critical,No action needed,
03:48:00,UAE201,Avionics,Normal,No action needed,
03:48:30,UAE201,Landing Gear,Warning,System reset needed,
03:49:00,UAE201,Engine,Normal,System reset needed,
03:49:30,UAE201,Electrical,Critical,System reset needed,
03:50:00,UAE201,Landing Gear,Normal,Manual override required,
03:50:30,UAE201,Engine,Normal,System reset needed,
03:51:00,UAE201,Engine,Normal,System reset needed,
03:51:30,UAE201,Hydraulics,Normal,No action needed,
03:52:00,UAE201,Hydraulics,Warning,No action needed,
03:52:30,UAE201,Electrical,Warning,No action needed,
03:53:00,UAE201,Landing Gear,Critical,No action needed,
03:53:30,UAE201,Electrical,Normal,No action needed,
03:54:00,UAE201,Hydraulics,Normal,System reset needed,
03:54:30,UAE201,Landing Gear,Normal,No action needed,
03:55:00,UAE201,Hydraulics,Warning,No action needed,
03:55:30,UAE201,Engine,Normal,No action needed,
03:56:00,UAE201,Avionics,Warning,No action needed,
03:56:30,UAE201,Hydraulics,Normal,No action needed,
03:57:00,UAE201,Avionics,Critical,Manual override required,
03:57:30,UAE201,Electrical,Critical,System reset needed,
03:58:00,UAE201,Landing Gear,Critical,No action needed,
03:58:30,UAE201,Electrical,Critical,Manual override required,
03:59:00,UAE201,Landing Gear,Critical,System reset needed,
03:59:30,UAE201,Electrical,Critical,System reset needed,
04:00:00,UAE201,Avionics,Warning,System reset needed,
04:00:30,UAE201,Electrical,Critical,No action needed,
04:01:00,UAE201,Hydraulics,Critical,Manual override required,
04:01:30,UAE201,Avionics,Warning,System reset needed,
04:02:00,UAE201,Hydraulics,Normal,No action needed,
04:02:30,UAE201,Avionics,Critical,Manual override required,
04:03:00,UAE201,Avionics,Critical,No action needed,
04:03:30,UAE201,Avionics,Warning,Manual override required,
04:04:00,UAE201,Electrical,Normal,Manual override required,
04:04:30,UAE201,Electrical,Warning,System reset needed,
04:05:00,UAE201,Engine,Critical,No action needed,
04:05:30,UAE201,Electrical,Warning,System reset needed,
04:06:00,UAE201,Hydraulics,Critical,System reset needed,
04:06:30,UAE201,Electrical,Critical,No action needed,
04:07:00,UAE201,Engine,Normal,System reset needed,
04:07:30,UAE201,Avionics,Warning,System reset needed,
04:08:00,UAE201,Landing Gear,Critical,No action needed,
04:08:30,UAE201,Electrical,Critical,System reset needed,
04:09:00,UAE201,Engine,Warning,System reset needed,
04:09:30,UAE201,Hydraulics,Warning,System reset needed,
04:10:00,UAE201,Electrical,Warning,System reset needed,
04:10:30,UAE201,Electrical,Critical,No action needed,
04:11:00,UAE201,Avionics,Critical,No action needed,
04:11:30,UAE201,Landing Gear,Normal,No action needed,
04:12:00,UAE201,Electrical,Normal,System reset needed,
04:12:30,UAE201,Landing Gear,Warning,System reset needed,
04:13:00,UAE201,Engine,Normal,No action needed,
04:13:30,UAE201,Hydraulics,Warning,System reset needed,
04:14:00,UAE201,Engine,Warning,System reset needed,
04:14:30,UAE201,Electrical,Normal,No action needed,
04:15:00,UAE201,Avionics,Warning,No action needed,
04:15:30,UAE201,Engine,Critical,No action needed,
