Time (UTC),Flight Number,Call Sign,Aircraft Type,Communication Type,Communication Content,Altitude (ft),Speed (knots),Heading (degrees),"Position (Latitude°, Longitude°)",Weather Update,NOTAMs,Navigational Information,Flight Manual Reference,Summary
06:05:30,FDB109,FDB109,Airbus A380,ATC Instruction,Cleared for takeoff runway 30R.,20000,445,169,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:06:00,UAE180,UAE180,Boeing 737 MAX,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,25000,163,80,"24.9180° N, 55.0728° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:06:30,UAE123,UAE123,Airbus A380,Pilot Acknowledgment,"Proceeding direct to DESDI, UAE123.",15000,164,297,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:07:00,ETD174,ETD174,Boeing 787,Pilot Acknowledgment,"Holding at PASOV, ETD174.",20000,383,310,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:07:30,ETD176,ETD176,Boeing 787,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,25000,206,116,"24.4560° N, 54.6374° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:08:00,FDB127,FDB127,Boeing 777,NOTAM Alert,GPS interference reported near waypoint ORSAR.,10000,474,40,"24.4560° N, 54.6374° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:08:30,ETD194,ETD194,Boeing 737 MAX,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,41000,423,255,"26.0765° N, 56.2406° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:09:00,UAE110,UAE110,Boeing 787,Pilot Report,"Established on localizer, runway in sight.",10000,95,64,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:09:30,FDB115,FDB115,Boeing 787,Pilot Acknowledgment,"Left heading 46, FDB115.",5000,480,46,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:10:00,ABY195,ABY195,Boeing 787,ATC Instruction,Expect holding at waypoint PASOV.,41000,288,94,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:10:30,ABY148,ABY148,Boeing 737 MAX,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,41000,473,159,"26.0765° N, 56.2406° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:11:00,FDB100,FDB100,Boeing 737 MAX,Pilot Report,"Runway vacated, taxiing to gate.",20000,116,140,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:11:30,UAE127,UAE127,Airbus A320,Pilot Acknowledgment,"Climb and maintain 10000 feet, UAE127.",10000,247,69,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:12:00,UAE167,UAE167,Boeing 777,NOTAM Alert,Navigation aid VOR DUB out of service.,3000,197,206,"25.2532° N, 55.3657° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:12:30,ETD142,ETD142,Boeing 737 MAX,Weather Update,Moderate turbulence reported at FL410.,41000,201,169,"26.0765° N, 56.2406° E",Moderate turbulence reported at FL410.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:13:00,FDB187,FDB187,Boeing 777,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,25000,262,225,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:13:30,ABY181,ABY181,Boeing 787,Pilot Report,"Holding short of runway 12L, ready for departure.",41000,495,339,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:14:00,ETD142,ETD142,Boeing 787,Pilot Report,Experiencing moderate turbulence at FL410.,41000,155,61,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:14:30,ABY181,ABY181,Airbus A380,Pilot Acknowledgment,"Proceeding direct to DESDI, ABY181.",3000,298,219,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:15:00,UAE140,UAE140,Boeing 777,Pilot Acknowledgment,"Proceeding direct to DESDI, UAE140.",3000,103,289,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:15:30,UAE138,UAE138,Airbus A380,Pilot Report,"Cleared turbulence, resuming normal speed.",41000,330,203,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:16:00,FDB143,FDB143,Airbus A320,Pilot Report,"Runway vacated, taxiing to gate.",3000,337,351,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:16:30,ETD123,ETD123,Boeing 737 MAX,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,10000,188,138,"26.0765° N, 56.2406° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:17:00,FDB123,FDB123,Boeing 787,Pilot Report,"Runway vacated, taxiing to gate.",3000,31,22,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:17:30,FDB194,FDB194,Airbus A380,ATC Instruction,"Descend and maintain 0 feet, expect ILS approach runway 09L.",0,376,191,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:18:00,UAE104,UAE104,Boeing 787,NOTAM Alert,Temporary flight restriction active over area OM999.,20000,29,12,"26.0765° N, 56.2406° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:18:30,FDB168,FDB168,Boeing 777,Pilot Acknowledgment,"Proceeding direct to DESDI, FDB168.",15000,420,92,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:19:00,ETD144,ETD144,Boeing 777,ATC Instruction,Expect holding at waypoint PASOV.,38000,157,5,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:19:30,UAE178,UAE178,Airbus A320,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,20000,392,238,"25.3286° N, 55.5171° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:20:00,ETD168,ETD168,Airbus A320,ATC Instruction,Climb and maintain 10000 feet.,10000,164,248,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:20:30,FDB111,FDB111,Airbus A380,NOTAM Alert,Temporary flight restriction active over area OM999.,3000,196,154,"26.0765° N, 56.2406° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:21:00,ETD186,ETD186,Boeing 777,NOTAM Alert,GPS interference reported near waypoint ORSAR.,25000,403,173,"24.9180° N, 55.0728° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:21:30,ETD170,ETD170,Airbus A320,Weather Update,Moderate turbulence reported at FL30.,3000,439,104,"26.0765° N, 56.2406° E",Moderate turbulence reported at FL30.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:22:00,UAE178,UAE178,Boeing 777,Pilot Acknowledgment,"Switching to 125.5, UAE178.",0,88,45,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:22:30,FDB164,FDB164,Airbus A380,ATC Instruction,Maintain present speed.,35000,299,143,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:23:00,ETD118,ETD118,Boeing 737 MAX,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,30000,312,176,"24.4560° N, 54.6374° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:23:30,ABY151,ABY151,Airbus A320,NOTAM Alert,GPS interference reported near waypoint ORSAR.,15000,15,20,"25.3286° N, 55.5171° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:24:00,ABY113,ABY113,Boeing 737 MAX,ATC Instruction,Cleared for takeoff runway 30R.,3000,396,94,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:24:30,UAE168,UAE168,Boeing 787,Weather Update,Wind shear reported on final approach runway 30L.,35000,438,345,"25.2532° N, 55.3657° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:25:00,ETD169,ETD169,Airbus A380,Pilot Acknowledgment,"Maintaining present speed, ETD169.",35000,313,278,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:25:30,UAE158,UAE158,Airbus A320,Pilot Report,"Passing FL0, climbing to FL380.",0,275,94,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:26:00,UAE128,UAE128,Boeing 777,Weather Update,Wind shear reported on final approach runway 30L.,41000,302,277,"26.0765° N, 56.2406° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:26:30,FDB152,FDB152,Airbus A320,Pilot Acknowledgment,"Descend to 25000 feet, expect ILS 09L, FDB152.",25000,471,306,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:27:00,FDB185,FDB185,Airbus A320,Pilot Acknowledgment,"Holding at PASOV, FDB185.",15000,94,156,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:27:30,FDB171,FDB171,Boeing 787,Weather Update,Moderate turbulence reported at FL150.,15000,226,280,"25.3286° N, 55.5171° E",Moderate turbulence reported at FL150.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:28:00,UAE196,UAE196,Airbus A380,Pilot Acknowledgment,"Holding at PASOV, UAE196.",35000,459,51,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:28:30,ETD166,ETD166,Boeing 737 MAX,ATC Instruction,Maintain present speed.,5000,28,40,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:29:00,UAE161,UAE161,Boeing 787,ATC Instruction,Maintain present speed.,20000,432,172,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:29:30,ETD114,ETD114,Airbus A380,Pilot Acknowledgment,"Proceeding direct to DESDI, ETD114.",5000,172,219,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:30:00,FDB164,FDB164,Airbus A380,Pilot Report,Experiencing moderate turbulence at FL250.,25000,296,122,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:30:30,ETD191,ETD191,Boeing 777,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,10000,146,347,"25.2532° N, 55.3657° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:31:00,ETD134,ETD134,Boeing 737 MAX,Pilot Report,Engine 2 showing abnormal vibrations.,5000,355,17,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:31:30,ETD109,ETD109,Airbus A380,Weather Update,Wind shear reported on final approach runway 30L.,35000,239,65,"26.0765° N, 56.2406° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:32:00,UAE128,UAE128,Boeing 777,Weather Update,Wind shear reported on final approach runway 30L.,3000,263,26,"26.0765° N, 56.2406° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:32:30,FDB100,FDB100,Boeing 787,Pilot Report,"Holding short of runway 12L, ready for departure.",3000,405,150,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:33:00,ETD181,ETD181,Boeing 737 MAX,Pilot Report,"Holding short of runway 12L, ready for departure.",41000,235,215,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:33:30,UAE129,UAE129,Airbus A380,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,38000,463,46,"24.9180° N, 55.0728° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:34:00,UAE190,UAE190,Airbus A320,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,38000,13,229,"24.9180° N, 55.0728° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:34:30,UAE140,UAE140,Boeing 777,NOTAM Alert,Temporary flight restriction active over area OM999.,15000,344,101,"24.4560° N, 54.6374° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:35:00,ABY197,ABY197,Boeing 787,Weather Update,Wind shear reported on final approach runway 30L.,35000,93,201,"24.9180° N, 55.0728° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:35:30,FDB186,FDB186,Airbus A380,Weather Update,Moderate turbulence reported at FL30.,3000,30,138,"25.2532° N, 55.3657° E",Moderate turbulence reported at FL30.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:36:00,ETD136,ETD136,Boeing 787,Pilot Report,Engine 2 showing abnormal vibrations.,0,238,342,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:36:30,FDB183,FDB183,Boeing 777,ATC Instruction,Maintain present speed.,3000,115,5,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:37:00,ETD192,ETD192,Boeing 787,Pilot Report,Requesting vectors for weather avoidance.,38000,27,172,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:37:30,ABY177,ABY177,Boeing 787,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,5000,200,209,"24.9180° N, 55.0728° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:38:00,FDB152,FDB152,Boeing 737 MAX,Pilot Report,"Runway vacated, taxiing to gate.",5000,206,267,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:38:30,ETD147,ETD147,Boeing 737 MAX,Pilot Report,"Established on localizer, runway in sight.",30000,74,121,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:39:00,UAE167,UAE167,Airbus A320,NOTAM Alert,GPS interference reported near waypoint ORSAR.,30000,478,344,"24.9180° N, 55.0728° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:39:30,UAE154,UAE154,Airbus A380,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,41000,495,194,"24.4560° N, 54.6374° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:40:00,ABY167,ABY167,Boeing 737 MAX,Pilot Acknowledgment,"Left heading 31, ABY167.",3000,46,31,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:40:30,ABY100,ABY100,Boeing 777,ATC Instruction,"Turn left heading 195, vectors for traffic.",0,19,195,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:41:00,ETD175,ETD175,Boeing 787,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,5000,64,160,"25.2532° N, 55.3657° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:41:30,UAE104,UAE104,Boeing 787,Pilot Report,Experiencing moderate turbulence at FL380.,38000,315,346,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:42:00,ABY186,ABY186,Boeing 787,Pilot Report,"Holding short of runway 12L, ready for departure.",41000,138,218,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:42:30,UAE176,UAE176,Boeing 777,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,30000,272,92,"25.2532° N, 55.3657° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:43:00,ABY161,ABY161,Boeing 787,Pilot Report,"Runway vacated, taxiing to gate.",38000,32,318,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:43:30,ETD117,ETD117,Airbus A320,Weather Update,Wind shear reported on final approach runway 30L.,0,436,69,"26.0765° N, 56.2406° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:44:00,FDB169,FDB169,Airbus A320,Pilot Acknowledgment,"Maintaining present speed, FDB169.",41000,252,161,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:44:30,FDB125,FDB125,Airbus A380,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,5000,140,346,"26.0765° N, 56.2406° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:45:00,ETD186,ETD186,Airbus A320,ATC Instruction,Climb and maintain 10000 feet.,10000,437,226,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:45:30,ABY118,ABY118,Boeing 787,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,30000,319,6,"24.9180° N, 55.0728° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:46:00,UAE172,UAE172,Boeing 787,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,5000,473,299,"26.0765° N, 56.2406° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:46:30,ABY142,ABY142,Boeing 737 MAX,Pilot Acknowledgment,"Descend to 20000 feet, expect ILS 09L, ABY142.",20000,345,153,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:47:00,FDB100,FDB100,Boeing 737 MAX,NOTAM Alert,Temporary flight restriction active over area OM999.,10000,268,128,"24.4560° N, 54.6374° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:47:30,FDB123,FDB123,Boeing 787,Pilot Acknowledgment,"Climb and maintain 30000 feet, FDB123.",30000,265,213,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:48:00,ETD185,ETD185,Boeing 737 MAX,Pilot Report,"Holding short of runway 12L, ready for departure.",0,90,346,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:48:30,ETD114,ETD114,Boeing 787,Pilot Report,"Established on localizer, runway in sight.",25000,282,208,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:49:00,ABY149,ABY149,Boeing 777,Pilot Acknowledgment,"Cleared for takeoff runway 30R, ABY149.",20000,41,182,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:49:30,ETD143,ETD143,Boeing 787,Pilot Report,"Cleared turbulence, resuming normal speed.",15000,71,131,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:50:00,ABY118,ABY118,Boeing 777,Pilot Acknowledgment,"Maintaining present speed, ABY118.",15000,418,180,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:50:30,ABY122,ABY122,Airbus A320,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,38000,393,246,"25.2532° N, 55.3657° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:51:00,ABY174,ABY174,Airbus A380,NOTAM Alert,GPS interference reported near waypoint ORSAR.,10000,291,252,"24.9180° N, 55.0728° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:51:30,FDB168,FDB168,Boeing 737 MAX,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,30000,66,52,"25.3286° N, 55.5171° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
06:52:00,ETD112,ETD112,Boeing 777,Pilot Acknowledgment,"Left heading 7, ETD112.",10000,344,7,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
06:52:30,UAE142,UAE142,Airbus A380,ATC Instruction,"Descend and maintain 10000 feet, expect ILS approach runway 09L.",10000,449,79,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:53:00,FDB148,FDB148,Airbus A320,ATC Instruction,Proceed direct to waypoint DESDI.,3000,228,261,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:53:30,ETD162,ETD162,Boeing 737 MAX,ATC Instruction,Expect holding at waypoint PASOV.,0,53,119,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
06:54:00,ETD126,ETD126,Boeing 787,Pilot Report,Engine 2 showing abnormal vibrations.,15000,494,97,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
06:54:30,ABY171,ABY171,Boeing 777,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,3000,55,14,"25.2532° N, 55.3657° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
06:55:00,FDB115,FDB115,Boeing 737 MAX,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,3000,277,183,"25.2532° N, 55.3657° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
