Time,Call Sign,Original Route,Updated Route,Fuel Burn Impact (kg),ATC Clearance
00:16:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,384,Requesting clearance
00:17:00,UAE201,"('26.0765° N', '56.2406° E')",No change,330,Awaiting clearance
00:17:30,UAE201,"('34.0837° N', '74.7973° E')",No change,824,Awaiting clearance
00:18:00,UAE201,"('34.0837° N', '74.7973° E')",No change,954,Cleared
00:18:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,876,Cleared
00:19:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,917,Cleared
00:19:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,912,Denied clearance
00:20:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,454,Awaiting clearance
00:20:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,533,Requesting clearance
00:21:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,333,Cleared
00:21:30,UAE201,"('25.2532° N', '55.3657° E')",No change,902,Awaiting clearance
00:22:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,476,Cleared
00:22:30,UAE201,"('26.0765° N', '56.2406° E')",No change,427,Denied clearance
00:23:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,739,Requesting clearance
00:23:30,UAE201,"('25.2532° N', '55.3657° E')",No change,715,Denied clearance
00:24:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,699,Requesting clearance
00:24:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,280,Requesting clearance
00:25:00,UAE201,"('26.0765° N', '56.2406° E')",No change,406,Denied clearance
00:25:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,537,Denied clearance
00:26:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,280,Awaiting clearance
00:26:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,969,Denied clearance
00:27:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,207,Requesting clearance
00:27:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,233,Cleared
00:28:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,907,Requesting clearance
00:28:30,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,212,Requesting clearance
00:29:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,858,Awaiting clearance
00:29:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,394,Requesting clearance
00:30:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,880,Awaiting clearance
00:30:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,798,Requesting clearance
00:31:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,344,Requesting clearance
00:31:30,UAE201,"('26.0765° N', '56.2406° E')",No change,478,Requesting clearance
00:32:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,282,Denied clearance
00:32:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,343,Cleared
00:33:00,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,653,Cleared
00:33:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,475,Cleared
00:34:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,253,Denied clearance
00:34:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,609,Requesting clearance
00:35:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,239,Cleared
00:35:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,754,Awaiting clearance
00:36:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,971,Requesting clearance
00:36:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,447,Awaiting clearance
00:37:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,942,Cleared
00:37:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,833,Cleared
00:38:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,833,Awaiting clearance
00:38:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,739,Denied clearance
00:39:00,UAE201,"('28.7041° N', '77.1025° E')",No change,519,Denied clearance
00:39:30,UAE201,"('25.2532° N', '55.3657° E')",No change,601,Requesting clearance
00:40:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,725,Requesting clearance
00:40:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,938,Cleared
00:41:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,942,Awaiting clearance
00:41:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,864,Cleared
00:42:00,UAE201,"('28.7041° N', '77.1025° E')",No change,304,Denied clearance
00:42:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,346,Requesting clearance
00:43:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,400,Awaiting clearance
00:43:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,302,Requesting clearance
00:44:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,633,Cleared
00:44:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,999,Denied clearance
00:45:00,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,736,Denied clearance
00:45:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,590,Requesting clearance
00:46:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,546,Cleared
00:46:30,UAE201,"('28.7041° N', '77.1025° E')",No change,359,Cleared
00:47:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,396,Denied clearance
00:47:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,261,Cleared
00:48:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,742,Awaiting clearance
00:48:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,260,Requesting clearance
00:49:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,605,Awaiting clearance
00:49:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,643,Denied clearance
00:50:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,677,Cleared
00:50:30,UAE201,"('26.0765° N', '56.2406° E')",No change,464,Denied clearance
00:51:00,UAE201,"('34.0837° N', '74.7973° E')",No change,915,Requesting clearance
00:51:30,UAE201,"('25.2532° N', '55.3657° E')",No change,593,Awaiting clearance
00:52:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,735,Denied clearance
00:52:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,306,Awaiting clearance
00:53:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,699,Denied clearance
00:53:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,998,Denied clearance
00:54:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,410,Cleared
00:54:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,573,Cleared
00:55:00,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,483,Cleared
00:55:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,413,Requesting clearance
00:56:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,380,Requesting clearance
00:56:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,597,Cleared
00:57:00,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,951,Requesting clearance
00:57:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,321,Denied clearance
00:58:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,569,Requesting clearance
00:58:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,569,Requesting clearance
00:59:00,UAE201,"('28.7041° N', '77.1025° E')",No change,491,Denied clearance
00:59:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,596,Cleared
01:00:00,UAE201,"('26.0765° N', '56.2406° E')",No change,902,Awaiting clearance
01:00:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,793,Denied clearance
01:01:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,774,Denied clearance
01:01:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,664,Requesting clearance
01:02:00,UAE201,"('28.7041° N', '77.1025° E')",No change,417,Awaiting clearance
01:02:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,587,Cleared
01:03:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,742,Denied clearance
01:03:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,955,Cleared
01:04:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,575,Requesting clearance
01:04:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,703,Awaiting clearance
01:05:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,972,Cleared
01:05:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,966,Denied clearance
01:06:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,748,Cleared
01:06:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,730,Denied clearance
01:07:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,748,Awaiting clearance
01:07:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,329,Denied clearance
01:08:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,757,Denied clearance
01:08:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,960,Denied clearance
01:09:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,912,Cleared
01:09:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,262,Cleared
01:10:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,546,Requesting clearance
01:10:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,741,Requesting clearance
01:11:00,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,895,Denied clearance
01:11:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,513,Cleared
01:12:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,482,Awaiting clearance
01:12:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,816,Awaiting clearance
01:13:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,237,Requesting clearance
01:13:30,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,757,Denied clearance
01:14:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,209,Requesting clearance
01:14:30,UAE201,"('34.0837° N', '74.7973° E')",No change,499,Cleared
01:15:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,618,Awaiting clearance
01:15:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,724,Denied clearance
01:16:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,274,Denied clearance
01:16:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,297,Requesting clearance
01:17:00,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,742,Requesting clearance
01:17:30,UAE201,"('25.2532° N', '55.3657° E')",No change,633,Cleared
01:18:00,UAE201,"('28.7041° N', '77.1025° E')",No change,347,Cleared
01:18:30,UAE201,"('34.0837° N', '74.7973° E')",No change,407,Cleared
01:19:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,526,Requesting clearance
01:19:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,561,Denied clearance
01:20:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,210,Requesting clearance
01:20:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,955,Denied clearance
01:21:00,UAE201,"('28.7041° N', '77.1025° E')",No change,960,Denied clearance
01:21:30,UAE201,"('28.7041° N', '77.1025° E')",No change,639,Denied clearance
01:22:00,UAE201,"('26.0765° N', '56.2406° E')",No change,720,Cleared
01:22:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,780,Cleared
01:23:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,866,Denied clearance
01:23:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,608,Cleared
01:24:00,UAE201,"('26.0765° N', '56.2406° E')",No change,281,Requesting clearance
01:24:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,213,Requesting clearance
01:25:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,997,Cleared
01:25:30,UAE201,"('25.2532° N', '55.3657° E')",No change,730,Awaiting clearance
01:26:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,572,Denied clearance
01:26:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,735,Cleared
01:27:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,892,Awaiting clearance
01:27:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,638,Awaiting clearance
01:28:00,UAE201,"('25.2532° N', '55.3657° E')",No change,590,Requesting clearance
01:28:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,240,Cleared
01:29:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,342,Cleared
01:29:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,514,Cleared
01:30:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,273,Awaiting clearance
01:30:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,386,Requesting clearance
01:31:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,260,Awaiting clearance
01:31:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,351,Denied clearance
01:32:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,793,Cleared
01:32:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,855,Denied clearance
01:33:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,995,Awaiting clearance
01:33:30,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,874,Requesting clearance
01:34:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,353,Awaiting clearance
01:34:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,325,Denied clearance
01:35:00,UAE201,"('25.2532° N', '55.3657° E')",No change,233,Requesting clearance
01:35:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,817,Awaiting clearance
01:36:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,973,Awaiting clearance
01:36:30,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,571,Cleared
01:37:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to weather,913,Requesting clearance
01:37:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,607,Cleared
01:38:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,607,Awaiting clearance
01:38:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,777,Awaiting clearance
01:39:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,637,Requesting clearance
01:39:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,354,Cleared
01:40:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to weather,847,Cleared
01:40:30,UAE201,"('26.0765° N', '56.2406° E')",No change,879,Requesting clearance
01:41:00,UAE201,"('34.0837° N', '74.7973° E')",No change,276,Requesting clearance
01:41:30,UAE201,"('25.2532° N', '55.3657° E')",No change,797,Awaiting clearance
01:42:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,867,Denied clearance
01:42:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,652,Cleared
01:43:00,UAE201,"('28.7041° N', '77.1025° E')",Alternate route due to airspace closure,333,Requesting clearance
01:43:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,259,Awaiting clearance
01:44:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,306,Requesting clearance
01:44:30,UAE201,"('26.0765° N', '56.2406° E')",No change,428,Awaiting clearance
01:45:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,640,Awaiting clearance
01:45:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,532,Requesting clearance
01:46:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,501,Cleared
01:46:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,319,Denied clearance
01:47:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,594,Cleared
01:47:30,UAE201,"('34.0837° N', '74.7973° E')",No change,388,Requesting clearance
01:48:00,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,780,Denied clearance
01:48:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,288,Cleared
01:49:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,972,Requesting clearance
01:49:30,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,943,Cleared
01:50:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,706,Awaiting clearance
01:50:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,244,Denied clearance
01:51:00,UAE201,"('26.0765° N', '56.2406° E')",No change,575,Awaiting clearance
01:51:30,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,702,Awaiting clearance
01:52:00,UAE201,"('26.0765° N', '56.2406° E')",No change,275,Requesting clearance
01:52:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,461,Requesting clearance
01:53:00,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,485,Denied clearance
01:53:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,370,Awaiting clearance
01:54:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,566,Awaiting clearance
01:54:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,899,Denied clearance
01:55:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,835,Requesting clearance
01:55:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,755,Denied clearance
01:56:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,614,Requesting clearance
01:56:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,958,Cleared
01:57:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,638,Requesting clearance
01:57:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,838,Denied clearance
01:58:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,986,Requesting clearance
01:58:30,UAE201,"('26.0765° N', '56.2406° E')",No change,989,Cleared
01:59:00,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,682,Denied clearance
01:59:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,544,Awaiting clearance
02:00:00,UAE201,"('34.0837° N', '74.7973° E')",No change,233,Awaiting clearance
02:00:30,UAE201,"('28.7041° N', '77.1025° E')",No change,430,Requesting clearance
02:01:00,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,874,Denied clearance
02:01:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,309,Cleared
02:02:00,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,498,Cleared
02:02:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,477,Denied clearance
02:03:00,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,204,Requesting clearance
02:03:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,604,Denied clearance
02:04:00,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,348,Cleared
02:04:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,320,Awaiting clearance
02:05:00,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,922,Cleared
02:05:30,UAE201,"('25.2532° N', '55.3657° E')",Rerouting due to technical issues,577,Awaiting clearance
02:06:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,760,Denied clearance
02:06:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,770,Denied clearance
02:07:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,216,Requesting clearance
02:07:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,378,Requesting clearance
02:08:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,795,Cleared
02:08:30,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,498,Cleared
02:09:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,258,Requesting clearance
02:09:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to weather,1000,Denied clearance
02:10:00,UAE201,"('25.2532° N', '55.3657° E')",Route deviation due to traffic,531,Requesting clearance
02:10:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to weather,648,Requesting clearance
02:11:00,UAE201,"('34.0837° N', '74.7973° E')",No change,692,Cleared
02:11:30,UAE201,"('28.7041° N', '77.1025° E')",Route deviation due to traffic,953,Denied clearance
02:12:00,UAE201,"('26.0765° N', '56.2406° E')",No change,281,Denied clearance
02:12:30,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,540,Requesting clearance
02:13:00,UAE201,"('26.0765° N', '56.2406° E')",Alternate route due to airspace closure,928,Requesting clearance
02:13:30,UAE201,"('40.6413° N', '-73.7781° W')",Rerouting due to technical issues,955,Cleared
02:14:00,UAE201,"('40.6413° N', '-73.7781° W')",No change,202,Awaiting clearance
02:14:30,UAE201,"('26.0765° N', '56.2406° E')",Rerouting due to technical issues,667,Cleared
02:15:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,595,Awaiting clearance
02:15:30,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,341,Denied clearance
02:16:00,UAE201,"('34.0837° N', '74.7973° E')",No change,451,Denied clearance
02:16:30,UAE201,"('40.6413° N', '-73.7781° W')",Route deviation due to traffic,356,Denied clearance
02:17:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to weather,984,Awaiting clearance
02:17:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,288,Denied clearance
02:18:00,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,748,Denied clearance
02:18:30,UAE201,"('28.7041° N', '77.1025° E')",Rerouting due to technical issues,701,Denied clearance
02:19:00,UAE201,"('28.7041° N', '77.1025° E')",No change,765,Awaiting clearance
02:19:30,UAE201,"('34.0837° N', '74.7973° E')",Rerouting due to technical issues,215,Awaiting clearance
02:20:00,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,987,Denied clearance
02:20:30,UAE201,"('34.0837° N', '74.7973° E')",Alternate route due to airspace closure,870,Cleared
02:21:00,UAE201,"('34.0837° N', '74.7973° E')",Route deviation due to traffic,459,Awaiting clearance
02:21:30,UAE201,"('40.6413° N', '-73.7781° W')",No change,578,Denied clearance
02:22:00,UAE201,"('26.0765° N', '56.2406° E')",Route deviation due to traffic,552,Denied clearance
02:22:30,UAE201,"('40.6413° N', '-73.7781° W')",Alternate route due to airspace closure,784,Cleared
02:23:00,UAE201,"('25.2532° N', '55.3657° E')",Alternate route due to airspace closure,718,Denied clearance
