Time,Call Sign,Runway,Status,Taxiway Congestion,Expected Delays (minutes),Gate Assignment
00:13:30,UAE201,09R,Closed,High,31,Gate assigned at terminal 3
00:14:00,UAE201,13L,Open,Low,57,Gate assigned at terminal 3
00:14:30,UAE201,13L,Under Maintenance,Moderate,41,Gate assigned at terminal 3
00:15:00,UAE201,09L,Under Maintenance,Low,12,Gate assigned at terminal 3
00:15:30,UAE201,27L,Under Maintenance,Low,34,Gate assigned at terminal 3
00:16:00,UAE201,13L,Open,Moderate,59,Gate assigned at terminal 3
00:16:30,UAE201,27R,Closed,Moderate,25,Gate assigned at terminal 3
00:17:00,UAE201,27L,Closed,High,2,Gate assigned at terminal 3
00:17:30,UAE201,13R,Open,High,27,Gate assigned at terminal 3
00:18:00,UAE201,18L,Closed,Moderate,44,Gate assigned at terminal 3
00:18:30,UAE201,18R,Open,Moderate,7,Gate assigned at terminal 3
00:19:00,UAE201,13L,Open,High,29,Gate assigned at terminal 3
00:19:30,UAE201,27R,Under Maintenance,Low,11,Gate assigned at terminal 3
00:20:00,UAE201,09L,Open,High,40,Gate assigned at terminal 3
00:20:30,UAE201,13R,Open,Low,37,Gate assigned at terminal 3
00:21:00,UAE201,13L,Under Maintenance,Low,37,Gate assigned at terminal 3
00:21:30,UAE201,27R,Open,Low,15,Gate assigned at terminal 3
00:22:00,UAE201,13R,Closed,High,13,Gate assigned at terminal 3
00:22:30,UAE201,18L,Open,Low,5,Gate assigned at terminal 3
00:23:00,UAE201,18R,Closed,Moderate,15,Gate assigned at terminal 3
00:23:30,UAE201,18L,Open,High,16,Gate assigned at terminal 3
00:24:00,UAE201,13R,Under Maintenance,Low,34,Gate assigned at terminal 3
00:24:30,UAE201,27R,Under Maintenance,Low,4,Gate assigned at terminal 3
00:25:00,UAE201,09R,Under Maintenance,Moderate,43,Gate assigned at terminal 3
00:25:30,UAE201,13R,Closed,Moderate,42,Gate assigned at terminal 3
00:26:00,UAE201,18L,Closed,High,40,Gate assigned at terminal 3
00:26:30,UAE201,13R,Closed,Low,27,Gate assigned at terminal 3
00:27:00,UAE201,09L,Closed,High,5,Gate assigned at terminal 3
00:27:30,UAE201,13R,Closed,Moderate,22,Gate assigned at terminal 3
00:28:00,UAE201,13R,Open,Moderate,51,Gate assigned at terminal 3
00:28:30,UAE201,09L,Open,High,42,Gate assigned at terminal 3
00:29:00,UAE201,09L,Under Maintenance,High,47,Gate assigned at terminal 3
00:29:30,UAE201,27R,Open,Low,36,Gate assigned at terminal 3
00:30:00,UAE201,27R,Under Maintenance,Moderate,0,Gate assigned at terminal 3
00:30:30,UAE201,18R,Open,Low,19,Gate assigned at terminal 3
00:31:00,UAE201,27L,Open,High,15,Gate assigned at terminal 3
00:31:30,UAE201,13R,Open,High,39,Gate assigned at terminal 3
00:32:00,UAE201,18R,Under Maintenance,Low,22,Gate assigned at terminal 3
00:32:30,UAE201,18R,Open,High,36,Gate assigned at terminal 3
00:33:00,UAE201,18R,Open,High,48,Gate assigned at terminal 3
00:33:30,UAE201,18L,Closed,Low,2,Gate assigned at terminal 3
00:34:00,UAE201,13L,Under Maintenance,Moderate,5,Gate assigned at terminal 3
00:34:30,UAE201,09L,Closed,Moderate,4,Gate assigned at terminal 3
00:35:00,UAE201,18L,Open,Moderate,22,Gate assigned at terminal 3
00:35:30,UAE201,13R,Closed,Moderate,9,Gate assigned at terminal 3
00:36:00,UAE201,13L,Under Maintenance,Moderate,52,Gate assigned at terminal 3
00:36:30,UAE201,18R,Closed,Moderate,26,Gate assigned at terminal 3
00:37:00,UAE201,09L,Under Maintenance,Moderate,52,Gate assigned at terminal 3
00:37:30,UAE201,18R,Closed,High,37,Gate assigned at terminal 3
00:38:00,UAE201,27L,Closed,Moderate,25,Gate assigned at terminal 3
00:38:30,UAE201,27R,Closed,Low,39,Gate assigned at terminal 3
00:39:00,UAE201,09L,Closed,Low,39,Gate assigned at terminal 3
00:39:30,UAE201,27R,Closed,High,14,Gate assigned at terminal 3
00:40:00,UAE201,09R,Under Maintenance,High,38,Gate assigned at terminal 3
00:40:30,UAE201,13L,Under Maintenance,Moderate,22,Gate assigned at terminal 3
00:41:00,UAE201,13L,Closed,Moderate,49,Gate assigned at terminal 3
00:41:30,UAE201,09R,Under Maintenance,High,35,Gate assigned at terminal 3
00:42:00,UAE201,13L,Under Maintenance,High,10,Gate assigned at terminal 3
00:42:30,UAE201,27R,Closed,High,53,Gate assigned at terminal 3
00:43:00,UAE201,27L,Open,Low,4,Gate assigned at terminal 3
00:43:30,UAE201,13L,Closed,Moderate,36,Gate assigned at terminal 3
00:44:00,UAE201,27R,Closed,Low,26,Gate assigned at terminal 3
00:44:30,UAE201,27R,Open,Moderate,46,Gate assigned at terminal 3
00:45:00,UAE201,27R,Closed,Low,41,Gate assigned at terminal 3
00:45:30,UAE201,09L,Open,High,12,Gate assigned at terminal 3
00:46:00,UAE201,13R,Closed,High,39,Gate assigned at terminal 3
00:46:30,UAE201,27L,Under Maintenance,Moderate,3,Gate assigned at terminal 3
00:47:00,UAE201,18L,Under Maintenance,Moderate,5,Gate assigned at terminal 3
00:47:30,UAE201,13R,Open,Moderate,56,Gate assigned at terminal 3
00:48:00,UAE201,13L,Closed,Low,50,Gate assigned at terminal 3
00:48:30,UAE201,27L,Open,Low,9,Gate assigned at terminal 3
00:49:00,UAE201,18R,Open,Moderate,51,Gate assigned at terminal 3
00:49:30,UAE201,09L,Closed,Moderate,58,Gate assigned at terminal 3
00:50:00,UAE201,13R,Under Maintenance,High,39,Gate assigned at terminal 3
00:50:30,UAE201,27L,Closed,High,46,Gate assigned at terminal 3
00:51:00,UAE201,18L,Closed,Low,13,Gate assigned at terminal 3
00:51:30,UAE201,18L,Under Maintenance,High,38,Gate assigned at terminal 3
00:52:00,UAE201,27L,Closed,Moderate,19,Gate assigned at terminal 3
00:52:30,UAE201,09L,Closed,Low,48,Gate assigned at terminal 3
00:53:00,UAE201,27L,Closed,Moderate,13,Gate assigned at terminal 3
00:53:30,UAE201,13R,Open,Low,25,Gate assigned at terminal 3
00:54:00,UAE201,13L,Under Maintenance,Moderate,48,Gate assigned at terminal 3
00:54:30,UAE201,18R,Under Maintenance,High,7,Gate assigned at terminal 3
00:55:00,UAE201,18L,Open,Moderate,37,Gate assigned at terminal 3
00:55:30,UAE201,13R,Closed,High,36,Gate assigned at terminal 3
00:56:00,UAE201,13R,Under Maintenance,Low,55,Gate assigned at terminal 3
00:56:30,UAE201,13R,Open,High,26,Gate assigned at terminal 3
00:57:00,UAE201,09L,Under Maintenance,High,2,Gate assigned at terminal 3
00:57:30,UAE201,09R,Under Maintenance,Low,28,Gate assigned at terminal 3
00:58:00,UAE201,27L,Closed,Low,45,Gate assigned at terminal 3
00:58:30,UAE201,27L,Open,High,30,Gate assigned at terminal 3
00:59:00,UAE201,27L,Closed,High,36,Gate assigned at terminal 3
00:59:30,UAE201,13L,Under Maintenance,Moderate,33,Gate assigned at terminal 3
01:00:00,UAE201,27L,Open,Moderate,21,Gate assigned at terminal 3
01:00:30,UAE201,09L,Closed,Low,24,Gate assigned at terminal 3
01:01:00,UAE201,13R,Closed,Low,21,Gate assigned at terminal 3
01:01:30,UAE201,27R,Under Maintenance,Low,22,Gate assigned at terminal 3
01:02:00,UAE201,13L,Closed,Moderate,1,Gate assigned at terminal 3
01:02:30,UAE201,18R,Open,Moderate,34,Gate assigned at terminal 3
01:03:00,UAE201,13L,Open,Moderate,57,Gate assigned at terminal 3
01:03:30,UAE201,13R,Closed,Moderate,15,Gate assigned at terminal 3
01:04:00,UAE201,13L,Open,High,50,Gate assigned at terminal 3
01:04:30,UAE201,27L,Closed,Low,36,Gate assigned at terminal 3
01:05:00,UAE201,18R,Under Maintenance,Low,30,Gate assigned at terminal 3
01:05:30,UAE201,09L,Closed,Low,51,Gate assigned at terminal 3
01:06:00,UAE201,18L,Closed,High,26,Gate assigned at terminal 3
01:06:30,UAE201,27L,Open,Moderate,34,Gate assigned at terminal 3
01:07:00,UAE201,18L,Under Maintenance,Moderate,60,Gate assigned at terminal 3
01:07:30,UAE201,27R,Closed,Low,46,Gate assigned at terminal 3
01:08:00,UAE201,09R,Closed,Moderate,43,Gate assigned at terminal 3
01:08:30,UAE201,27L,Under Maintenance,High,39,Gate assigned at terminal 3
01:09:00,UAE201,09R,Closed,Low,1,Gate assigned at terminal 3
01:09:30,UAE201,18L,Under Maintenance,Moderate,12,Gate assigned at terminal 3
01:10:00,UAE201,18R,Under Maintenance,High,1,Gate assigned at terminal 3
01:10:30,UAE201,13L,Closed,Moderate,27,Gate assigned at terminal 3
01:11:00,UAE201,18L,Under Maintenance,High,42,Gate assigned at terminal 3
01:11:30,UAE201,18R,Closed,Moderate,46,Gate assigned at terminal 3
01:12:00,UAE201,09R,Under Maintenance,Moderate,32,Gate assigned at terminal 3
01:12:30,UAE201,18L,Closed,Moderate,50,Gate assigned at terminal 3
01:13:00,UAE201,09R,Open,Moderate,50,Gate assigned at terminal 3
01:13:30,UAE201,27R,Open,Low,50,Gate assigned at terminal 3
01:14:00,UAE201,09R,Open,Moderate,43,Gate assigned at terminal 3
01:14:30,UAE201,27L,Under Maintenance,High,53,Gate assigned at terminal 3
01:15:00,UAE201,13L,Closed,Low,47,Gate assigned at terminal 3
01:15:30,UAE201,09R,Closed,Moderate,26,Gate assigned at terminal 3
01:16:00,UAE201,09R,Under Maintenance,High,40,Gate assigned at terminal 3
01:16:30,UAE201,18L,Closed,Low,40,Gate assigned at terminal 3
01:17:00,UAE201,09R,Closed,High,11,Gate assigned at terminal 3
01:17:30,UAE201,13L,Closed,Low,10,Gate assigned at terminal 3
01:18:00,UAE201,13L,Closed,High,29,Gate assigned at terminal 3
01:18:30,UAE201,13R,Open,Moderate,27,Gate assigned at terminal 3
01:19:00,UAE201,18L,Closed,Low,14,Gate assigned at terminal 3
01:19:30,UAE201,13L,Open,Low,55,Gate assigned at terminal 3
01:20:00,UAE201,13R,Open,High,25,Gate assigned at terminal 3
01:20:30,UAE201,09L,Under Maintenance,Moderate,32,Gate assigned at terminal 3
01:21:00,UAE201,27R,Closed,Moderate,7,Gate assigned at terminal 3
01:21:30,UAE201,18L,Under Maintenance,Moderate,55,Gate assigned at terminal 3
01:22:00,UAE201,18R,Open,High,1,Gate assigned at terminal 3
01:22:30,UAE201,13L,Open,High,44,Gate assigned at terminal 3
01:23:00,UAE201,27R,Open,Low,33,Gate assigned at terminal 3
01:23:30,UAE201,13L,Open,Moderate,7,Gate assigned at terminal 3
01:24:00,UAE201,09R,Open,Moderate,60,Gate assigned at terminal 3
01:24:30,UAE201,27L,Under Maintenance,Low,32,Gate assigned at terminal 3
01:25:00,UAE201,09R,Under Maintenance,Moderate,25,Gate assigned at terminal 3
01:25:30,UAE201,09R,Open,Low,36,Gate assigned at terminal 3
01:26:00,UAE201,27L,Closed,Moderate,49,Gate assigned at terminal 3
01:26:30,UAE201,13L,Open,High,8,Gate assigned at terminal 3
01:27:00,UAE201,18L,Under Maintenance,High,21,Gate assigned at terminal 3
01:27:30,UAE201,13L,Closed,High,17,Gate assigned at terminal 3
01:28:00,UAE201,27R,Closed,Moderate,35,Gate assigned at terminal 3
01:28:30,UAE201,13R,Closed,Low,21,Gate assigned at terminal 3
01:29:00,UAE201,13R,Open,High,16,Gate assigned at terminal 3
01:29:30,UAE201,27L,Open,High,28,Gate assigned at terminal 3
01:30:00,UAE201,27R,Open,Moderate,55,Gate assigned at terminal 3
01:30:30,UAE201,13R,Under Maintenance,High,23,Gate assigned at terminal 3
01:31:00,UAE201,13R,Open,Moderate,15,Gate assigned at terminal 3
01:31:30,UAE201,27L,Closed,High,16,Gate assigned at terminal 3
01:32:00,UAE201,13L,Closed,High,12,Gate assigned at terminal 3
01:32:30,UAE201,27R,Under Maintenance,High,59,Gate assigned at terminal 3
01:33:00,UAE201,09R,Under Maintenance,Moderate,45,Gate assigned at terminal 3
01:33:30,UAE201,27R,Under Maintenance,Low,39,Gate assigned at terminal 3
01:34:00,UAE201,09L,Under Maintenance,High,6,Gate assigned at terminal 3
01:34:30,UAE201,09L,Open,Moderate,6,Gate assigned at terminal 3
01:35:00,UAE201,09L,Closed,High,42,Gate assigned at terminal 3
01:35:30,UAE201,09R,Open,High,22,Gate assigned at terminal 3
01:36:00,UAE201,18L,Open,High,37,Gate assigned at terminal 3
01:36:30,UAE201,13L,Open,Moderate,41,Gate assigned at terminal 3
01:37:00,UAE201,13R,Open,High,11,Gate assigned at terminal 3
01:37:30,UAE201,18R,Under Maintenance,Moderate,7,Gate assigned at terminal 3
01:38:00,UAE201,18R,Open,High,28,Gate assigned at terminal 3
01:38:30,UAE201,18R,Under Maintenance,Low,15,Gate assigned at terminal 3
01:39:00,UAE201,09R,Open,Low,54,Gate assigned at terminal 3
01:39:30,UAE201,27L,Closed,Moderate,4,Gate assigned at terminal 3
01:40:00,UAE201,18R,Under Maintenance,Moderate,14,Gate assigned at terminal 3
01:40:30,UAE201,18L,Closed,High,29,Gate assigned at terminal 3
01:41:00,UAE201,27R,Under Maintenance,Low,59,Gate assigned at terminal 3
01:41:30,UAE201,09L,Under Maintenance,Low,0,Gate assigned at terminal 3
01:42:00,UAE201,13R,Under Maintenance,Moderate,23,Gate assigned at terminal 3
01:42:30,UAE201,18R,Under Maintenance,Moderate,10,Gate assigned at terminal 3
01:43:00,UAE201,27R,Closed,Low,10,Gate assigned at terminal 3
01:43:30,UAE201,09R,Closed,High,36,Gate assigned at terminal 3
01:44:00,UAE201,27L,Closed,High,58,Gate assigned at terminal 3
01:44:30,UAE201,13L,Under Maintenance,Moderate,42,Gate assigned at terminal 3
01:45:00,UAE201,27R,Under Maintenance,Low,19,Gate assigned at terminal 3
01:45:30,UAE201,13R,Closed,Low,38,Gate assigned at terminal 3
01:46:00,UAE201,13L,Under Maintenance,Low,39,Gate assigned at terminal 3
01:46:30,UAE201,18L,Closed,Low,19,Gate assigned at terminal 3
01:47:00,UAE201,27R,Under Maintenance,High,28,Gate assigned at terminal 3
01:47:30,UAE201,27R,Closed,Low,54,Gate assigned at terminal 3
01:48:00,UAE201,09L,Under Maintenance,Moderate,1,Gate assigned at terminal 3
01:48:30,UAE201,18L,Under Maintenance,High,33,Gate assigned at terminal 3
01:49:00,UAE201,13L,Closed,Low,60,Gate assigned at terminal 3
01:49:30,UAE201,27L,Under Maintenance,Moderate,18,Gate assigned at terminal 3
01:50:00,UAE201,18R,Open,Low,39,Gate assigned at terminal 3
01:50:30,UAE201,13R,Open,Low,10,Gate assigned at terminal 3
01:51:00,UAE201,18L,Closed,High,37,Gate assigned at terminal 3
01:51:30,UAE201,09R,Open,High,25,Gate assigned at terminal 3
01:52:00,UAE201,13L,Closed,Moderate,6,Gate assigned at terminal 3
01:52:30,UAE201,27R,Open,Low,23,Gate assigned at terminal 3
01:53:00,UAE201,18L,Closed,Moderate,5,Gate assigned at terminal 3
01:53:30,UAE201,09L,Open,Low,6,Gate assigned at terminal 3
01:54:00,UAE201,27R,Open,Moderate,31,Gate assigned at terminal 3
01:54:30,UAE201,18L,Open,Moderate,51,Gate assigned at terminal 3
01:55:00,UAE201,13R,Open,Moderate,49,Gate assigned at terminal 3
01:55:30,UAE201,18L,Under Maintenance,High,3,Gate assigned at terminal 3
01:56:00,UAE201,13L,Open,Moderate,54,Gate assigned at terminal 3
01:56:30,UAE201,18R,Closed,Moderate,60,Gate assigned at terminal 3
01:57:00,UAE201,09L,Under Maintenance,Moderate,20,Gate assigned at terminal 3
01:57:30,UAE201,09L,Under Maintenance,Low,60,Gate assigned at terminal 3
01:58:00,UAE201,09L,Open,Low,27,Gate assigned at terminal 3
01:58:30,UAE201,09R,Under Maintenance,High,18,Gate assigned at terminal 3
01:59:00,UAE201,18L,Under Maintenance,Moderate,42,Gate assigned at terminal 3
01:59:30,UAE201,13L,Under Maintenance,Low,30,Gate assigned at terminal 3
02:00:00,UAE201,09R,Under Maintenance,High,44,Gate assigned at terminal 3
02:00:30,UAE201,18R,Open,Low,48,Gate assigned at terminal 3
02:01:00,UAE201,18R,Under Maintenance,Low,57,Gate assigned at terminal 3
02:01:30,UAE201,13R,Closed,Low,0,Gate assigned at terminal 3
02:02:00,UAE201,18L,Under Maintenance,High,12,Gate assigned at terminal 3
02:02:30,UAE201,09L,Closed,Moderate,47,Gate assigned at terminal 3
02:03:00,UAE201,27L,Closed,Low,36,Gate assigned at terminal 3
02:03:30,UAE201,27L,Open,Low,48,Gate assigned at terminal 3
02:04:00,UAE201,13L,Under Maintenance,Moderate,20,Gate assigned at terminal 3
02:04:30,UAE201,18L,Closed,Low,19,Gate assigned at terminal 3
02:05:00,UAE201,09R,Under Maintenance,High,35,Gate assigned at terminal 3
02:05:30,UAE201,13L,Under Maintenance,Moderate,52,Gate assigned at terminal 3
02:06:00,UAE201,27R,Open,Moderate,18,Gate assigned at terminal 3
02:06:30,UAE201,09L,Open,High,52,Gate assigned at terminal 3
02:07:00,UAE201,09L,Closed,High,13,Gate assigned at terminal 3
02:07:30,UAE201,27R,Open,Low,5,Gate assigned at terminal 3
02:08:00,UAE201,13L,Under Maintenance,Low,0,Gate assigned at terminal 3
02:08:30,UAE201,09L,Open,High,32,Gate assigned at terminal 3
02:09:00,UAE201,27R,Closed,High,45,Gate assigned at terminal 3
02:09:30,UAE201,09L,Closed,Low,40,Gate assigned at terminal 3
02:10:00,UAE201,13L,Open,High,28,Gate assigned at terminal 3
02:10:30,UAE201,13L,Under Maintenance,High,45,Gate assigned at terminal 3
02:11:00,UAE201,09L,Open,Moderate,9,Gate assigned at terminal 3
02:11:30,UAE201,27R,Closed,Moderate,32,Gate assigned at terminal 3
02:12:00,UAE201,13L,Under Maintenance,Low,50,Gate assigned at terminal 3
02:12:30,UAE201,09L,Under Maintenance,Low,0,Gate assigned at terminal 3
02:13:00,UAE201,18L,Under Maintenance,Moderate,17,Gate assigned at terminal 3
02:13:30,UAE201,09L,Open,Low,9,Gate assigned at terminal 3
02:14:00,UAE201,09R,Open,Moderate,44,Gate assigned at terminal 3
02:14:30,UAE201,13L,Closed,Moderate,31,Gate assigned at terminal 3
02:15:00,UAE201,18L,Open,High,4,Gate assigned at terminal 3
02:15:30,UAE201,09R,Under Maintenance,Low,9,Gate assigned at terminal 3
02:16:00,UAE201,27L,Closed,High,3,Gate assigned at terminal 3
02:16:30,UAE201,27R,Closed,High,39,Gate assigned at terminal 3
02:17:00,UAE201,27R,Closed,Low,24,Gate assigned at terminal 3
02:17:30,UAE201,13R,Closed,High,16,Gate assigned at terminal 3
02:18:00,UAE201,13R,Open,High,44,Gate assigned at terminal 3
02:18:30,UAE201,18L,Under Maintenance,Moderate,59,Gate assigned at terminal 3
02:19:00,UAE201,09R,Under Maintenance,Moderate,20,Gate assigned at terminal 3
02:19:30,UAE201,13R,Closed,High,2,Gate assigned at terminal 3
02:20:00,UAE201,27R,Open,High,46,Gate assigned at terminal 3
02:20:30,UAE201,18R,Under Maintenance,Moderate,32,Gate assigned at terminal 3
02:21:00,UAE201,13R,Open,High,42,Gate assigned at terminal 3
02:21:30,UAE201,13R,Open,Moderate,18,Gate assigned at terminal 3
02:22:00,UAE201,18R,Under Maintenance,Low,0,Gate assigned at terminal 3
02:22:30,UAE201,27L,Under Maintenance,Low,30,Gate assigned at terminal 3
02:23:00,UAE201,09L,Closed,Low,37,Gate assigned at terminal 3
02:23:30,UAE201,13R,Closed,High,56,Gate assigned at terminal 3
02:24:00,UAE201,18L,Under Maintenance,Low,18,Gate assigned at terminal 3
02:24:30,UAE201,27L,Open,Low,24,Gate assigned at terminal 3
02:25:00,UAE201,13R,Open,High,5,Gate assigned at terminal 3
02:25:30,UAE201,27R,Open,High,44,Gate assigned at terminal 3
02:26:00,UAE201,18R,Closed,High,40,Gate assigned at terminal 3
02:26:30,UAE201,18R,Closed,Moderate,53,Gate assigned at terminal 3
02:27:00,UAE201,09L,Closed,High,50,Gate assigned at terminal 3
02:27:30,UAE201,13L,Under Maintenance,Moderate,20,Gate assigned at terminal 3
02:28:00,UAE201,13R,Under Maintenance,Moderate,47,Gate assigned at terminal 3
02:28:30,UAE201,18L,Closed,Low,17,Gate assigned at terminal 3
02:29:00,UAE201,18R,Under Maintenance,High,3,Gate assigned at terminal 3
02:29:30,UAE201,09L,Under Maintenance,High,11,Gate assigned at terminal 3
02:30:00,UAE201,18R,Open,Moderate,39,Gate assigned at terminal 3
02:30:30,UAE201,13R,Open,Moderate,45,Gate assigned at terminal 3
02:31:00,UAE201,27R,Open,Low,44,Gate assigned at terminal 3
02:31:30,UAE201,13R,Open,High,31,Gate assigned at terminal 3
02:32:00,UAE201,18R,Open,Low,30,Gate assigned at terminal 3
02:32:30,UAE201,18L,Closed,Low,19,Gate assigned at terminal 3
02:33:00,UAE201,27R,Closed,Low,35,Gate assigned at terminal 3
02:33:30,UAE201,27L,Open,High,46,Gate assigned at terminal 3
02:34:00,UAE201,09R,Open,Moderate,28,Gate assigned at terminal 3
02:34:30,UAE201,09R,Closed,Moderate,44,Gate assigned at terminal 3
02:35:00,UAE201,27R,Open,Low,52,Gate assigned at terminal 3
02:35:30,UAE201,09R,Under Maintenance,Low,5,Gate assigned at terminal 3
02:36:00,UAE201,27R,Open,Moderate,52,Gate assigned at terminal 3
02:36:30,UAE201,18L,Under Maintenance,Moderate,13,Gate assigned at terminal 3
02:37:00,UAE201,09L,Under Maintenance,High,60,Gate assigned at terminal 3
02:37:30,UAE201,27L,Under Maintenance,Low,38,Gate assigned at terminal 3
02:38:00,UAE201,13L,Open,Low,3,Gate assigned at terminal 3
02:38:30,UAE201,09R,Under Maintenance,High,52,Gate assigned at terminal 3
02:39:00,UAE201,13R,Open,Low,4,Gate assigned at terminal 3
02:39:30,UAE201,09R,Open,Moderate,40,Gate assigned at terminal 3
02:40:00,UAE201,27L,Open,Moderate,40,Gate assigned at terminal 3
02:40:30,UAE201,13L,Open,Moderate,57,Gate assigned at terminal 3
02:41:00,UAE201,13R,Closed,Moderate,43,Gate assigned at terminal 3
02:41:30,UAE201,27L,Open,Low,23,Gate assigned at terminal 3
02:42:00,UAE201,09L,Closed,Low,51,Gate assigned at terminal 3
02:42:30,UAE201,09R,Closed,Low,21,Gate assigned at terminal 3
02:43:00,UAE201,27R,Under Maintenance,Low,2,Gate assigned at terminal 3
02:43:30,UAE201,09R,Open,High,20,Gate assigned at terminal 3
02:44:00,UAE201,27L,Closed,Moderate,55,Gate assigned at terminal 3
02:44:30,UAE201,27L,Closed,Low,23,Gate assigned at terminal 3
02:45:00,UAE201,13L,Closed,Moderate,25,Gate assigned at terminal 3
02:45:30,UAE201,18L,Closed,Low,30,Gate assigned at terminal 3
02:46:00,UAE201,18R,Open,High,51,Gate assigned at terminal 3
02:46:30,UAE201,09L,Under Maintenance,High,18,Gate assigned at terminal 3
02:47:00,UAE201,18R,Under Maintenance,Moderate,36,Gate assigned at terminal 3
02:47:30,UAE201,27R,Under Maintenance,High,34,Gate assigned at terminal 3
02:48:00,UAE201,18R,Closed,Low,38,Gate assigned at terminal 3
02:48:30,UAE201,27L,Under Maintenance,High,0,Gate assigned at terminal 3
02:49:00,UAE201,18L,Open,Moderate,51,Gate assigned at terminal 3
02:49:30,UAE201,18L,Under Maintenance,Moderate,59,Gate assigned at terminal 3
02:50:00,UAE201,13L,Under Maintenance,Moderate,40,Gate assigned at terminal 3
02:50:30,UAE201,18R,Open,High,57,Gate assigned at terminal 3
02:51:00,UAE201,09L,Open,High,23,Gate assigned at terminal 3
02:51:30,UAE201,13L,Open,Moderate,40,Gate assigned at terminal 3
02:52:00,UAE201,09R,Closed,High,18,Gate assigned at terminal 3
02:52:30,UAE201,27L,Open,High,45,Gate assigned at terminal 3
02:53:00,UAE201,27L,Under Maintenance,Moderate,9,Gate assigned at terminal 3
02:53:30,UAE201,13L,Under Maintenance,Moderate,7,Gate assigned at terminal 3
02:54:00,UAE201,09R,Closed,Moderate,17,Gate assigned at terminal 3
02:54:30,UAE201,13R,Open,Low,20,Gate assigned at terminal 3
02:55:00,UAE201,13R,Open,Moderate,32,Gate assigned at terminal 3
02:55:30,UAE201,18R,Under Maintenance,High,8,Gate assigned at terminal 3
02:56:00,UAE201,27L,Closed,Low,48,Gate assigned at terminal 3
02:56:30,UAE201,27R,Open,Low,48,Gate assigned at terminal 3
02:57:00,UAE201,27L,Under Maintenance,High,47,Gate assigned at terminal 3
02:57:30,UAE201,13L,Under Maintenance,Moderate,18,Gate assigned at terminal 3
02:58:00,UAE201,13L,Open,Low,19,Gate assigned at terminal 3
02:58:30,UAE201,13R,Closed,High,15,Gate assigned at terminal 3
02:59:00,UAE201,18L,Open,Low,15,Gate assigned at terminal 3
02:59:30,UAE201,13R,Under Maintenance,Low,9,Gate assigned at terminal 3
03:00:00,UAE201,09L,Under Maintenance,Moderate,28,Gate assigned at terminal 3
03:00:30,UAE201,09L,Closed,Low,12,Gate assigned at terminal 3
03:01:00,UAE201,13L,Under Maintenance,Moderate,58,Gate assigned at terminal 3
03:01:30,UAE201,18L,Under Maintenance,Low,60,Gate assigned at terminal 3
03:02:00,UAE201,09R,Closed,High,30,Gate assigned at terminal 3
03:02:30,UAE201,27L,Under Maintenance,Moderate,27,Gate assigned at terminal 3
03:03:00,UAE201,09L,Open,High,60,Gate assigned at terminal 3
03:03:30,UAE201,27R,Open,Low,13,Gate assigned at terminal 3
03:04:00,UAE201,09L,Open,High,55,Gate assigned at terminal 3
03:04:30,UAE201,13R,Under Maintenance,High,43,Gate assigned at terminal 3
03:05:00,UAE201,09R,Closed,Moderate,31,Gate assigned at terminal 3
