Time,Call Sign,Communication Status,Signal Strength,Required Action
00:19:30,UAE201,Failed,Strong,Switch to backup frequency
00:20:00,UAE201,Failed,Weak,Request ATC relay
00:20:30,UAE201,Failed,Weak,Switch to backup frequency
00:21:00,UAE201,Normal,Weak,No action
00:21:30,UAE201,Normal,No Signal,Request ATC relay
00:22:00,UAE201,Normal,No Signal,Request ATC relay
00:22:30,UAE201,Intermittent,No Signal,No action
00:23:00,UAE201,Failed,Strong,No action
00:23:30,UAE201,Normal,Weak,Switch to backup frequency
00:24:00,UAE201,Intermittent,No Signal,Switch to backup frequency
00:24:30,UAE201,Failed,No Signal,Request ATC relay
00:25:00,UAE201,Normal,No Signal,No action
00:25:30,UAE201,Normal,Strong,Request ATC relay
00:26:00,UAE201,Failed,Strong,Request ATC relay
00:26:30,UAE201,Failed,Strong,No action
00:27:00,UAE201,Failed,No Signal,No action
00:27:30,UAE201,Failed,No Signal,Request ATC relay
00:28:00,UAE201,Failed,Weak,No action
00:28:30,UAE201,Intermittent,Weak,Switch to backup frequency
00:29:00,UAE201,Failed,Strong,No action
00:29:30,UAE201,Intermittent,Strong,No action
00:30:00,UAE201,Intermittent,Weak,No action
00:30:30,UAE201,Failed,No Signal,No action
00:31:00,UAE201,Normal,No Signal,No action
00:31:30,UAE201,Normal,Strong,Request ATC relay
00:32:00,UAE201,Intermittent,Strong,Request ATC relay
00:32:30,UAE201,Normal,Strong,Request ATC relay
00:33:00,UAE201,Normal,Strong,No action
00:33:30,UAE201,Normal,Strong,No action
00:34:00,UAE201,Normal,No Signal,Request ATC relay
00:34:30,UAE201,Failed,No Signal,No action
00:35:00,UAE201,Normal,Weak,Request ATC relay
00:35:30,UAE201,Failed,Strong,Switch to backup frequency
00:36:00,UAE201,Normal,Weak,Request ATC relay
00:36:30,UAE201,Intermittent,No Signal,No action
00:37:00,UAE201,Intermittent,No Signal,Request ATC relay
00:37:30,UAE201,Normal,Strong,Switch to backup frequency
00:38:00,UAE201,Failed,No Signal,No action
00:38:30,UAE201,Failed,No Signal,No action
00:39:00,UAE201,Intermittent,Weak,Switch to backup frequency
00:39:30,UAE201,Failed,Weak,Switch to backup frequency
00:40:00,UAE201,Failed,Weak,Request ATC relay
00:40:30,UAE201,Intermittent,No Signal,No action
00:41:00,UAE201,Normal,Strong,Switch to backup frequency
00:41:30,UAE201,Normal,No Signal,No action
00:42:00,UAE201,Failed,Weak,Request ATC relay
00:42:30,UAE201,Failed,Weak,Request ATC relay
00:43:00,UAE201,Failed,No Signal,Switch to backup frequency
00:43:30,UAE201,Intermittent,No Signal,Request ATC relay
00:44:00,UAE201,Failed,No Signal,No action
00:44:30,UAE201,Normal,Strong,No action
00:45:00,UAE201,Normal,Weak,No action
00:45:30,UAE201,Intermittent,No Signal,Switch to backup frequency
00:46:00,UAE201,Normal,No Signal,No action
00:46:30,UAE201,Failed,Strong,No action
00:47:00,UAE201,Intermittent,Strong,Switch to backup frequency
00:47:30,UAE201,Normal,No Signal,Request ATC relay
00:48:00,UAE201,Failed,Weak,Switch to backup frequency
00:48:30,UAE201,Failed,Strong,No action
00:49:00,UAE201,Normal,Strong,Request ATC relay
00:49:30,UAE201,Intermittent,Weak,No action
00:50:00,UAE201,Intermittent,Weak,No action
00:50:30,UAE201,Normal,Strong,Request ATC relay
00:51:00,UAE201,Failed,No Signal,No action
00:51:30,UAE201,Intermittent,Weak,No action
00:52:00,UAE201,Failed,Weak,No action
00:52:30,UAE201,Intermittent,No Signal,Request ATC relay
00:53:00,UAE201,Normal,Strong,Request ATC relay
00:53:30,UAE201,Failed,Weak,Switch to backup frequency
00:54:00,UAE201,Normal,Strong,Switch to backup frequency
00:54:30,UAE201,Intermittent,No Signal,Request ATC relay
00:55:00,UAE201,Normal,Strong,No action
00:55:30,UAE201,Normal,Strong,Switch to backup frequency
00:56:00,UAE201,Normal,Strong,Request ATC relay
00:56:30,UAE201,Failed,No Signal,Request ATC relay
00:57:00,UAE201,Normal,Weak,Request ATC relay
00:57:30,UAE201,Failed,No Signal,Switch to backup frequency
00:58:00,UAE201,Normal,No Signal,Switch to backup frequency
00:58:30,UAE201,Failed,Weak,Switch to backup frequency
00:59:00,UAE201,Intermittent,Weak,Switch to backup frequency
00:59:30,UAE201,Failed,Strong,Request ATC relay
01:00:00,UAE201,Failed,No Signal,Switch to backup frequency
01:00:30,UAE201,Failed,Weak,No action
01:01:00,UAE201,Intermittent,No Signal,Request ATC relay
01:01:30,UAE201,Failed,Strong,Request ATC relay
01:02:00,UAE201,Failed,Strong,Switch to backup frequency
01:02:30,UAE201,Normal,Strong,Switch to backup frequency
01:03:00,UAE201,Normal,Strong,No action
01:03:30,UAE201,Normal,Strong,No action
01:04:00,UAE201,Normal,Strong,Switch to backup frequency
01:04:30,UAE201,Normal,Strong,Switch to backup frequency
01:05:00,UAE201,Failed,No Signal,No action
01:05:30,UAE201,Normal,No Signal,No action
01:06:00,UAE201,Failed,Weak,Switch to backup frequency
01:06:30,UAE201,Failed,Weak,Switch to backup frequency
01:07:00,UAE201,Intermittent,Weak,No action
01:07:30,UAE201,Normal,Strong,Switch to backup frequency
01:08:00,UAE201,Normal,No Signal,Request ATC relay
01:08:30,UAE201,Normal,Weak,Request ATC relay
01:09:00,UAE201,Failed,No Signal,No action
01:09:30,UAE201,Intermittent,No Signal,No action
01:10:00,UAE201,Normal,Weak,Request ATC relay
01:10:30,UAE201,Intermittent,No Signal,Request ATC relay
01:11:00,UAE201,Normal,Weak,Request ATC relay
01:11:30,UAE201,Normal,Weak,Request ATC relay
01:12:00,UAE201,Failed,No Signal,Request ATC relay
01:12:30,UAE201,Normal,Weak,No action
01:13:00,UAE201,Failed,Strong,Request ATC relay
01:13:30,UAE201,Normal,No Signal,Request ATC relay
01:14:00,UAE201,Intermittent,No Signal,No action
01:14:30,UAE201,Intermittent,No Signal,No action
01:15:00,UAE201,Normal,Strong,No action
01:15:30,UAE201,Normal,Weak,Request ATC relay
01:16:00,UAE201,Normal,Strong,No action
01:16:30,UAE201,Intermittent,Strong,Request ATC relay
01:17:00,UAE201,Intermittent,Strong,Request ATC relay
01:17:30,UAE201,Normal,Strong,No action
01:18:00,UAE201,Normal,Weak,Request ATC relay
01:18:30,UAE201,Intermittent,No Signal,No action
01:19:00,UAE201,Failed,Strong,Request ATC relay
01:19:30,UAE201,Intermittent,No Signal,No action
01:20:00,UAE201,Intermittent,Weak,Switch to backup frequency
01:20:30,UAE201,Normal,Strong,Switch to backup frequency
01:21:00,UAE201,Failed,No Signal,Request ATC relay
01:21:30,UAE201,Failed,No Signal,Switch to backup frequency
01:22:00,UAE201,Failed,Weak,Request ATC relay
01:22:30,UAE201,Normal,Strong,Request ATC relay
01:23:00,UAE201,Intermittent,No Signal,Request ATC relay
01:23:30,UAE201,Normal,Strong,Request ATC relay
01:24:00,UAE201,Intermittent,No Signal,Switch to backup frequency
01:24:30,UAE201,Normal,Strong,Request ATC relay
01:25:00,UAE201,Normal,Weak,No action
01:25:30,UAE201,Normal,Weak,Request ATC relay
01:26:00,UAE201,Normal,Weak,Request ATC relay
01:26:30,UAE201,Intermittent,Weak,No action
01:27:00,UAE201,Failed,Weak,Request ATC relay
01:27:30,UAE201,Failed,Strong,Request ATC relay
01:28:00,UAE201,Failed,No Signal,No action
01:28:30,UAE201,Intermittent,Weak,Switch to backup frequency
01:29:00,UAE201,Intermittent,No Signal,No action
01:29:30,UAE201,Failed,Strong,Request ATC relay
01:30:00,UAE201,Failed,Strong,Request ATC relay
01:30:30,UAE201,Failed,Strong,Switch to backup frequency
01:31:00,UAE201,Intermittent,No Signal,No action
01:31:30,UAE201,Normal,Weak,No action
01:32:00,UAE201,Normal,Strong,Request ATC relay
01:32:30,UAE201,Normal,Weak,Switch to backup frequency
01:33:00,UAE201,Normal,Strong,No action
01:33:30,UAE201,Normal,No Signal,Request ATC relay
01:34:00,UAE201,Intermittent,No Signal,No action
01:34:30,UAE201,Normal,Weak,Switch to backup frequency
01:35:00,UAE201,Intermittent,No Signal,No action
01:35:30,UAE201,Failed,Weak,No action
01:36:00,UAE201,Intermittent,Strong,Request ATC relay
01:36:30,UAE201,Intermittent,No Signal,No action
01:37:00,UAE201,Normal,Strong,Request ATC relay
01:37:30,UAE201,Failed,Strong,Request ATC relay
01:38:00,UAE201,Failed,No Signal,Request ATC relay
01:38:30,UAE201,Intermittent,Strong,No action
01:39:00,UAE201,Normal,No Signal,Request ATC relay
01:39:30,UAE201,Normal,Weak,No action
01:40:00,UAE201,Normal,Strong,Switch to backup frequency
01:40:30,UAE201,Intermittent,Strong,Switch to backup frequency
01:41:00,UAE201,Failed,No Signal,No action
01:41:30,UAE201,Intermittent,No Signal,Switch to backup frequency
01:42:00,UAE201,Failed,Strong,Switch to backup frequency
01:42:30,UAE201,Normal,Strong,No action
01:43:00,UAE201,Normal,Weak,Switch to backup frequency
01:43:30,UAE201,Normal,Strong,Switch to backup frequency
01:44:00,UAE201,Normal,Strong,Switch to backup frequency
01:44:30,UAE201,Normal,Strong,Request ATC relay
01:45:00,UAE201,Normal,Weak,No action
01:45:30,UAE201,Normal,Weak,No action
01:46:00,UAE201,Intermittent,Strong,Request ATC relay
01:46:30,UAE201,Intermittent,No Signal,No action
01:47:00,UAE201,Normal,No Signal,Switch to backup frequency
01:47:30,UAE201,Normal,No Signal,Request ATC relay
01:48:00,UAE201,Intermittent,Weak,No action
01:48:30,UAE201,Intermittent,Strong,Switch to backup frequency
01:49:00,UAE201,Intermittent,Strong,Request ATC relay
01:49:30,UAE201,Normal,Strong,No action
01:50:00,UAE201,Normal,Strong,Switch to backup frequency
01:50:30,UAE201,Failed,Strong,No action
01:51:00,UAE201,Intermittent,Strong,No action
01:51:30,UAE201,Normal,No Signal,Request ATC relay
01:52:00,UAE201,Failed,No Signal,Switch to backup frequency
01:52:30,UAE201,Failed,Strong,Switch to backup frequency
01:53:00,UAE201,Normal,Weak,Switch to backup frequency
01:53:30,UAE201,Normal,No Signal,Switch to backup frequency
01:54:00,UAE201,Normal,Weak,No action
01:54:30,UAE201,Normal,No Signal,Switch to backup frequency
01:55:00,UAE201,Failed,Strong,Switch to backup frequency
01:55:30,UAE201,Normal,Strong,Switch to backup frequency
01:56:00,UAE201,Intermittent,No Signal,Request ATC relay
01:56:30,UAE201,Normal,No Signal,Switch to backup frequency
01:57:00,UAE201,Intermittent,Strong,Switch to backup frequency
01:57:30,UAE201,Failed,No Signal,No action
01:58:00,UAE201,Failed,No Signal,Request ATC relay
01:58:30,UAE201,Intermittent,Weak,No action
01:59:00,UAE201,Failed,Strong,No action
01:59:30,UAE201,Normal,No Signal,No action
02:00:00,UAE201,Failed,Weak,Request ATC relay
02:00:30,UAE201,Intermittent,Strong,No action
02:01:00,UAE201,Intermittent,No Signal,No action
02:01:30,UAE201,Failed,Strong,Switch to backup frequency
02:02:00,UAE201,Intermittent,Strong,Switch to backup frequency
02:02:30,UAE201,Normal,Strong,Request ATC relay
02:03:00,UAE201,Intermittent,Strong,No action
02:03:30,UAE201,Intermittent,Weak,No action
02:04:00,UAE201,Normal,No Signal,No action
02:04:30,UAE201,Normal,Weak,Request ATC relay
02:05:00,UAE201,Intermittent,Strong,No action
02:05:30,UAE201,Normal,Strong,No action
02:06:00,UAE201,Normal,Weak,Request ATC relay
02:06:30,UAE201,Normal,No Signal,Switch to backup frequency
02:07:00,UAE201,Normal,Strong,Switch to backup frequency
02:07:30,UAE201,Failed,Strong,Switch to backup frequency
02:08:00,UAE201,Failed,No Signal,No action
02:08:30,UAE201,Intermittent,Weak,Switch to backup frequency
02:09:00,UAE201,Normal,Strong,Request ATC relay
02:09:30,UAE201,Normal,Strong,Switch to backup frequency
02:10:00,UAE201,Normal,Strong,Request ATC relay
02:10:30,UAE201,Intermittent,Weak,No action
02:11:00,UAE201,Intermittent,Strong,Request ATC relay
02:11:30,UAE201,Intermittent,No Signal,No action
02:12:00,UAE201,Failed,No Signal,Switch to backup frequency
02:12:30,UAE201,Failed,Strong,Switch to backup frequency
02:13:00,UAE201,Normal,Strong,No action
02:13:30,UAE201,Normal,Strong,Switch to backup frequency
02:14:00,UAE201,Normal,No Signal,Request ATC relay
02:14:30,UAE201,Failed,Strong,Switch to backup frequency
02:15:00,UAE201,Normal,Weak,Request ATC relay
02:15:30,UAE201,Failed,Weak,Switch to backup frequency
02:16:00,UAE201,Normal,Strong,No action
02:16:30,UAE201,Normal,Strong,No action
02:17:00,UAE201,Intermittent,Strong,Switch to backup frequency
02:17:30,UAE201,Intermittent,No Signal,Switch to backup frequency
02:18:00,UAE201,Failed,Strong,Switch to backup frequency
02:18:30,UAE201,Intermittent,Weak,No action
02:19:00,UAE201,Intermittent,Strong,Switch to backup frequency
02:19:30,UAE201,Normal,Weak,Request ATC relay
02:20:00,UAE201,Intermittent,Strong,No action
02:20:30,UAE201,Normal,No Signal,No action
02:21:00,UAE201,Intermittent,Weak,Request ATC relay
02:21:30,UAE201,Intermittent,Strong,No action
02:22:00,UAE201,Intermittent,No Signal,Switch to backup frequency
02:22:30,UAE201,Failed,No Signal,Switch to backup frequency
02:23:00,UAE201,Intermittent,Weak,Request ATC relay
02:23:30,UAE201,Failed,No Signal,Switch to backup frequency
02:24:00,UAE201,Intermittent,Strong,No action
02:24:30,UAE201,Normal,Weak,No action
02:25:00,UAE201,Normal,Weak,No action
02:25:30,UAE201,Intermittent,Weak,Switch to backup frequency
02:26:00,UAE201,Failed,No Signal,Request ATC relay
02:26:30,UAE201,Normal,Strong,Switch to backup frequency
02:27:00,UAE201,Intermittent,Weak,No action
02:27:30,UAE201,Failed,Strong,Request ATC relay
02:28:00,UAE201,Normal,Weak,Request ATC relay
02:28:30,UAE201,Intermittent,Weak,No action
02:29:00,UAE201,Failed,Strong,Switch to backup frequency
02:29:30,UAE201,Failed,No Signal,No action
02:30:00,UAE201,Intermittent,No Signal,No action
02:30:30,UAE201,Intermittent,Strong,Switch to backup frequency
02:31:00,UAE201,Intermittent,Weak,No action
02:31:30,UAE201,Intermittent,Strong,No action
02:32:00,UAE201,Intermittent,No Signal,Request ATC relay
02:32:30,UAE201,Intermittent,Strong,Switch to backup frequency
02:33:00,UAE201,Normal,Strong,Request ATC relay
02:33:30,UAE201,Normal,No Signal,No action
02:34:00,UAE201,Failed,Strong,Switch to backup frequency
02:34:30,UAE201,Failed,No Signal,No action
02:35:00,UAE201,Failed,Weak,No action
02:35:30,UAE201,Failed,Weak,Switch to backup frequency
02:36:00,UAE201,Normal,No Signal,Switch to backup frequency
02:36:30,UAE201,Normal,Strong,Request ATC relay
02:37:00,UAE201,Normal,Weak,Switch to backup frequency
02:37:30,UAE201,Intermittent,No Signal,Switch to backup frequency
02:38:00,UAE201,Intermittent,No Signal,No action
02:38:30,UAE201,Failed,Strong,Request ATC relay
02:39:00,UAE201,Normal,Strong,Switch to backup frequency
02:39:30,UAE201,Failed,Weak,No action
02:40:00,UAE201,Normal,Strong,Request ATC relay
02:40:30,UAE201,Failed,Strong,Switch to backup frequency
02:41:00,UAE201,Normal,Weak,Switch to backup frequency
02:41:30,UAE201,Failed,Weak,No action
02:42:00,UAE201,Intermittent,Weak,Request ATC relay
02:42:30,UAE201,Normal,Weak,No action
02:43:00,UAE201,Normal,No Signal,Switch to backup frequency
02:43:30,UAE201,Normal,Weak,No action
02:44:00,UAE201,Intermittent,No Signal,No action
02:44:30,UAE201,Normal,Weak,Switch to backup frequency
02:45:00,UAE201,Intermittent,Strong,Switch to backup frequency
02:45:30,UAE201,Intermittent,Strong,Request ATC relay
02:46:00,UAE201,Normal,Weak,Request ATC relay
02:46:30,UAE201,Intermittent,No Signal,Request ATC relay
02:47:00,UAE201,Failed,Strong,Switch to backup frequency
02:47:30,UAE201,Failed,No Signal,No action
02:48:00,UAE201,Intermittent,Strong,No action
02:48:30,UAE201,Intermittent,Strong,Switch to backup frequency
02:49:00,UAE201,Intermittent,No Signal,Switch to backup frequency
02:49:30,UAE201,Normal,Strong,Request ATC relay
02:50:00,UAE201,Failed,No Signal,Request ATC relay
02:50:30,UAE201,Intermittent,Strong,Request ATC relay
02:51:00,UAE201,Normal,Weak,Switch to backup frequency
02:51:30,UAE201,Intermittent,Weak,Switch to backup frequency
02:52:00,UAE201,Normal,No Signal,Switch to backup frequency
02:52:30,UAE201,Normal,Strong,Switch to backup frequency
02:53:00,UAE201,Normal,Strong,Request ATC relay
02:53:30,UAE201,Normal,No Signal,Request ATC relay
02:54:00,UAE201,Normal,Weak,No action
02:54:30,UAE201,Intermittent,No Signal,Switch to backup frequency
02:55:00,UAE201,Intermittent,No Signal,No action
02:55:30,UAE201,Normal,No Signal,No action
02:56:00,UAE201,Failed,Weak,Switch to backup frequency
02:56:30,UAE201,Intermittent,No Signal,No action
02:57:00,UAE201,Intermittent,Strong,Switch to backup frequency
02:57:30,UAE201,Failed,Weak,No action
02:58:00,UAE201,Failed,Strong,Switch to backup frequency
02:58:30,UAE201,Failed,No Signal,Switch to backup frequency
02:59:00,UAE201,Failed,Weak,Switch to backup frequency
02:59:30,UAE201,Normal,Weak,Switch to backup frequency
03:00:00,UAE201,Intermittent,No Signal,Request ATC relay
03:00:30,UAE201,Intermittent,No Signal,Request ATC relay
03:01:00,UAE201,Failed,Weak,Request ATC relay
03:01:30,UAE201,Intermittent,No Signal,Switch to backup frequency
03:02:00,UAE201,Normal,No Signal,Request ATC relay
03:02:30,UAE201,Intermittent,Weak,Switch to backup frequency
03:03:00,UAE201,Normal,Strong,Switch to backup frequency
03:03:30,UAE201,Intermittent,Weak,No action
03:04:00,UAE201,Intermittent,No Signal,Request ATC relay
03:04:30,UAE201,Intermittent,No Signal,Request ATC relay
03:05:00,UAE201,Intermittent,Weak,Request ATC relay
03:05:30,UAE201,Failed,Strong,Switch to backup frequency
03:06:00,UAE201,Intermittent,No Signal,Request ATC relay
03:06:30,UAE201,Normal,No Signal,No action
03:07:00,UAE201,Normal,Weak,No action
03:07:30,UAE201,Intermittent,No Signal,Request ATC relay
03:08:00,UAE201,Normal,No Signal,Switch to backup frequency
03:08:30,UAE201,Intermittent,Strong,Switch to backup frequency
03:09:00,UAE201,Failed,No Signal,Request ATC relay
03:09:30,UAE201,Normal,Strong,No action
03:10:00,UAE201,Normal,No Signal,No action
03:10:30,UAE201,Normal,Strong,Switch to backup frequency
03:11:00,UAE201,Intermittent,No Signal,Request ATC relay
03:11:30,UAE201,Intermittent,Weak,Switch to backup frequency
03:12:00,UAE201,Intermittent,Strong,Request ATC relay
03:12:30,UAE201,Normal,No Signal,Switch to backup frequency
03:13:00,UAE201,Intermittent,No Signal,Switch to backup frequency
03:13:30,UAE201,Intermittent,Strong,Request ATC relay
03:14:00,UAE201,Normal,Strong,Request ATC relay
03:14:30,UAE201,Normal,Weak,Switch to backup frequency
03:15:00,UAE201,Normal,No Signal,No action
03:15:30,UAE201,Failed,Weak,Request ATC relay
03:16:00,UAE201,Normal,Weak,No action
03:16:30,UAE201,Intermittent,Strong,No action
03:17:00,UAE201,Normal,No Signal,Switch to backup frequency
03:17:30,UAE201,Failed,Strong,Switch to backup frequency
03:18:00,UAE201,Normal,Strong,Request ATC relay
03:18:30,UAE201,Intermittent,No Signal,Switch to backup frequency
03:19:00,UAE201,Intermittent,No Signal,Request ATC relay
03:19:30,UAE201,Normal,Strong,No action
03:20:00,UAE201,Normal,No Signal,Request ATC relay
03:20:30,UAE201,Normal,Weak,Switch to backup frequency
03:21:00,UAE201,Intermittent,Strong,No action
03:21:30,UAE201,Failed,Strong,Request ATC relay
03:22:00,UAE201,Intermittent,No Signal,Request ATC relay
03:22:30,UAE201,Intermittent,No Signal,Request ATC relay
03:23:00,UAE201,Failed,No Signal,Request ATC relay
03:23:30,UAE201,Normal,Weak,Switch to backup frequency
03:24:00,UAE201,Intermittent,No Signal,No action
03:24:30,UAE201,Normal,Strong,Request ATC relay
03:25:00,UAE201,Normal,Strong,Switch to backup frequency
03:25:30,UAE201,Failed,No Signal,Switch to backup frequency
03:26:00,UAE201,Failed,No Signal,Switch to backup frequency
03:26:30,UAE201,Failed,Weak,No action
03:27:00,UAE201,Normal,No Signal,No action
03:27:30,UAE201,Failed,Weak,No action
03:28:00,UAE201,Normal,Weak,No action
03:28:30,UAE201,Normal,Strong,Switch to backup frequency
03:29:00,UAE201,Failed,No Signal,Switch to backup frequency
03:29:30,UAE201,Failed,Weak,Request ATC relay
03:30:00,UAE201,Normal,Strong,Switch to backup frequency
03:30:30,UAE201,Normal,No Signal,Switch to backup frequency
03:31:00,UAE201,Normal,Weak,Request ATC relay
03:31:30,UAE201,Normal,Strong,No action
03:32:00,UAE201,Intermittent,Weak,No action
03:32:30,UAE201,Failed,No Signal,Request ATC relay
03:33:00,UAE201,Failed,Strong,No action
03:33:30,UAE201,Failed,Weak,Switch to backup frequency
03:34:00,UAE201,Intermittent,Weak,No action
03:34:30,UAE201,Intermittent,Strong,Switch to backup frequency
03:35:00,UAE201,Normal,No Signal,Switch to backup frequency
03:35:30,UAE201,Normal,No Signal,No action
03:36:00,UAE201,Failed,Strong,No action
03:36:30,UAE201,Failed,Weak,Switch to backup frequency
03:37:00,UAE201,Intermittent,Weak,No action
03:37:30,UAE201,Failed,Weak,Request ATC relay
03:38:00,UAE201,Failed,No Signal,Switch to backup frequency
03:38:30,UAE201,Normal,Weak,No action
03:39:00,UAE201,Intermittent,Strong,Switch to backup frequency
03:39:30,UAE201,Intermittent,Strong,Request ATC relay
03:40:00,UAE201,Intermittent,Weak,Request ATC relay
03:40:30,UAE201,Intermittent,Strong,Request ATC relay
03:41:00,UAE201,Intermittent,Weak,No action
03:41:30,UAE201,Failed,Weak,Switch to backup frequency
03:42:00,UAE201,Normal,Strong,No action
03:42:30,UAE201,Intermittent,Strong,Request ATC relay
03:43:00,UAE201,Failed,No Signal,No action
03:43:30,UAE201,Failed,Weak,Request ATC relay
03:44:00,UAE201,Intermittent,No Signal,Switch to backup frequency
03:44:30,UAE201,Failed,No Signal,No action
03:45:00,UAE201,Normal,Strong,Switch to backup frequency
03:45:30,UAE201,Intermittent,Strong,Switch to backup frequency
03:46:00,UAE201,Normal,No Signal,No action
03:46:30,UAE201,Intermittent,Weak,No action
03:47:00,UAE201,Failed,Weak,Request ATC relay
03:47:30,UAE201,Failed,No Signal,Request ATC relay
03:48:00,UAE201,Normal,Strong,Switch to backup frequency
03:48:30,UAE201,Normal,No Signal,Request ATC relay
03:49:00,UAE201,Intermittent,No Signal,Request ATC relay
03:49:30,UAE201,Normal,No Signal,Request ATC relay
03:50:00,UAE201,Failed,Weak,Switch to backup frequency
03:50:30,UAE201,Normal,No Signal,No action
03:51:00,UAE201,Normal,No Signal,No action
03:51:30,UAE201,Intermittent,No Signal,No action
03:52:00,UAE201,Intermittent,Weak,Switch to backup frequency
03:52:30,UAE201,Failed,Strong,Request ATC relay
03:53:00,UAE201,Normal,No Signal,Request ATC relay
03:53:30,UAE201,Failed,Weak,Switch to backup frequency
03:54:00,UAE201,Normal,Weak,Request ATC relay
03:54:30,UAE201,Intermittent,Weak,No action
03:55:00,UAE201,Intermittent,No Signal,No action
03:55:30,UAE201,Normal,Strong,Switch to backup frequency
03:56:00,UAE201,Failed,Strong,Switch to backup frequency
03:56:30,UAE201,Normal,No Signal,Request ATC relay
03:57:00,UAE201,Failed,Strong,Request ATC relay
03:57:30,UAE201,Intermittent,No Signal,No action
03:58:00,UAE201,Failed,Strong,No action
03:58:30,UAE201,Intermittent,Weak,Switch to backup frequency
03:59:00,UAE201,Normal,Strong,Request ATC relay
03:59:30,UAE201,Intermittent,No Signal,Request ATC relay
04:00:00,UAE201,Normal,Strong,Request ATC relay
04:00:30,UAE201,Intermittent,Strong,Switch to backup frequency
04:01:00,UAE201,Failed,Weak,No action
04:01:30,UAE201,Failed,Weak,No action
04:02:00,UAE201,Failed,Weak,No action
04:02:30,UAE201,Failed,Strong,Switch to backup frequency
04:03:00,UAE201,Intermittent,Strong,Switch to backup frequency
04:03:30,UAE201,Failed,Weak,Request ATC relay
04:04:00,UAE201,Normal,No Signal,Request ATC relay
04:04:30,UAE201,Normal,Strong,Switch to backup frequency
04:05:00,UAE201,Failed,Weak,Request ATC relay
04:05:30,UAE201,Failed,No Signal,No action
04:06:00,UAE201,Intermittent,No Signal,No action
04:06:30,UAE201,Intermittent,Strong,Switch to backup frequency
04:07:00,UAE201,Intermittent,Strong,Switch to backup frequency
04:07:30,UAE201,Failed,Weak,No action
04:08:00,UAE201,Normal,No Signal,No action
04:08:30,UAE201,Normal,No Signal,Switch to backup frequency
04:09:00,UAE201,Intermittent,Weak,Request ATC relay
04:09:30,UAE201,Failed,Strong,Switch to backup frequency
04:10:00,UAE201,Failed,Weak,No action
04:10:30,UAE201,Normal,No Signal,Request ATC relay
04:11:00,UAE201,Intermittent,Strong,Switch to backup frequency
04:11:30,UAE201,Failed,Strong,Request ATC relay
04:12:00,UAE201,Normal,No Signal,No action
04:12:30,UAE201,Normal,No Signal,Switch to backup frequency
04:13:00,UAE201,Normal,Strong,No action
04:13:30,UAE201,Normal,No Signal,Request ATC relay
04:14:00,UAE201,Failed,Weak,Switch to backup frequency
04:14:30,UAE201,Failed,Strong,No action
04:15:00,UAE201,Normal,Weak,Request ATC relay
04:15:30,UAE201,Normal,Weak,Request ATC relay
04:16:00,UAE201,Intermittent,No Signal,No action
04:16:30,UAE201,Failed,Strong,No action
04:17:00,UAE201,Normal,No Signal,No action
04:17:30,UAE201,Normal,No Signal,Request ATC relay
04:18:00,UAE201,Normal,No Signal,Switch to backup frequency
