Manual Section,Scenario,Instructions
AOM Section 8,Navigation System Failure,"Rely on visual navigation if possible, ensure all navigation data is recorded."
FCOM Section 4,Brake Failure,"Consider diverting to airport with longer runway, prepare for possible runway excursion."
AOM Section 7,Instrument Failure,"Avoid abrupt maneuvers, monitor other instruments for inconsistencies."
AOM Section 2,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
FCOM Section 2,Stall Warning,"Avoid banking, maintain wings level, communicate with co-pilot."
AOM Section 6,Turbulence,"Engage autopilot turbulence mode, ensure seat belts are fastened, report to ATC."
QRH Section 3,Navigation System Failure,"Rely on visual navigation if possible, ensure all navigation data is recorded."
AOM Section 7,Icing Conditions,"Report icing conditions to ATC, request vector to exit icing area, perform de-icing procedures."
FCOM Section 1,Engine Failure,"Throttle idle, apply maximum climb, contact ATC for emergency landing clearance."
FCOM Section 3,Electrical Failure,"Switch to backup power system, reduce non-essential loads, contact ATC for diversion."
FCOM Section 1,Cabin Pressure Loss,"Activate emergency pressurization system, monitor cabin altitude, brief cabin crew."
AOM Section 2,Landing Gear Malfunction,"Inform ATC of gear issue, perform alternate gear extension procedures."
FCOM Section 1,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
AOM Section 8,Landing Gear Malfunction,"Inform ATC of gear issue, perform alternate gear extension procedures."
QRH Section 3,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
FCOM Section 1,Smoke in Cabin,"Advise cabin crew to locate source of smoke, prepare passengers for possible evacuation."
FCOM Section 1,Electrical Failure,"Switch to backup power system, reduce non-essential loads, contact ATC for diversion."
FCOM Section 2,Engine Failure,"Maintain heading, attempt engine restart procedures, prepare for single-engine operation."
FCOM Section 3,Brake Failure,"Plan for longer landing rollout, use reverse thrust and spoilers effectively, inform ATC."
AOM Section 10,Electrical Failure,"Advise cabin crew of situation, maintain visual contact with other aircraft."
AOM Section 9,Emergency Evacuation,"Stop aircraft, initiate evacuation procedures, coordinate with cabin crew."
AOM Section 5,Cabin Pressure Loss,"Check for structural damage, prepare for possible emergency landing."
AOM Section 4,Stall Warning,"Verify stall warning accuracy, monitor airspeed and altitude, prepare for possible emergency descent."
AOM Section 8,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
FCOM Section 1,Instrument Failure,"Switch to standby instruments, maintain visual flight rules if possible, inform ATC."
FCOM Section 1,Brake Failure,"Plan for longer landing rollout, use reverse thrust and spoilers effectively, inform ATC."
AOM Section 3,Instrument Failure,"Avoid abrupt maneuvers, monitor other instruments for inconsistencies."
AOM Section 9,Engine Failure,"Throttle idle, apply maximum climb, contact ATC for emergency landing clearance."
AOM Section 9,Decompression,"Don oxygen masks, initiate emergency descent, inform ATC and passengers."
AOM Section 5,Turbulence,"Engage autopilot turbulence mode, ensure seat belts are fastened, report to ATC."
FCOM Section 2,Brake Failure,"Advise ground crew of brake issues upon landing, avoid high-speed taxiing."
AOM Section 9,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
FCOM Section 5,Engine Failure,"Throttle idle, apply maximum climb, contact ATC for emergency landing clearance."
AOM Section 7,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
AOM Section 7,Brake Failure,"Consider diverting to airport with longer runway, prepare for possible runway excursion."
FCOM Section 5,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
AOM Section 4,Engine Failure,"Monitor engine parameters, shut down affected engine if necessary, advise cabin crew."
FCOM Section 2,Stall Warning,"Verify stall warning accuracy, monitor airspeed and altitude, prepare for possible emergency descent."
AOM Section 2,Hydraulic Failure,"Implement manual flight controls, reduce speed, prepare for manual landing."
FCOM Section 2,Hydraulic Failure,"Switch to backup hydraulic system, contact ATC for nearest airport diversion."
FCOM Section 4,Electrical Failure,"Advise cabin crew of situation, maintain visual contact with other aircraft."
AOM Section 3,Landing Gear Malfunction,"Consider belly landing if necessary, brief cabin crew and passengers."
FCOM Section 2,Engine Overheating,"Reduce thrust on affected engine, monitor temperature gauges, prepare for potential engine shutdown."
AOM Section 3,Landing Gear Malfunction,"Attempt manual gear extension, prepare for low approach for visual inspection."
AOM Section 4,Icing Conditions,"Activate anti-ice systems, monitor fuel temperature, consider altitude change."
QRH Section 1,Engine Failure,"Maintain heading, attempt engine restart procedures, prepare for single-engine operation."
AOM Section 5,Runway Overrun,"Coordinate with emergency services, assist passengers during evacuation."
AOM Section 7,Bird Strike,"Inform ATC of bird strike, request immediate return to airport if necessary."
QRH Section 2,Engine Overheating,"Check for oil pressure anomalies, consider engine shutdown if overheating persists."
FCOM Section 4,Engine Failure,"Monitor engine parameters, shut down affected engine if necessary, advise cabin crew."
QRH Section 3,Engine Overheating,"Adjust fuel mixture, increase airspeed to cool engine, declare emergency if temperature rises."
AOM Section 9,Emergency Evacuation,"Deploy slides if necessary, account for all passengers and crew."
QRH Section 1,Bird Strike,"Assess aircraft for damage, monitor engine performance, prepare for possible diversion."
FCOM Section 3,Engine Failure,"Monitor engine parameters, shut down affected engine if necessary, advise cabin crew."
FCOM Section 4,Runway Overrun,"Inform ATC, avoid obstacles beyond runway, assess aircraft damage after stop."
FCOM Section 4,Landing Gear Malfunction,"Attempt manual gear extension, prepare for low approach for visual inspection."
QRH Section 2,Brake Failure,"Consider diverting to airport with longer runway, prepare for possible runway excursion."
AOM Section 3,Decompression,"Don oxygen masks, initiate emergency descent, inform ATC and passengers."
AOM Section 10,Fuel Leak,"Declare emergency, avoid areas where fuel leak could cause hazard, prepare for immediate landing."
FCOM Section 3,Icing Conditions,"Report icing conditions to ATC, request vector to exit icing area, perform de-icing procedures."
AOM Section 7,Airspeed Indicator Malfunction,"Activate pitot heat, suspect pitot-static system blockage, prepare for unreliable airspeed procedure."
FCOM Section 4,Navigation System Failure,"Rely on visual navigation if possible, ensure all navigation data is recorded."
AOM Section 3,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
AOM Section 1,Brake Failure,"Advise ground crew of brake issues upon landing, avoid high-speed taxiing."
AOM Section 9,Navigation System Failure,"Switch to backup navigation system, continue flight under manual control, prepare for manual landing."
AOM Section 5,Icing Conditions,"Activate anti-ice systems, monitor fuel temperature, consider altitude change."
FCOM Section 3,Navigation System Failure,"Rely on visual navigation if possible, ensure all navigation data is recorded."
FCOM Section 1,Runway Overrun,"Inform ATC, avoid obstacles beyond runway, assess aircraft damage after stop."
FCOM Section 1,Icing Conditions,"Report icing conditions to ATC, request vector to exit icing area, perform de-icing procedures."
AOM Section 2,Landing Gear Malfunction,"Attempt manual gear extension, prepare for low approach for visual inspection."
AOM Section 8,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
AOM Section 4,Instrument Failure,"Switch to standby instruments, maintain visual flight rules if possible, inform ATC."
AOM Section 8,Landing Gear Malfunction,"Attempt manual gear extension, prepare for low approach for visual inspection."
QRH Section 1,Brake Failure,"Advise ground crew of brake issues upon landing, avoid high-speed taxiing."
AOM Section 9,Icing Conditions,"Increase airspeed slightly to prevent ice accumulation, avoid sudden maneuvers."
FCOM Section 2,Fire in Engine,"Monitor fire indicators, do not attempt engine restart until safe."
FCOM Section 4,Bird Strike,"Check for abnormal vibrations, perform engine checks, advise cabin crew."
QRH Section 1,Hydraulic Failure,"Implement manual flight controls, reduce speed, prepare for manual landing."
AOM Section 4,Airspeed Indicator Malfunction,"Activate pitot heat, suspect pitot-static system blockage, prepare for unreliable airspeed procedure."
AOM Section 10,Emergency Evacuation,"Ensure engines and systems are shut down, assist passengers as needed, inform emergency services."
FCOM Section 1,Landing Gear Malfunction,"Inform ATC of gear issue, perform alternate gear extension procedures."
FCOM Section 3,Bird Strike,"Assess aircraft for damage, monitor engine performance, prepare for possible diversion."
AOM Section 6,Hydraulic Failure,"Implement manual flight controls, reduce speed, prepare for manual landing."
AOM Section 4,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
FCOM Section 5,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
AOM Section 3,Cabin Pressure Loss,"Check for structural damage, prepare for possible emergency landing."
AOM Section 5,Cabin Pressure Loss,"Activate emergency pressurization system, monitor cabin altitude, brief cabin crew."
FCOM Section 4,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
AOM Section 5,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
QRH Section 3,Fire in Engine,"Monitor fire indicators, do not attempt engine restart until safe."
AOM Section 8,Runway Overrun,"Apply maximum braking, deploy spoilers and reverse thrust, prepare for possible evacuation."
FCOM Section 3,Brake Failure,"Consider diverting to airport with longer runway, prepare for possible runway excursion."
AOM Section 7,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
FCOM Section 5,Navigation System Failure,"Rely on visual navigation if possible, ensure all navigation data is recorded."
AOM Section 4,Instrument Failure,"Use co-pilot's instruments if available, prepare for approach using backup systems."
FCOM Section 1,Brake Failure,"Consider diverting to airport with longer runway, prepare for possible runway excursion."
AOM Section 5,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
FCOM Section 3,Brake Failure,"Advise ground crew of brake issues upon landing, avoid high-speed taxiing."
FCOM Section 3,Hydraulic Failure,"Implement manual flight controls, reduce speed, prepare for manual landing."
AOM Section 5,Emergency Evacuation,"Ensure engines and systems are shut down, assist passengers as needed, inform emergency services."
FCOM Section 2,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
FCOM Section 4,Stall Warning,"Verify stall warning accuracy, monitor airspeed and altitude, prepare for possible emergency descent."
FCOM Section 3,Hydraulic Failure,"Limit control inputs to essential movements, monitor hydraulic pressure levels."
AOM Section 8,Cabin Pressure Loss,"Activate emergency pressurization system, monitor cabin altitude, brief cabin crew."
AOM Section 7,Engine Overheating,"Check for oil pressure anomalies, consider engine shutdown if overheating persists."
AOM Section 10,Turbulence,"Reduce speed to turbulence penetration speed, secure cabin, prepare for altitude change."
FCOM Section 3,Turbulence,"Notify passengers, adjust flight path to avoid turbulent area, monitor weather updates."
AOM Section 8,Brake Failure,"Advise ground crew of brake issues upon landing, avoid high-speed taxiing."
AOM Section 7,Bird Strike,"Check for abnormal vibrations, perform engine checks, advise cabin crew."
FCOM Section 1,Cabin Pressure Loss,"Descend to 10,000 feet, ensure oxygen masks are deployed, contact ATC for emergency descent."
FCOM Section 3,Emergency Evacuation,"Ensure engines and systems are shut down, assist passengers as needed, inform emergency services."
FCOM Section 3,Engine Overheating,"Reduce thrust on affected engine, monitor temperature gauges, prepare for potential engine shutdown."
FCOM Section 1,Bird Strike,"Inform ATC of bird strike, request immediate return to airport if necessary."
AOM Section 8,Hydraulic Failure,"Limit control inputs to essential movements, monitor hydraulic pressure levels."
FCOM Section 1,Turbulence,"Notify passengers, adjust flight path to avoid turbulent area, monitor weather updates."
AOM Section 3,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
AOM Section 1,Engine Failure,"Monitor engine parameters, shut down affected engine if necessary, advise cabin crew."
FCOM Section 5,Brake Failure,"Advise ground crew of brake issues upon landing, avoid high-speed taxiing."
FCOM Section 5,Electrical Failure,"Switch to backup power system, reduce non-essential loads, contact ATC for diversion."
AOM Section 2,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
AOM Section 7,Hydraulic Failure,"Switch to backup hydraulic system, contact ATC for nearest airport diversion."
AOM Section 8,Turbulence,"Notify passengers, adjust flight path to avoid turbulent area, monitor weather updates."
AOM Section 7,Smoke in Cabin,"Advise cabin crew to locate source of smoke, prepare passengers for possible evacuation."
AOM Section 1,Landing Gear Malfunction,"Attempt manual gear extension, prepare for low approach for visual inspection."
AOM Section 4,Fire in Engine,"Shut down affected engine, activate fire suppression system, prepare for emergency landing."
AOM Section 7,Brake Failure,"Advise ground crew of brake issues upon landing, avoid high-speed taxiing."
FCOM Section 5,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
AOM Section 6,Stall Warning,"Avoid banking, maintain wings level, communicate with co-pilot."
AOM Section 7,Hydraulic Failure,"Limit control inputs to essential movements, monitor hydraulic pressure levels."
AOM Section 1,Stall Warning,"Avoid banking, maintain wings level, communicate with co-pilot."
AOM Section 10,Airspeed Indicator Malfunction,"Cross-check with other airspeed indicators, use GPS groundspeed as reference, avoid abrupt maneuvers."
AOM Section 2,Icing Conditions,"Increase airspeed slightly to prevent ice accumulation, avoid sudden maneuvers."
FCOM Section 1,Electrical Failure,"Advise cabin crew of situation, maintain visual contact with other aircraft."
AOM Section 10,Smoke in Cabin,"Advise cabin crew to locate source of smoke, prepare passengers for possible evacuation."
FCOM Section 3,Turbulence,"Reduce speed to turbulence penetration speed, secure cabin, prepare for altitude change."
AOM Section 3,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
FCOM Section 5,Electrical Failure,"Use emergency power supply, monitor critical systems, prepare for possible communication loss."
AOM Section 10,Navigation System Failure,"Use radio navigation aids, coordinate with ATC for heading and altitude information."
AOM Section 8,Airspeed Indicator Malfunction,"Activate pitot heat, suspect pitot-static system blockage, prepare for unreliable airspeed procedure."
AOM Section 6,Engine Failure,"Maintain heading, attempt engine restart procedures, prepare for single-engine operation."
FCOM Section 2,Airspeed Indicator Malfunction,"Inform ATC of unreliable airspeed, maintain safe altitude and attitude."
AOM Section 7,Electrical Failure,"Use emergency power supply, monitor critical systems, prepare for possible communication loss."
QRH Section 3,Icing Conditions,"Increase airspeed slightly to prevent ice accumulation, avoid sudden maneuvers."
AOM Section 6,Brake Failure,"Advise ground crew of brake issues upon landing, avoid high-speed taxiing."
AOM Section 3,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
FCOM Section 2,Smoke in Cabin,"Don smoke goggles if necessary, coordinate with ATC for priority landing."
AOM Section 3,Electrical Failure,"Switch to backup power system, reduce non-essential loads, contact ATC for diversion."
QRH Section 3,Airspeed Indicator Malfunction,"Inform ATC of unreliable airspeed, maintain safe altitude and attitude."
AOM Section 5,Fire in Engine,"Shut down affected engine, activate fire suppression system, prepare for emergency landing."
QRH Section 2,Hydraulic Failure,"Switch to backup hydraulic system, contact ATC for nearest airport diversion."
AOM Section 4,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
AOM Section 1,Fuel Leak,"Declare emergency, avoid areas where fuel leak could cause hazard, prepare for immediate landing."
QRH Section 3,Smoke in Cabin,"Don smoke goggles if necessary, coordinate with ATC for priority landing."
AOM Section 7,Fire in Engine,"Monitor fire indicators, do not attempt engine restart until safe."
FCOM Section 3,Emergency Evacuation,"Stop aircraft, initiate evacuation procedures, coordinate with cabin crew."
AOM Section 1,Instrument Failure,"Use co-pilot's instruments if available, prepare for approach using backup systems."
QRH Section 2,Engine Overheating,"Adjust fuel mixture, increase airspeed to cool engine, declare emergency if temperature rises."
AOM Section 6,Emergency Evacuation,"Ensure engines and systems are shut down, assist passengers as needed, inform emergency services."
AOM Section 9,Fire in Engine,"Shut down affected engine, activate fire suppression system, prepare for emergency landing."
FCOM Section 4,Smoke in Cabin,"Declare emergency, initiate cabin smoke removal procedures, divert to nearest airport."
AOM Section 4,Cabin Pressure Loss,"Check for structural damage, prepare for possible emergency landing."
QRH Section 2,Emergency Evacuation,"Ensure engines and systems are shut down, assist passengers as needed, inform emergency services."
FCOM Section 1,Runway Overrun,"Apply maximum braking, deploy spoilers and reverse thrust, prepare for possible evacuation."
QRH Section 2,Turbulence,"Notify passengers, adjust flight path to avoid turbulent area, monitor weather updates."
AOM Section 1,Runway Overrun,"Coordinate with emergency services, assist passengers during evacuation."
AOM Section 2,Instrument Failure,"Switch to standby instruments, maintain visual flight rules if possible, inform ATC."
AOM Section 10,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
QRH Section 1,Icing Conditions,"Increase airspeed slightly to prevent ice accumulation, avoid sudden maneuvers."
AOM Section 2,Engine Failure,"Throttle idle, apply maximum climb, contact ATC for emergency landing clearance."
QRH Section 2,Runway Overrun,"Coordinate with emergency services, assist passengers during evacuation."
AOM Section 8,Airspeed Indicator Malfunction,"Cross-check with other airspeed indicators, use GPS groundspeed as reference, avoid abrupt maneuvers."
FCOM Section 2,Instrument Failure,"Switch to standby instruments, maintain visual flight rules if possible, inform ATC."
AOM Section 6,Icing Conditions,"Increase airspeed slightly to prevent ice accumulation, avoid sudden maneuvers."
FCOM Section 2,Engine Failure,"Throttle idle, apply maximum climb, contact ATC for emergency landing clearance."
FCOM Section 1,Smoke in Cabin,"Declare emergency, initiate cabin smoke removal procedures, divert to nearest airport."
AOM Section 2,Decompression,"Don oxygen masks, initiate emergency descent, inform ATC and passengers."
FCOM Section 2,Cabin Pressure Loss,"Activate emergency pressurization system, monitor cabin altitude, brief cabin crew."
AOM Section 5,Cabin Pressure Loss,"Descend to 10,000 feet, ensure oxygen masks are deployed, contact ATC for emergency descent."
FCOM Section 4,Instrument Failure,"Use co-pilot's instruments if available, prepare for approach using backup systems."
QRH Section 3,Instrument Failure,"Switch to standby instruments, maintain visual flight rules if possible, inform ATC."
AOM Section 9,Electrical Failure,"Switch to backup power system, reduce non-essential loads, contact ATC for diversion."
FCOM Section 2,Smoke in Cabin,"Advise cabin crew to locate source of smoke, prepare passengers for possible evacuation."
FCOM Section 2,Navigation System Failure,"Use radio navigation aids, coordinate with ATC for heading and altitude information."
AOM Section 5,Turbulence,"Notify passengers, adjust flight path to avoid turbulent area, monitor weather updates."
AOM Section 1,Airspeed Indicator Malfunction,"Inform ATC of unreliable airspeed, maintain safe altitude and attitude."
AOM Section 2,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
AOM Section 6,Electrical Failure,"Advise cabin crew of situation, maintain visual contact with other aircraft."
AOM Section 3,Fire in Engine,"Monitor fire indicators, do not attempt engine restart until safe."
FCOM Section 5,Stall Warning,"Lower nose to reduce angle of attack, increase throttle to regain airspeed, avoid abrupt inputs."
FCOM Section 2,Airspeed Indicator Malfunction,"Activate pitot heat, suspect pitot-static system blockage, prepare for unreliable airspeed procedure."
AOM Section 7,Landing Gear Malfunction,"Inform ATC of gear issue, perform alternate gear extension procedures."
AOM Section 5,Engine Overheating,"Reduce thrust on affected engine, monitor temperature gauges, prepare for potential engine shutdown."
AOM Section 9,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
FCOM Section 2,Turbulence,"Engage autopilot turbulence mode, ensure seat belts are fastened, report to ATC."
FCOM Section 4,Runway Overrun,"Coordinate with emergency services, assist passengers during evacuation."
AOM Section 6,Engine Failure,"Monitor engine parameters, shut down affected engine if necessary, advise cabin crew."
AOM Section 4,Decompression,"Ensure all passengers are using oxygen masks, monitor cabin altitude."
QRH Section 3,Brake Failure,"Plan for longer landing rollout, use reverse thrust and spoilers effectively, inform ATC."
QRH Section 2,Engine Failure,"Monitor engine parameters, shut down affected engine if necessary, advise cabin crew."
FCOM Section 4,Navigation System Failure,"Switch to backup navigation system, continue flight under manual control, prepare for manual landing."
FCOM Section 5,Hydraulic Failure,"Switch to backup hydraulic system, contact ATC for nearest airport diversion."
AOM Section 8,Icing Conditions,"Increase airspeed slightly to prevent ice accumulation, avoid sudden maneuvers."
QRH Section 3,Fuel Leak,"Declare emergency, avoid areas where fuel leak could cause hazard, prepare for immediate landing."
AOM Section 8,Emergency Evacuation,"Deploy slides if necessary, account for all passengers and crew."
AOM Section 7,Emergency Evacuation,"Ensure engines and systems are shut down, assist passengers as needed, inform emergency services."
QRH Section 1,Stall Warning,"Avoid banking, maintain wings level, communicate with co-pilot."
AOM Section 6,Icing Conditions,"Activate anti-ice systems, monitor fuel temperature, consider altitude change."
FCOM Section 2,Icing Conditions,"Increase airspeed slightly to prevent ice accumulation, avoid sudden maneuvers."
QRH Section 2,Landing Gear Malfunction,"Attempt manual gear extension, prepare for low approach for visual inspection."
FCOM Section 4,Engine Overheating,"Check for oil pressure anomalies, consider engine shutdown if overheating persists."
AOM Section 3,Runway Overrun,"Apply maximum braking, deploy spoilers and reverse thrust, prepare for possible evacuation."
AOM Section 4,Engine Overheating,"Check for oil pressure anomalies, consider engine shutdown if overheating persists."
QRH Section 2,Emergency Evacuation,"Stop aircraft, initiate evacuation procedures, coordinate with cabin crew."
AOM Section 6,Airspeed Indicator Malfunction,"Cross-check with other airspeed indicators, use GPS groundspeed as reference, avoid abrupt maneuvers."
AOM Section 4,Bird Strike,"Assess aircraft for damage, monitor engine performance, prepare for possible diversion."
AOM Section 8,Navigation System Failure,"Switch to backup navigation system, continue flight under manual control, prepare for manual landing."
AOM Section 1,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
QRH Section 1,Airspeed Indicator Malfunction,"Activate pitot heat, suspect pitot-static system blockage, prepare for unreliable airspeed procedure."
QRH Section 3,Turbulence,"Engage autopilot turbulence mode, ensure seat belts are fastened, report to ATC."
AOM Section 4,Bird Strike,"Check for abnormal vibrations, perform engine checks, advise cabin crew."
AOM Section 7,Cabin Pressure Loss,"Descend to 10,000 feet, ensure oxygen masks are deployed, contact ATC for emergency descent."
AOM Section 6,Decompression,"Don oxygen masks, initiate emergency descent, inform ATC and passengers."
AOM Section 5,Landing Gear Malfunction,"Consider belly landing if necessary, brief cabin crew and passengers."
QRH Section 2,Airspeed Indicator Malfunction,"Cross-check with other airspeed indicators, use GPS groundspeed as reference, avoid abrupt maneuvers."
AOM Section 5,Fire in Engine,"Monitor fire indicators, do not attempt engine restart until safe."
QRH Section 2,Stall Warning,"Lower nose to reduce angle of attack, increase throttle to regain airspeed, avoid abrupt inputs."
AOM Section 6,Airspeed Indicator Malfunction,"Activate pitot heat, suspect pitot-static system blockage, prepare for unreliable airspeed procedure."
AOM Section 7,Engine Overheating,"Reduce thrust on affected engine, monitor temperature gauges, prepare for potential engine shutdown."
FCOM Section 2,Instrument Failure,"Avoid abrupt maneuvers, monitor other instruments for inconsistencies."
QRH Section 1,Instrument Failure,"Use co-pilot's instruments if available, prepare for approach using backup systems."
AOM Section 6,Fuel Leak,"Declare emergency, avoid areas where fuel leak could cause hazard, prepare for immediate landing."
AOM Section 8,Turbulence,"Reduce speed to turbulence penetration speed, secure cabin, prepare for altitude change."
FCOM Section 3,Decompression,"Check cabin pressure indicators, prepare for possible hypoxia symptoms, divert to suitable airport."
AOM Section 1,Turbulence,"Engage autopilot turbulence mode, ensure seat belts are fastened, report to ATC."
FCOM Section 5,Landing Gear Malfunction,"Consider belly landing if necessary, brief cabin crew and passengers."
FCOM Section 1,Decompression,"Don oxygen masks, initiate emergency descent, inform ATC and passengers."
AOM Section 7,Engine Failure,"Monitor engine parameters, shut down affected engine if necessary, advise cabin crew."
AOM Section 8,Fuel Leak,"Isolate affected fuel tank, crossfeed from other tanks, calculate remaining fuel for diversion."
FCOM Section 4,Brake Failure,"Plan for longer landing rollout, use reverse thrust and spoilers effectively, inform ATC."
QRH Section 2,Instrument Failure,"Use co-pilot's instruments if available, prepare for approach using backup systems."
QRH Section 1,Runway Overrun,"Coordinate with emergency services, assist passengers during evacuation."
AOM Section 7,Landing Gear Malfunction,"Consider belly landing if necessary, brief cabin crew and passengers."
QRH Section 3,Icing Conditions,"Report icing conditions to ATC, request vector to exit icing area, perform de-icing procedures."
AOM Section 4,Emergency Evacuation,"Ensure engines and systems are shut down, assist passengers as needed, inform emergency services."
FCOM Section 5,Turbulence,"Reduce speed to turbulence penetration speed, secure cabin, prepare for altitude change."
AOM Section 5,Fuel Leak,"Monitor fuel levels closely, communicate fuel status to ATC."
FCOM Section 4,Airspeed Indicator Malfunction,"Activate pitot heat, suspect pitot-static system blockage, prepare for unreliable airspeed procedure."
AOM Section 3,Runway Overrun,"Coordinate with emergency services, assist passengers during evacuation."
AOM Section 7,Emergency Evacuation,"Stop aircraft, initiate evacuation procedures, coordinate with cabin crew."
FCOM Section 5,Fire in Engine,"Monitor fire indicators, do not attempt engine restart until safe."
QRH Section 3,Landing Gear Malfunction,"Inform ATC of gear issue, perform alternate gear extension procedures."
AOM Section 2,Fire in Engine,"Declare Mayday, divert to nearest suitable airport, advise cabin crew and passengers."
AOM Section 3,Smoke in Cabin,"Don smoke goggles if necessary, coordinate with ATC for priority landing."
AOM Section 7,Stall Warning,"Avoid banking, maintain wings level, communicate with co-pilot."
AOM Section 6,Navigation System Failure,"Switch to backup navigation system, continue flight under manual control, prepare for manual landing."
