Time,Call Sign,Total Weight (kg),Cargo Type,Weight Distribution,Fuel Adjustment Needed
00:19:30,UAE201,221684,Hazardous,Imbalanced,No adjustment needed
00:20:00,UAE201,153506,Hazardous,Balanced,No adjustment needed
00:20:30,UAE201,59460,Hazardous,Imbalanced,Fuel adjustment required
00:21:00,UAE201,152429,Normal,Imbalanced,Fuel adjustment required
00:21:30,UAE201,132714,Hazardous,Balanced,No adjustment needed
00:22:00,UAE201,210313,Normal,Balanced,Fuel adjustment required
00:22:30,UAE201,75998,Normal,Imbalanced,Fuel adjustment required
00:23:00,UAE201,167804,Normal,Balanced,No adjustment needed
00:23:30,UAE201,143114,Normal,Balanced,Fuel adjustment required
00:24:00,UAE201,53937,Normal,Balanced,No adjustment needed
00:24:30,UAE201,113858,Normal,Imbalanced,No adjustment needed
00:25:00,UAE201,199013,Normal,Balanced,No adjustment needed
00:25:30,UAE201,73307,Hazardous,Imbalanced,No adjustment needed
00:26:00,UAE201,216338,Normal,Balanced,No adjustment needed
00:26:30,UAE201,156780,Hazardous,Imbalanced,Fuel adjustment required
00:27:00,UAE201,85062,Hazardous,Imbalanced,Fuel adjustment required
00:27:30,UAE201,202401,Hazardous,Imbalanced,No adjustment needed
00:28:00,UAE201,104685,Normal,Imbalanced,Fuel adjustment required
00:28:30,UAE201,186819,Hazardous,Balanced,No adjustment needed
00:29:00,UAE201,69365,Normal,Balanced,No adjustment needed
00:29:30,UAE201,228452,Hazardous,Balanced,No adjustment needed
00:30:00,UAE201,96087,Hazardous,Imbalanced,Fuel adjustment required
00:30:30,UAE201,107128,Hazardous,Imbalanced,No adjustment needed
00:31:00,UAE201,63570,Normal,Imbalanced,No adjustment needed
00:31:30,UAE201,84412,Normal,Imbalanced,Fuel adjustment required
00:32:00,UAE201,52119,Normal,Balanced,No adjustment needed
00:32:30,UAE201,91555,Normal,Imbalanced,No adjustment needed
00:33:00,UAE201,171438,Hazardous,Imbalanced,Fuel adjustment required
00:33:30,UAE201,167044,Hazardous,Imbalanced,No adjustment needed
00:34:00,UAE201,82544,Hazardous,Imbalanced,No adjustment needed
00:34:30,UAE201,232056,Hazardous,Balanced,Fuel adjustment required
00:35:00,UAE201,159597,Normal,Imbalanced,No adjustment needed
00:35:30,UAE201,75336,Hazardous,Balanced,Fuel adjustment required
00:36:00,UAE201,148531,Hazardous,Imbalanced,No adjustment needed
00:36:30,UAE201,113807,Hazardous,Balanced,No adjustment needed
00:37:00,UAE201,113116,Hazardous,Imbalanced,Fuel adjustment required
00:37:30,UAE201,192110,Normal,Balanced,No adjustment needed
00:38:00,UAE201,78617,Normal,Imbalanced,Fuel adjustment required
00:38:30,UAE201,129172,Normal,Balanced,Fuel adjustment required
00:39:00,UAE201,68998,Normal,Imbalanced,Fuel adjustment required
00:39:30,UAE201,118438,Hazardous,Balanced,No adjustment needed
00:40:00,UAE201,51579,Normal,Imbalanced,Fuel adjustment required
00:40:30,UAE201,86259,Hazardous,Imbalanced,No adjustment needed
00:41:00,UAE201,215639,Hazardous,Balanced,Fuel adjustment required
00:41:30,UAE201,194422,Hazardous,Balanced,Fuel adjustment required
00:42:00,UAE201,113015,Hazardous,Balanced,Fuel adjustment required
00:42:30,UAE201,160635,Hazardous,Imbalanced,Fuel adjustment required
00:43:00,UAE201,240917,Normal,Balanced,No adjustment needed
00:43:30,UAE201,126742,Hazardous,Balanced,No adjustment needed
00:44:00,UAE201,99461,Normal,Balanced,Fuel adjustment required
00:44:30,UAE201,237081,Normal,Balanced,No adjustment needed
00:45:00,UAE201,140970,Normal,Imbalanced,Fuel adjustment required
00:45:30,UAE201,166040,Normal,Imbalanced,No adjustment needed
00:46:00,UAE201,85123,Hazardous,Imbalanced,Fuel adjustment required
00:46:30,UAE201,113519,Hazardous,Imbalanced,No adjustment needed
00:47:00,UAE201,171066,Hazardous,Imbalanced,Fuel adjustment required
00:47:30,UAE201,89188,Hazardous,Imbalanced,No adjustment needed
00:48:00,UAE201,245720,Hazardous,Balanced,No adjustment needed
00:48:30,UAE201,214680,Hazardous,Balanced,Fuel adjustment required
00:49:00,UAE201,226329,Normal,Balanced,Fuel adjustment required
00:49:30,UAE201,162039,Normal,Balanced,Fuel adjustment required
00:50:00,UAE201,171215,Hazardous,Balanced,No adjustment needed
00:50:30,UAE201,139394,Normal,Balanced,Fuel adjustment required
00:51:00,UAE201,237672,Normal,Imbalanced,No adjustment needed
00:51:30,UAE201,101131,Hazardous,Imbalanced,No adjustment needed
00:52:00,UAE201,179900,Hazardous,Imbalanced,Fuel adjustment required
00:52:30,UAE201,101527,Hazardous,Imbalanced,Fuel adjustment required
00:53:00,UAE201,232692,Normal,Balanced,Fuel adjustment required
00:53:30,UAE201,202333,Normal,Balanced,No adjustment needed
00:54:00,UAE201,69759,Normal,Balanced,No adjustment needed
00:54:30,UAE201,83852,Hazardous,Balanced,Fuel adjustment required
00:55:00,UAE201,53332,Normal,Balanced,Fuel adjustment required
00:55:30,UAE201,76613,Normal,Imbalanced,No adjustment needed
00:56:00,UAE201,78232,Normal,Imbalanced,No adjustment needed
00:56:30,UAE201,229157,Normal,Balanced,Fuel adjustment required
00:57:00,UAE201,215309,Hazardous,Balanced,Fuel adjustment required
00:57:30,UAE201,140991,Hazardous,Balanced,Fuel adjustment required
00:58:00,UAE201,108783,Normal,Imbalanced,Fuel adjustment required
00:58:30,UAE201,230695,Normal,Balanced,No adjustment needed
00:59:00,UAE201,64799,Hazardous,Balanced,Fuel adjustment required
00:59:30,UAE201,96907,Hazardous,Balanced,Fuel adjustment required
01:00:00,UAE201,221043,Hazardous,Imbalanced,No adjustment needed
01:00:30,UAE201,122117,Hazardous,Imbalanced,Fuel adjustment required
01:01:00,UAE201,168389,Normal,Imbalanced,No adjustment needed
01:01:30,UAE201,192118,Hazardous,Balanced,Fuel adjustment required
01:02:00,UAE201,127926,Hazardous,Imbalanced,No adjustment needed
01:02:30,UAE201,88891,Normal,Imbalanced,No adjustment needed
01:03:00,UAE201,148264,Normal,Balanced,No adjustment needed
01:03:30,UAE201,129489,Normal,Balanced,Fuel adjustment required
01:04:00,UAE201,79195,Normal,Balanced,No adjustment needed
01:04:30,UAE201,245009,Normal,Balanced,Fuel adjustment required
01:05:00,UAE201,133840,Normal,Balanced,No adjustment needed
01:05:30,UAE201,65576,Hazardous,Imbalanced,Fuel adjustment required
01:06:00,UAE201,55981,Hazardous,Balanced,Fuel adjustment required
01:06:30,UAE201,143575,Normal,Balanced,Fuel adjustment required
01:07:00,UAE201,129531,Hazardous,Imbalanced,Fuel adjustment required
01:07:30,UAE201,205698,Hazardous,Balanced,Fuel adjustment required
01:08:00,UAE201,236230,Hazardous,Imbalanced,No adjustment needed
01:08:30,UAE201,195837,Hazardous,Balanced,No adjustment needed
01:09:00,UAE201,125797,Normal,Balanced,Fuel adjustment required
01:09:30,UAE201,61944,Hazardous,Imbalanced,Fuel adjustment required
01:10:00,UAE201,130498,Normal,Balanced,Fuel adjustment required
01:10:30,UAE201,221077,Hazardous,Balanced,No adjustment needed
01:11:00,UAE201,219594,Normal,Imbalanced,No adjustment needed
01:11:30,UAE201,203487,Normal,Imbalanced,No adjustment needed
01:12:00,UAE201,215313,Normal,Imbalanced,Fuel adjustment required
01:12:30,UAE201,121749,Normal,Balanced,No adjustment needed
01:13:00,UAE201,148956,Normal,Imbalanced,No adjustment needed
01:13:30,UAE201,71985,Hazardous,Balanced,Fuel adjustment required
01:14:00,UAE201,162064,Normal,Balanced,Fuel adjustment required
01:14:30,UAE201,148028,Hazardous,Imbalanced,Fuel adjustment required
01:15:00,UAE201,245256,Normal,Imbalanced,No adjustment needed
01:15:30,UAE201,122914,Normal,Balanced,No adjustment needed
01:16:00,UAE201,112950,Normal,Balanced,No adjustment needed
01:16:30,UAE201,153902,Normal,Imbalanced,Fuel adjustment required
01:17:00,UAE201,166596,Normal,Imbalanced,Fuel adjustment required
01:17:30,UAE201,80824,Hazardous,Balanced,No adjustment needed
01:18:00,UAE201,232021,Normal,Balanced,No adjustment needed
01:18:30,UAE201,102671,Normal,Imbalanced,Fuel adjustment required
01:19:00,UAE201,192973,Normal,Balanced,No adjustment needed
01:19:30,UAE201,248928,Normal,Imbalanced,Fuel adjustment required
01:20:00,UAE201,162995,Hazardous,Balanced,No adjustment needed
01:20:30,UAE201,63292,Normal,Imbalanced,No adjustment needed
01:21:00,UAE201,159233,Hazardous,Imbalanced,Fuel adjustment required
01:21:30,UAE201,243711,Normal,Balanced,Fuel adjustment required
01:22:00,UAE201,184421,Hazardous,Imbalanced,No adjustment needed
01:22:30,UAE201,109391,Normal,Balanced,Fuel adjustment required
01:23:00,UAE201,169138,Normal,Imbalanced,Fuel adjustment required
01:23:30,UAE201,113740,Normal,Balanced,No adjustment needed
01:24:00,UAE201,188818,Normal,Balanced,No adjustment needed
01:24:30,UAE201,88859,Normal,Imbalanced,Fuel adjustment required
01:25:00,UAE201,222758,Normal,Balanced,No adjustment needed
01:25:30,UAE201,69178,Normal,Imbalanced,Fuel adjustment required
01:26:00,UAE201,71883,Normal,Imbalanced,No adjustment needed
01:26:30,UAE201,70698,Hazardous,Balanced,Fuel adjustment required
01:27:00,UAE201,207036,Hazardous,Balanced,No adjustment needed
01:27:30,UAE201,94392,Normal,Imbalanced,Fuel adjustment required
01:28:00,UAE201,95125,Hazardous,Imbalanced,No adjustment needed
01:28:30,UAE201,113563,Hazardous,Balanced,Fuel adjustment required
01:29:00,UAE201,193374,Hazardous,Imbalanced,No adjustment needed
01:29:30,UAE201,74122,Hazardous,Balanced,Fuel adjustment required
01:30:00,UAE201,143503,Hazardous,Imbalanced,No adjustment needed
01:30:30,UAE201,223553,Normal,Balanced,Fuel adjustment required
01:31:00,UAE201,59838,Normal,Balanced,No adjustment needed
01:31:30,UAE201,70266,Hazardous,Balanced,No adjustment needed
01:32:00,UAE201,128015,Hazardous,Balanced,No adjustment needed
01:32:30,UAE201,126350,Normal,Imbalanced,No adjustment needed
01:33:00,UAE201,200187,Hazardous,Imbalanced,No adjustment needed
01:33:30,UAE201,162233,Hazardous,Imbalanced,No adjustment needed
01:34:00,UAE201,142657,Hazardous,Imbalanced,No adjustment needed
01:34:30,UAE201,131240,Normal,Imbalanced,Fuel adjustment required
01:35:00,UAE201,141979,Normal,Balanced,No adjustment needed
01:35:30,UAE201,131887,Normal,Balanced,No adjustment needed
01:36:00,UAE201,85310,Hazardous,Imbalanced,Fuel adjustment required
01:36:30,UAE201,135651,Normal,Imbalanced,No adjustment needed
01:37:00,UAE201,50962,Normal,Imbalanced,Fuel adjustment required
01:37:30,UAE201,147040,Normal,Imbalanced,Fuel adjustment required
01:38:00,UAE201,102890,Hazardous,Balanced,Fuel adjustment required
01:38:30,UAE201,195016,Normal,Balanced,No adjustment needed
01:39:00,UAE201,216817,Normal,Balanced,No adjustment needed
01:39:30,UAE201,156614,Hazardous,Balanced,No adjustment needed
01:40:00,UAE201,87269,Hazardous,Balanced,Fuel adjustment required
01:40:30,UAE201,242916,Normal,Imbalanced,Fuel adjustment required
01:41:00,UAE201,78401,Normal,Balanced,Fuel adjustment required
01:41:30,UAE201,123465,Normal,Imbalanced,No adjustment needed
01:42:00,UAE201,177208,Hazardous,Imbalanced,No adjustment needed
01:42:30,UAE201,151873,Hazardous,Balanced,Fuel adjustment required
01:43:00,UAE201,100253,Normal,Balanced,Fuel adjustment required
01:43:30,UAE201,247595,Normal,Imbalanced,No adjustment needed
01:44:00,UAE201,123432,Hazardous,Balanced,No adjustment needed
01:44:30,UAE201,189719,Hazardous,Imbalanced,Fuel adjustment required
01:45:00,UAE201,191843,Normal,Imbalanced,Fuel adjustment required
01:45:30,UAE201,83132,Normal,Balanced,No adjustment needed
01:46:00,UAE201,65654,Hazardous,Balanced,No adjustment needed
01:46:30,UAE201,90776,Hazardous,Balanced,No adjustment needed
01:47:00,UAE201,163000,Normal,Imbalanced,Fuel adjustment required
01:47:30,UAE201,202476,Hazardous,Balanced,No adjustment needed
01:48:00,UAE201,237571,Hazardous,Imbalanced,Fuel adjustment required
01:48:30,UAE201,126876,Normal,Imbalanced,Fuel adjustment required
01:49:00,UAE201,228642,Hazardous,Imbalanced,No adjustment needed
01:49:30,UAE201,241003,Normal,Balanced,Fuel adjustment required
01:50:00,UAE201,232305,Normal,Balanced,No adjustment needed
01:50:30,UAE201,121206,Hazardous,Balanced,Fuel adjustment required
01:51:00,UAE201,93684,Hazardous,Balanced,No adjustment needed
01:51:30,UAE201,189911,Hazardous,Balanced,No adjustment needed
01:52:00,UAE201,206877,Normal,Balanced,Fuel adjustment required
01:52:30,UAE201,70241,Normal,Balanced,No adjustment needed
01:53:00,UAE201,99405,Normal,Imbalanced,Fuel adjustment required
01:53:30,UAE201,170659,Normal,Balanced,No adjustment needed
01:54:00,UAE201,171310,Normal,Imbalanced,Fuel adjustment required
01:54:30,UAE201,235565,Normal,Imbalanced,No adjustment needed
01:55:00,UAE201,128505,Hazardous,Balanced,No adjustment needed
01:55:30,UAE201,167589,Normal,Balanced,No adjustment needed
01:56:00,UAE201,107311,Normal,Balanced,No adjustment needed
01:56:30,UAE201,75731,Normal,Balanced,Fuel adjustment required
01:57:00,UAE201,151273,Normal,Imbalanced,No adjustment needed
01:57:30,UAE201,198574,Hazardous,Imbalanced,No adjustment needed
01:58:00,UAE201,66148,Hazardous,Balanced,Fuel adjustment required
01:58:30,UAE201,131616,Hazardous,Balanced,Fuel adjustment required
01:59:00,UAE201,121662,Hazardous,Balanced,Fuel adjustment required
01:59:30,UAE201,162606,Hazardous,Balanced,No adjustment needed
02:00:00,UAE201,241657,Hazardous,Balanced,Fuel adjustment required
02:00:30,UAE201,218312,Hazardous,Imbalanced,No adjustment needed
02:01:00,UAE201,72777,Normal,Balanced,Fuel adjustment required
02:01:30,UAE201,219916,Hazardous,Imbalanced,Fuel adjustment required
02:02:00,UAE201,150431,Normal,Balanced,Fuel adjustment required
02:02:30,UAE201,100896,Hazardous,Balanced,No adjustment needed
02:03:00,UAE201,155666,Hazardous,Imbalanced,No adjustment needed
02:03:30,UAE201,155616,Normal,Balanced,No adjustment needed
02:04:00,UAE201,199389,Normal,Balanced,Fuel adjustment required
02:04:30,UAE201,183807,Normal,Imbalanced,Fuel adjustment required
02:05:00,UAE201,152824,Normal,Balanced,Fuel adjustment required
02:05:30,UAE201,68671,Normal,Imbalanced,No adjustment needed
02:06:00,UAE201,89519,Hazardous,Imbalanced,No adjustment needed
02:06:30,UAE201,117634,Normal,Balanced,No adjustment needed
02:07:00,UAE201,124703,Hazardous,Balanced,No adjustment needed
02:07:30,UAE201,106337,Normal,Balanced,No adjustment needed
02:08:00,UAE201,129689,Hazardous,Balanced,Fuel adjustment required
02:08:30,UAE201,53558,Hazardous,Balanced,Fuel adjustment required
02:09:00,UAE201,105604,Hazardous,Balanced,Fuel adjustment required
02:09:30,UAE201,130641,Hazardous,Imbalanced,No adjustment needed
02:10:00,UAE201,105653,Hazardous,Balanced,Fuel adjustment required
02:10:30,UAE201,118909,Normal,Imbalanced,Fuel adjustment required
02:11:00,UAE201,168518,Hazardous,Imbalanced,Fuel adjustment required
02:11:30,UAE201,75688,Normal,Imbalanced,Fuel adjustment required
02:12:00,UAE201,116134,Hazardous,Balanced,No adjustment needed
02:12:30,UAE201,186738,Normal,Imbalanced,No adjustment needed
02:13:00,UAE201,198208,Hazardous,Imbalanced,Fuel adjustment required
02:13:30,UAE201,195941,Hazardous,Imbalanced,No adjustment needed
02:14:00,UAE201,167352,Normal,Balanced,Fuel adjustment required
02:14:30,UAE201,211169,Normal,Balanced,Fuel adjustment required
02:15:00,UAE201,207056,Hazardous,Imbalanced,Fuel adjustment required
02:15:30,UAE201,124943,Normal,Balanced,Fuel adjustment required
02:16:00,UAE201,193075,Hazardous,Balanced,No adjustment needed
02:16:30,UAE201,128566,Normal,Balanced,Fuel adjustment required
02:17:00,UAE201,187744,Hazardous,Balanced,Fuel adjustment required
02:17:30,UAE201,173253,Hazardous,Balanced,No adjustment needed
02:18:00,UAE201,246969,Normal,Imbalanced,No adjustment needed
02:18:30,UAE201,133913,Normal,Imbalanced,No adjustment needed
02:19:00,UAE201,103765,Hazardous,Imbalanced,No adjustment needed
02:19:30,UAE201,241725,Hazardous,Balanced,Fuel adjustment required
02:20:00,UAE201,208813,Hazardous,Balanced,No adjustment needed
02:20:30,UAE201,236598,Normal,Balanced,No adjustment needed
02:21:00,UAE201,146406,Normal,Imbalanced,Fuel adjustment required
02:21:30,UAE201,82304,Normal,Imbalanced,No adjustment needed
02:22:00,UAE201,172814,Normal,Balanced,Fuel adjustment required
02:22:30,UAE201,175567,Hazardous,Imbalanced,Fuel adjustment required
02:23:00,UAE201,155960,Normal,Imbalanced,Fuel adjustment required
02:23:30,UAE201,220221,Normal,Balanced,Fuel adjustment required
02:24:00,UAE201,191736,Hazardous,Imbalanced,No adjustment needed
02:24:30,UAE201,224284,Hazardous,Imbalanced,No adjustment needed
02:25:00,UAE201,195777,Normal,Balanced,Fuel adjustment required
02:25:30,UAE201,165658,Normal,Balanced,No adjustment needed
02:26:00,UAE201,86542,Hazardous,Balanced,Fuel adjustment required
02:26:30,UAE201,244648,Normal,Imbalanced,Fuel adjustment required
02:27:00,UAE201,242184,Normal,Balanced,Fuel adjustment required
02:27:30,UAE201,107966,Hazardous,Balanced,No adjustment needed
02:28:00,UAE201,209395,Hazardous,Imbalanced,Fuel adjustment required
02:28:30,UAE201,55560,Hazardous,Imbalanced,Fuel adjustment required
02:29:00,UAE201,218739,Normal,Balanced,Fuel adjustment required
02:29:30,UAE201,125780,Hazardous,Balanced,No adjustment needed
02:30:00,UAE201,68033,Hazardous,Balanced,No adjustment needed
02:30:30,UAE201,98983,Hazardous,Balanced,Fuel adjustment required
02:31:00,UAE201,125538,Hazardous,Imbalanced,No adjustment needed
02:31:30,UAE201,167007,Normal,Imbalanced,No adjustment needed
02:32:00,UAE201,58938,Hazardous,Imbalanced,Fuel adjustment required
02:32:30,UAE201,82343,Hazardous,Imbalanced,Fuel adjustment required
02:33:00,UAE201,188889,Hazardous,Balanced,Fuel adjustment required
02:33:30,UAE201,226127,Hazardous,Imbalanced,Fuel adjustment required
02:34:00,UAE201,220867,Normal,Balanced,Fuel adjustment required
02:34:30,UAE201,63929,Normal,Imbalanced,No adjustment needed
02:35:00,UAE201,216625,Hazardous,Balanced,No adjustment needed
02:35:30,UAE201,226791,Normal,Imbalanced,No adjustment needed
02:36:00,UAE201,93533,Hazardous,Balanced,Fuel adjustment required
02:36:30,UAE201,111907,Hazardous,Balanced,Fuel adjustment required
02:37:00,UAE201,66789,Hazardous,Balanced,Fuel adjustment required
02:37:30,UAE201,188466,Normal,Balanced,Fuel adjustment required
02:38:00,UAE201,54625,Hazardous,Imbalanced,No adjustment needed
02:38:30,UAE201,187353,Normal,Balanced,No adjustment needed
02:39:00,UAE201,195215,Hazardous,Balanced,Fuel adjustment required
02:39:30,UAE201,143626,Hazardous,Imbalanced,No adjustment needed
02:40:00,UAE201,147113,Normal,Imbalanced,No adjustment needed
02:40:30,UAE201,171135,Hazardous,Imbalanced,Fuel adjustment required
02:41:00,UAE201,98284,Normal,Imbalanced,No adjustment needed
02:41:30,UAE201,120238,Normal,Balanced,No adjustment needed
02:42:00,UAE201,196314,Hazardous,Balanced,Fuel adjustment required
02:42:30,UAE201,159247,Hazardous,Balanced,Fuel adjustment required
02:43:00,UAE201,150469,Normal,Balanced,Fuel adjustment required
02:43:30,UAE201,199137,Normal,Imbalanced,No adjustment needed
02:44:00,UAE201,59574,Hazardous,Balanced,Fuel adjustment required
02:44:30,UAE201,153414,Normal,Balanced,No adjustment needed
02:45:00,UAE201,161941,Hazardous,Balanced,Fuel adjustment required
02:45:30,UAE201,77229,Hazardous,Balanced,No adjustment needed
02:46:00,UAE201,126763,Hazardous,Balanced,No adjustment needed
02:46:30,UAE201,171547,Normal,Imbalanced,No adjustment needed
02:47:00,UAE201,133033,Normal,Balanced,Fuel adjustment required
02:47:30,UAE201,185052,Normal,Imbalanced,No adjustment needed
02:48:00,UAE201,103622,Normal,Imbalanced,Fuel adjustment required
02:48:30,UAE201,154637,Hazardous,Imbalanced,Fuel adjustment required
02:49:00,UAE201,167201,Hazardous,Imbalanced,No adjustment needed
02:49:30,UAE201,243985,Hazardous,Imbalanced,Fuel adjustment required
02:50:00,UAE201,228950,Normal,Balanced,No adjustment needed
02:50:30,UAE201,201440,Normal,Imbalanced,No adjustment needed
02:51:00,UAE201,142763,Normal,Imbalanced,No adjustment needed
02:51:30,UAE201,158409,Normal,Imbalanced,Fuel adjustment required
02:52:00,UAE201,196685,Normal,Imbalanced,Fuel adjustment required
02:52:30,UAE201,165974,Hazardous,Imbalanced,No adjustment needed
02:53:00,UAE201,140351,Hazardous,Balanced,No adjustment needed
02:53:30,UAE201,95070,Hazardous,Imbalanced,Fuel adjustment required
02:54:00,UAE201,87185,Hazardous,Balanced,Fuel adjustment required
02:54:30,UAE201,57112,Normal,Balanced,Fuel adjustment required
02:55:00,UAE201,157140,Hazardous,Imbalanced,Fuel adjustment required
02:55:30,UAE201,211256,Hazardous,Balanced,No adjustment needed
02:56:00,UAE201,76397,Normal,Imbalanced,Fuel adjustment required
02:56:30,UAE201,185855,Normal,Imbalanced,Fuel adjustment required
02:57:00,UAE201,82818,Hazardous,Imbalanced,No adjustment needed
02:57:30,UAE201,201029,Normal,Imbalanced,Fuel adjustment required
02:58:00,UAE201,168333,Hazardous,Imbalanced,Fuel adjustment required
02:58:30,UAE201,201811,Normal,Balanced,Fuel adjustment required
02:59:00,UAE201,140848,Normal,Balanced,No adjustment needed
02:59:30,UAE201,204887,Hazardous,Imbalanced,Fuel adjustment required
03:00:00,UAE201,209211,Normal,Balanced,No adjustment needed
03:00:30,UAE201,68109,Normal,Imbalanced,Fuel adjustment required
03:01:00,UAE201,61011,Hazardous,Imbalanced,Fuel adjustment required
03:01:30,UAE201,243691,Hazardous,Balanced,No adjustment needed
03:02:00,UAE201,129089,Normal,Imbalanced,Fuel adjustment required
03:02:30,UAE201,144763,Hazardous,Imbalanced,No adjustment needed
03:03:00,UAE201,63748,Hazardous,Balanced,Fuel adjustment required
03:03:30,UAE201,100519,Hazardous,Imbalanced,No adjustment needed
03:04:00,UAE201,50823,Normal,Balanced,No adjustment needed
03:04:30,UAE201,50817,Normal,Imbalanced,Fuel adjustment required
03:05:00,UAE201,212276,Normal,Balanced,Fuel adjustment required
03:05:30,UAE201,176738,Hazardous,Balanced,Fuel adjustment required
03:06:00,UAE201,92332,Normal,Imbalanced,No adjustment needed
03:06:30,UAE201,125892,Normal,Balanced,Fuel adjustment required
03:07:00,UAE201,84883,Hazardous,Balanced,No adjustment needed
03:07:30,UAE201,130617,Hazardous,Balanced,No adjustment needed
03:08:00,UAE201,249640,Normal,Imbalanced,Fuel adjustment required
03:08:30,UAE201,242045,Normal,Balanced,Fuel adjustment required
03:09:00,UAE201,134603,Hazardous,Imbalanced,No adjustment needed
03:09:30,UAE201,198737,Hazardous,Imbalanced,No adjustment needed
03:10:00,UAE201,92647,Hazardous,Imbalanced,Fuel adjustment required
03:10:30,UAE201,54002,Normal,Imbalanced,Fuel adjustment required
03:11:00,UAE201,209244,Hazardous,Balanced,Fuel adjustment required
03:11:30,UAE201,167482,Normal,Balanced,Fuel adjustment required
03:12:00,UAE201,190853,Normal,Balanced,No adjustment needed
03:12:30,UAE201,88710,Hazardous,Imbalanced,Fuel adjustment required
03:13:00,UAE201,213599,Hazardous,Imbalanced,Fuel adjustment required
03:13:30,UAE201,54620,Hazardous,Imbalanced,No adjustment needed
03:14:00,UAE201,151546,Hazardous,Balanced,No adjustment needed
03:14:30,UAE201,121138,Normal,Imbalanced,Fuel adjustment required
03:15:00,UAE201,126423,Hazardous,Balanced,No adjustment needed
03:15:30,UAE201,64198,Hazardous,Balanced,No adjustment needed
03:16:00,UAE201,159065,Normal,Balanced,No adjustment needed
03:16:30,UAE201,190307,Normal,Imbalanced,No adjustment needed
03:17:00,UAE201,116881,Normal,Balanced,Fuel adjustment required
03:17:30,UAE201,82915,Hazardous,Imbalanced,Fuel adjustment required
03:18:00,UAE201,87198,Hazardous,Imbalanced,Fuel adjustment required
03:18:30,UAE201,83592,Hazardous,Imbalanced,Fuel adjustment required
03:19:00,UAE201,98966,Hazardous,Imbalanced,No adjustment needed
03:19:30,UAE201,190108,Hazardous,Balanced,No adjustment needed
03:20:00,UAE201,192376,Hazardous,Balanced,No adjustment needed
03:20:30,UAE201,205130,Hazardous,Balanced,No adjustment needed
03:21:00,UAE201,105551,Hazardous,Balanced,Fuel adjustment required
03:21:30,UAE201,147017,Normal,Imbalanced,No adjustment needed
03:22:00,UAE201,220070,Hazardous,Imbalanced,Fuel adjustment required
03:22:30,UAE201,100792,Hazardous,Imbalanced,No adjustment needed
03:23:00,UAE201,165004,Normal,Imbalanced,Fuel adjustment required
03:23:30,UAE201,126425,Normal,Balanced,Fuel adjustment required
03:24:00,UAE201,225468,Normal,Imbalanced,No adjustment needed
