Time,Call Sign,Communication Type,Message Content,Altitude (ft),Speed (knots),Heading (degrees),Position
00:28:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL250.,25000,442,172,"('34.0837° N', '74.7973° E')"
00:28:30,UAE201,ATC Instruction,Maintain present speed.,25000,433,263,"('28.7041° N', '77.1025° E')"
00:29:00,UAE201,Pilot Acknowledgment,"Turning left heading 229, UAE201.",10000,417,229,"('25.2532° N', '55.3657° E')"
00:29:30,UAE201,ATC Instruction,"Turn left heading 125, vectors for traffic.",35000,430,125,"('26.0765° N', '56.2406° E')"
00:30:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",30000,476,5,"('40.6413° N', '-73.7781° W')"
00:30:30,UAE201,ATC Instruction,Maintain present speed.,15000,491,324,"('40.6413° N', '-73.7781° W')"
00:31:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 10000 feet, UAE201.",10000,479,10,"('28.7041° N', '77.1025° E')"
00:31:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",30000,459,30,"('25.2532° N', '55.3657° E')"
00:32:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,25000,402,253,"('26.0765° N', '56.2406° E')"
00:32:30,UAE201,ATC Instruction,Switch to ground control on 121.9.,10000,453,337,"('26.0765° N', '56.2406° E')"
00:33:00,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,30000,432,152,"('26.0765° N', '56.2406° E')"
00:33:30,UAE201,ATC Instruction,Maintain present speed.,10000,450,122,"('40.6413° N', '-73.7781° W')"
00:34:00,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",5000,427,11,"('28.7041° N', '77.1025° E')"
00:34:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL200.,20000,455,76,"('25.2532° N', '55.3657° E')"
00:35:00,UAE201,ATC Instruction,Climb and maintain 35000 feet.,35000,480,57,"('40.6413° N', '-73.7781° W')"
00:35:30,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",25000,404,359,"('34.0837° N', '74.7973° E')"
00:36:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 25000 feet, UAE201.",25000,464,305,"('28.7041° N', '77.1025° E')"
00:36:30,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",25000,482,289,"('34.0837° N', '74.7973° E')"
00:37:00,UAE201,Pilot Report,"Passing FL150, climbing to FL350.",15000,409,98,"('25.2532° N', '55.3657° E')"
00:37:30,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",35000,496,243,"('25.2532° N', '55.3657° E')"
00:38:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",35000,401,186,"('26.0765° N', '56.2406° E')"
00:38:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",25000,468,174,"('28.7041° N', '77.1025° E')"
00:39:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,10000,494,103,"('34.0837° N', '74.7973° E')"
00:39:30,UAE201,ATC Instruction,Climb to FL200 and maintain.,20000,435,105,"('28.7041° N', '77.1025° E')"
00:40:00,UAE201,Pilot Report,"Passing FL100, climbing to FL350.",10000,498,333,"('34.0837° N', '74.7973° E')"
00:40:30,UAE201,ATC Instruction,Expect holding at waypoint BRAVO.,30000,428,72,"('25.2532° N', '55.3657° E')"
00:41:00,UAE201,ATC Instruction,Climb and maintain 30000 feet.,30000,415,329,"('26.0765° N', '56.2406° E')"
00:41:30,UAE201,Pilot Acknowledgment,"Turning left heading 25, UAE201.",15000,459,25,"('28.7041° N', '77.1025° E')"
00:42:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",25000,469,130,"('40.6413° N', '-73.7781° W')"
00:42:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL350.,35000,487,83,"('26.0765° N', '56.2406° E')"
00:43:00,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",5000,460,307,"('25.2532° N', '55.3657° E')"
00:43:30,UAE201,Pilot Report,"Passing FL350, climbing to FL350.",35000,498,337,"('25.2532° N', '55.3657° E')"
00:44:00,UAE201,ATC Instruction,Contact departure on 124.7.,15000,464,278,"('26.0765° N', '56.2406° E')"
00:44:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,15000,449,341,"('25.2532° N', '55.3657° E')"
00:45:00,UAE201,ATC Instruction,"Turn left heading 135, vectors for traffic.",35000,433,135,"('40.6413° N', '-73.7781° W')"
00:45:30,UAE201,ATC Instruction,Climb and maintain 5000 feet.,5000,477,305,"('40.6413° N', '-73.7781° W')"
00:46:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,10000,454,74,"('28.7041° N', '77.1025° E')"
00:46:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,5000,400,58,"('34.0837° N', '74.7973° E')"
00:47:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,5000,458,272,"('40.6413° N', '-73.7781° W')"
00:47:30,UAE201,ATC Instruction,Proceed to final approach and maintain 5000 feet.,5000,460,196,"('40.6413° N', '-73.7781° W')"
00:48:00,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,35000,485,161,"('40.6413° N', '-73.7781° W')"
00:48:30,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,10000,473,92,"('40.6413° N', '-73.7781° W')"
00:49:00,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,25000,434,135,"('28.7041° N', '77.1025° E')"
00:49:30,UAE201,ATC Instruction,Proceed to final approach and maintain 10000 feet.,10000,464,195,"('25.2532° N', '55.3657° E')"
00:50:00,UAE201,Pilot Acknowledgment,"Proceeding direct to ALPHA, UAE201.",5000,435,331,"('28.7041° N', '77.1025° E')"
00:50:30,UAE201,ATC Instruction,Expect holding at waypoint BRAVO.,15000,452,63,"('40.6413° N', '-73.7781° W')"
00:51:00,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,10000,469,164,"('34.0837° N', '74.7973° E')"
00:51:30,UAE201,ATC Instruction,Descend to 30000 feet and prepare for approach.,30000,431,56,"('28.7041° N', '77.1025° E')"
00:52:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL50.,5000,424,159,"('28.7041° N', '77.1025° E')"
00:52:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,35000,478,150,"('40.6413° N', '-73.7781° W')"
00:53:00,UAE201,Pilot Report,"Passing FL50, climbing to FL350.",5000,431,30,"('26.0765° N', '56.2406° E')"
00:53:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 5000 feet, UAE201.",5000,473,4,"('26.0765° N', '56.2406° E')"
00:54:00,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",25000,451,319,"('34.0837° N', '74.7973° E')"
00:54:30,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",35000,445,117,"('28.7041° N', '77.1025° E')"
00:55:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",15000,474,173,"('40.6413° N', '-73.7781° W')"
00:55:30,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,473,71,"('28.7041° N', '77.1025° E')"
00:56:00,UAE201,ATC Instruction,Climb and maintain 10000 feet.,10000,402,101,"('40.6413° N', '-73.7781° W')"
00:56:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",5000,441,243,"('28.7041° N', '77.1025° E')"
00:57:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",30000,442,263,"('26.0765° N', '56.2406° E')"
00:57:30,UAE201,ATC Instruction,Hold short of runway 12R.,10000,446,78,"('25.2532° N', '55.3657° E')"
00:58:00,UAE201,ATC Instruction,"Descend and maintain 15000 feet, expect ILS approach runway 27.",15000,455,352,"('40.6413° N', '-73.7781° W')"
00:58:30,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,10000,468,37,"('26.0765° N', '56.2406° E')"
00:59:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 25000 feet, UAE201.",25000,419,146,"('34.0837° N', '74.7973° E')"
00:59:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",15000,489,83,"('28.7041° N', '77.1025° E')"
01:00:00,UAE201,Pilot Acknowledgment,"Climb and maintain 10000 feet, UAE201.",10000,476,232,"('26.0765° N', '56.2406° E')"
01:00:30,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",15000,430,0,"('34.0837° N', '74.7973° E')"
01:01:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,35000,413,147,"('25.2532° N', '55.3657° E')"
01:01:30,UAE201,ATC Instruction,"Descend and maintain 20000 feet, expect ILS approach runway 27.",20000,420,355,"('34.0837° N', '74.7973° E')"
01:02:00,UAE201,ATC Instruction,Contact departure on 124.7.,15000,434,227,"('26.0765° N', '56.2406° E')"
01:02:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",25000,457,271,"('26.0765° N', '56.2406° E')"
01:03:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",35000,405,309,"('40.6413° N', '-73.7781° W')"
01:03:30,UAE201,Pilot Report,"Passing FL150, climbing to FL350.",15000,485,95,"('28.7041° N', '77.1025° E')"
01:04:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",35000,450,229,"('40.6413° N', '-73.7781° W')"
01:04:30,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",5000,495,251,"('40.6413° N', '-73.7781° W')"
01:05:00,UAE201,Pilot Acknowledgment,"Descending to 25000 feet, UAE201.",25000,409,296,"('25.2532° N', '55.3657° E')"
01:05:30,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,25000,419,13,"('34.0837° N', '74.7973° E')"
01:06:00,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,467,208,"('25.2532° N', '55.3657° E')"
01:06:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",20000,424,250,"('40.6413° N', '-73.7781° W')"
01:07:00,UAE201,ATC Instruction,Switch to ground control on 121.9.,10000,426,218,"('25.2532° N', '55.3657° E')"
01:07:30,UAE201,ATC Instruction,Expect holding at waypoint BRAVO.,5000,415,75,"('34.0837° N', '74.7973° E')"
01:08:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 10000 feet, UAE201.",10000,492,153,"('26.0765° N', '56.2406° E')"
01:08:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL350.,35000,435,144,"('40.6413° N', '-73.7781° W')"
01:09:00,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,452,198,"('25.2532° N', '55.3657° E')"
01:09:30,UAE201,ATC Instruction,Switch to ground control on 121.9.,35000,432,341,"('26.0765° N', '56.2406° E')"
01:10:00,UAE201,Pilot Acknowledgment,"Climb and maintain 25000 feet, UAE201.",25000,400,18,"('26.0765° N', '56.2406° E')"
01:10:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,35000,421,250,"('26.0765° N', '56.2406° E')"
01:11:00,UAE201,Pilot Acknowledgment,"Descending to 5000 feet, UAE201.",5000,413,220,"('25.2532° N', '55.3657° E')"
01:11:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",5000,482,243,"('26.0765° N', '56.2406° E')"
01:12:00,UAE201,Pilot Acknowledgment,"Climb and maintain 15000 feet, UAE201.",15000,471,255,"('40.6413° N', '-73.7781° W')"
01:12:30,UAE201,ATC Instruction,Hold short of runway 12R.,25000,487,2,"('34.0837° N', '74.7973° E')"
01:13:00,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",5000,439,143,"('28.7041° N', '77.1025° E')"
01:13:30,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,30000,431,180,"('25.2532° N', '55.3657° E')"
01:14:00,UAE201,ATC Instruction,Proceed to final approach and maintain 30000 feet.,30000,449,200,"('40.6413° N', '-73.7781° W')"
01:14:30,UAE201,Pilot Report,"Passing FL250, climbing to FL350.",25000,419,142,"('26.0765° N', '56.2406° E')"
01:15:00,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,10000,415,334,"('34.0837° N', '74.7973° E')"
01:15:30,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,10000,459,220,"('25.2532° N', '55.3657° E')"
01:16:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",35000,456,92,"('28.7041° N', '77.1025° E')"
01:16:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",35000,414,40,"('28.7041° N', '77.1025° E')"
01:17:00,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",30000,472,42,"('25.2532° N', '55.3657° E')"
01:17:30,UAE201,ATC Instruction,Descend to 10000 feet and prepare for approach.,10000,483,286,"('40.6413° N', '-73.7781° W')"
01:18:00,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",10000,476,179,"('40.6413° N', '-73.7781° W')"
01:18:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",10000,410,11,"('25.2532° N', '55.3657° E')"
01:19:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",5000,498,28,"('40.6413° N', '-73.7781° W')"
01:19:30,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",20000,436,283,"('25.2532° N', '55.3657° E')"
01:20:00,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",5000,401,358,"('40.6413° N', '-73.7781° W')"
01:20:30,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,30000,443,62,"('28.7041° N', '77.1025° E')"
01:21:00,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",35000,411,119,"('34.0837° N', '74.7973° E')"
01:21:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",35000,468,181,"('34.0837° N', '74.7973° E')"
01:22:00,UAE201,Pilot Acknowledgment,"Climbing to FL250, UAE201.",25000,438,255,"('26.0765° N', '56.2406° E')"
01:22:30,UAE201,Pilot Acknowledgment,"Turning left heading 252, UAE201.",35000,446,252,"('34.0837° N', '74.7973° E')"
01:23:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",35000,411,13,"('25.2532° N', '55.3657° E')"
01:23:30,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,30000,400,244,"('40.6413° N', '-73.7781° W')"
01:24:00,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,15000,475,175,"('40.6413° N', '-73.7781° W')"
01:24:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",5000,496,143,"('28.7041° N', '77.1025° E')"
01:25:00,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,15000,426,241,"('28.7041° N', '77.1025° E')"
01:25:30,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,495,109,"('26.0765° N', '56.2406° E')"
01:26:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",15000,495,341,"('34.0837° N', '74.7973° E')"
01:26:30,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",15000,456,87,"('28.7041° N', '77.1025° E')"
01:27:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 25000 feet, UAE201.",25000,468,294,"('40.6413° N', '-73.7781° W')"
01:27:30,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,25000,451,215,"('40.6413° N', '-73.7781° W')"
01:28:00,UAE201,Pilot Acknowledgment,"Turning left heading 30, UAE201.",20000,499,30,"('28.7041° N', '77.1025° E')"
01:28:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",15000,452,157,"('26.0765° N', '56.2406° E')"
01:29:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",30000,446,210,"('25.2532° N', '55.3657° E')"
01:29:30,UAE201,Pilot Acknowledgment,"Turning left heading 49, UAE201.",10000,454,49,"('28.7041° N', '77.1025° E')"
01:30:00,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",5000,427,189,"('28.7041° N', '77.1025° E')"
01:30:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",35000,430,208,"('26.0765° N', '56.2406° E')"
01:31:00,UAE201,ATC Instruction,Proceed to final approach and maintain 10000 feet.,10000,409,309,"('40.6413° N', '-73.7781° W')"
01:31:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,25000,446,92,"('28.7041° N', '77.1025° E')"
01:32:00,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,20000,495,165,"('26.0765° N', '56.2406° E')"
01:32:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",25000,457,120,"('26.0765° N', '56.2406° E')"
01:33:00,UAE201,Pilot Acknowledgment,"Turning left heading 74, UAE201.",15000,409,74,"('26.0765° N', '56.2406° E')"
01:33:30,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,30000,464,333,"('40.6413° N', '-73.7781° W')"
01:34:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",25000,426,236,"('28.7041° N', '77.1025° E')"
01:34:30,UAE201,ATC Instruction,Proceed to final approach and maintain 35000 feet.,35000,462,289,"('40.6413° N', '-73.7781° W')"
01:35:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",5000,412,205,"('34.0837° N', '74.7973° E')"
01:35:30,UAE201,ATC Instruction,Descend to 15000 feet and prepare for approach.,15000,453,173,"('25.2532° N', '55.3657° E')"
01:36:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",35000,402,264,"('34.0837° N', '74.7973° E')"
01:36:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 30000 feet, UAE201.",30000,492,95,"('26.0765° N', '56.2406° E')"
01:37:00,UAE201,ATC Instruction,"Turn left heading 61, vectors for traffic.",25000,475,61,"('34.0837° N', '74.7973° E')"
01:37:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,25000,448,232,"('28.7041° N', '77.1025° E')"
01:38:00,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",5000,469,106,"('40.6413° N', '-73.7781° W')"
01:38:30,UAE201,ATC Instruction,Descend to 20000 feet and prepare for approach.,20000,441,108,"('25.2532° N', '55.3657° E')"
01:39:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",10000,496,215,"('26.0765° N', '56.2406° E')"
01:39:30,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,35000,400,332,"('34.0837° N', '74.7973° E')"
01:40:00,UAE201,Pilot Acknowledgment,"Climb and maintain 25000 feet, UAE201.",25000,426,29,"('28.7041° N', '77.1025° E')"
01:40:30,UAE201,Pilot Acknowledgment,"Turning left heading 114, UAE201.",30000,422,114,"('34.0837° N', '74.7973° E')"
01:41:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",30000,402,122,"('28.7041° N', '77.1025° E')"
01:41:30,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,5000,438,129,"('26.0765° N', '56.2406° E')"
01:42:00,UAE201,Pilot Acknowledgment,"Descending to 35000 feet, expect ILS runway 27, UAE201.",35000,404,292,"('34.0837° N', '74.7973° E')"
01:42:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",20000,459,61,"('34.0837° N', '74.7973° E')"
01:43:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",15000,483,232,"('28.7041° N', '77.1025° E')"
01:43:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,30000,408,142,"('28.7041° N', '77.1025° E')"
01:44:00,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",30000,430,107,"('25.2532° N', '55.3657° E')"
01:44:30,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,10000,492,136,"('34.0837° N', '74.7973° E')"
01:45:00,UAE201,ATC Instruction,Proceed to final approach and maintain 35000 feet.,35000,466,118,"('28.7041° N', '77.1025° E')"
01:45:30,UAE201,Pilot Acknowledgment,"Turning left heading 254, UAE201.",10000,459,254,"('40.6413° N', '-73.7781° W')"
01:46:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",30000,441,157,"('26.0765° N', '56.2406° E')"
01:46:30,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,15000,479,75,"('26.0765° N', '56.2406° E')"
01:47:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",30000,403,36,"('28.7041° N', '77.1025° E')"
