Time,Call Sign,Crew Status,Passenger Status,Actions Taken
00:16:00,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
00:16:30,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
00:17:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
00:17:30,UAE201,Normal,Unruly Passenger,None
00:18:00,UAE201,Fatigued,Normal,Emergency Landing Requested
00:18:30,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
00:19:00,UAE201,Normal,Normal,None
00:19:30,UAE201,Fatigued,Unruly Passenger,None
00:20:00,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
00:20:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
00:21:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
00:21:30,UAE201,Normal,Normal,Emergency Landing Requested
00:22:00,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
00:22:30,UAE201,Normal,Normal,None
00:23:00,UAE201,Normal,Normal,Emergency Landing Requested
00:23:30,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
00:24:00,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
00:24:30,UAE201,Normal,Unruly Passenger,None
00:25:00,UAE201,Normal,Normal,Emergency Landing Requested
00:25:30,UAE201,Normal,Medical Emergency,None
00:26:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
00:26:30,UAE201,Fatigued,Unruly Passenger,None
00:27:00,UAE201,Fatigued,Normal,Emergency Landing Requested
00:27:30,UAE201,Fatigued,Medical Emergency,None
00:28:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
00:28:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
00:29:00,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
00:29:30,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
00:30:00,UAE201,Fatigued,Unruly Passenger,None
00:30:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
00:31:00,UAE201,Normal,Normal,Crew Rotation Initiated
00:31:30,UAE201,Fatigued,Unruly Passenger,None
00:32:00,UAE201,Exceeded Duty Limits,Normal,None
00:32:30,UAE201,Fatigued,Normal,None
00:33:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
00:33:30,UAE201,Normal,Normal,Emergency Landing Requested
00:34:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
00:34:30,UAE201,Normal,Normal,None
00:35:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
00:35:30,UAE201,Exceeded Duty Limits,Normal,None
00:36:00,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
00:36:30,UAE201,Normal,Medical Emergency,Emergency Landing Requested
00:37:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
00:37:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
00:38:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Crew Rotation Initiated
00:38:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
00:39:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
00:39:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Crew Rotation Initiated
00:40:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
00:40:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
00:41:00,UAE201,Normal,Medical Emergency,Emergency Landing Requested
00:41:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
00:42:00,UAE201,Normal,Normal,Crew Rotation Initiated
00:42:30,UAE201,Exceeded Duty Limits,Unruly Passenger,None
00:43:00,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
00:43:30,UAE201,Fatigued,Normal,None
00:44:00,UAE201,Normal,Normal,None
00:44:30,UAE201,Normal,Medical Emergency,Emergency Landing Requested
00:45:00,UAE201,Normal,Unruly Passenger,None
00:45:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Crew Rotation Initiated
00:46:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
00:46:30,UAE201,Normal,Normal,None
00:47:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
00:47:30,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
00:48:00,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
00:48:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
00:49:00,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
00:49:30,UAE201,Exceeded Duty Limits,Unruly Passenger,None
00:50:00,UAE201,Normal,Unruly Passenger,None
00:50:30,UAE201,Normal,Normal,Emergency Landing Requested
00:51:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
00:51:30,UAE201,Normal,Medical Emergency,None
00:52:00,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
00:52:30,UAE201,Exceeded Duty Limits,Medical Emergency,None
00:53:00,UAE201,Normal,Normal,Emergency Landing Requested
00:53:30,UAE201,Normal,Normal,None
00:54:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
00:54:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
00:55:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
00:55:30,UAE201,Normal,Normal,Crew Rotation Initiated
00:56:00,UAE201,Normal,Normal,Emergency Landing Requested
00:56:30,UAE201,Normal,Normal,Crew Rotation Initiated
00:57:00,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
00:57:30,UAE201,Normal,Normal,None
00:58:00,UAE201,Fatigued,Unruly Passenger,None
00:58:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
00:59:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
00:59:30,UAE201,Exceeded Duty Limits,Unruly Passenger,None
01:00:00,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
01:00:30,UAE201,Normal,Medical Emergency,None
01:01:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
01:01:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
01:02:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
01:02:30,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
01:03:00,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
01:03:30,UAE201,Fatigued,Normal,None
01:04:00,UAE201,Exceeded Duty Limits,Normal,None
01:04:30,UAE201,Normal,Unruly Passenger,None
01:05:00,UAE201,Fatigued,Medical Emergency,None
01:05:30,UAE201,Normal,Unruly Passenger,None
01:06:00,UAE201,Fatigued,Unruly Passenger,None
01:06:30,UAE201,Normal,Medical Emergency,Emergency Landing Requested
01:07:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
01:07:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
01:08:00,UAE201,Normal,Medical Emergency,Emergency Landing Requested
01:08:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
01:09:00,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
01:09:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
01:10:00,UAE201,Normal,Medical Emergency,Emergency Landing Requested
01:10:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
01:11:00,UAE201,Fatigued,Medical Emergency,None
01:11:30,UAE201,Fatigued,Medical Emergency,None
01:12:00,UAE201,Fatigued,Normal,None
01:12:30,UAE201,Normal,Normal,Crew Rotation Initiated
01:13:00,UAE201,Fatigued,Normal,Emergency Landing Requested
01:13:30,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
01:14:00,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
01:14:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
01:15:00,UAE201,Fatigued,Medical Emergency,None
01:15:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
01:16:00,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
01:16:30,UAE201,Fatigued,Medical Emergency,None
01:17:00,UAE201,Normal,Medical Emergency,None
01:17:30,UAE201,Exceeded Duty Limits,Unruly Passenger,None
01:18:00,UAE201,Exceeded Duty Limits,Unruly Passenger,None
01:18:30,UAE201,Exceeded Duty Limits,Normal,None
01:19:00,UAE201,Exceeded Duty Limits,Normal,None
01:19:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
01:20:00,UAE201,Fatigued,Normal,Emergency Landing Requested
01:20:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
01:21:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
01:21:30,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
01:22:00,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
01:22:30,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
01:23:00,UAE201,Fatigued,Normal,None
01:23:30,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
01:24:00,UAE201,Normal,Medical Emergency,Emergency Landing Requested
01:24:30,UAE201,Normal,Unruly Passenger,None
01:25:00,UAE201,Normal,Normal,None
01:25:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
01:26:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Crew Rotation Initiated
01:26:30,UAE201,Fatigued,Medical Emergency,None
01:27:00,UAE201,Normal,Medical Emergency,Emergency Landing Requested
01:27:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
01:28:00,UAE201,Exceeded Duty Limits,Unruly Passenger,None
01:28:30,UAE201,Fatigued,Normal,Crew Rotation Initiated
01:29:00,UAE201,Fatigued,Normal,Emergency Landing Requested
01:29:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
01:30:00,UAE201,Fatigued,Normal,None
01:30:30,UAE201,Fatigued,Normal,Emergency Landing Requested
01:31:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
01:31:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
01:32:00,UAE201,Fatigued,Normal,None
01:32:30,UAE201,Fatigued,Normal,Emergency Landing Requested
01:33:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
01:33:30,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
01:34:00,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
01:34:30,UAE201,Fatigued,Medical Emergency,None
01:35:00,UAE201,Normal,Unruly Passenger,None
01:35:30,UAE201,Fatigued,Normal,Crew Rotation Initiated
01:36:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
01:36:30,UAE201,Normal,Normal,None
01:37:00,UAE201,Normal,Normal,Emergency Landing Requested
01:37:30,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
01:38:00,UAE201,Normal,Normal,None
01:38:30,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
01:39:00,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
01:39:30,UAE201,Normal,Medical Emergency,Emergency Landing Requested
01:40:00,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
01:40:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
01:41:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
01:41:30,UAE201,Fatigued,Unruly Passenger,None
01:42:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
01:42:30,UAE201,Normal,Medical Emergency,None
01:43:00,UAE201,Fatigued,Normal,Emergency Landing Requested
01:43:30,UAE201,Fatigued,Medical Emergency,None
01:44:00,UAE201,Fatigued,Normal,Emergency Landing Requested
01:44:30,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
01:45:00,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
01:45:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
01:46:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
01:46:30,UAE201,Fatigued,Normal,Crew Rotation Initiated
01:47:00,UAE201,Normal,Unruly Passenger,None
01:47:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
01:48:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
01:48:30,UAE201,Exceeded Duty Limits,Medical Emergency,None
01:49:00,UAE201,Fatigued,Normal,Emergency Landing Requested
01:49:30,UAE201,Normal,Normal,Crew Rotation Initiated
01:50:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
01:50:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
01:51:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
01:51:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
01:52:00,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
01:52:30,UAE201,Fatigued,Normal,None
01:53:00,UAE201,Normal,Normal,None
01:53:30,UAE201,Fatigued,Unruly Passenger,None
01:54:00,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
01:54:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
01:55:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
01:55:30,UAE201,Fatigued,Normal,Emergency Landing Requested
01:56:00,UAE201,Exceeded Duty Limits,Normal,None
01:56:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
01:57:00,UAE201,Normal,Normal,Emergency Landing Requested
01:57:30,UAE201,Fatigued,Normal,None
01:58:00,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
01:58:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
01:59:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
01:59:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
02:00:00,UAE201,Fatigued,Unruly Passenger,None
02:00:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
02:01:00,UAE201,Normal,Unruly Passenger,None
02:01:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
02:02:00,UAE201,Normal,Normal,Crew Rotation Initiated
02:02:30,UAE201,Normal,Normal,Crew Rotation Initiated
02:03:00,UAE201,Fatigued,Medical Emergency,None
02:03:30,UAE201,Fatigued,Unruly Passenger,None
02:04:00,UAE201,Fatigued,Medical Emergency,None
02:04:30,UAE201,Normal,Medical Emergency,Emergency Landing Requested
02:05:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
02:05:30,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
02:06:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
02:06:30,UAE201,Normal,Medical Emergency,None
02:07:00,UAE201,Normal,Medical Emergency,Emergency Landing Requested
02:07:30,UAE201,Fatigued,Normal,None
02:08:00,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
02:08:30,UAE201,Fatigued,Normal,Crew Rotation Initiated
02:09:00,UAE201,Fatigued,Normal,Emergency Landing Requested
02:09:30,UAE201,Exceeded Duty Limits,Normal,None
02:10:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
02:10:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
02:11:00,UAE201,Normal,Normal,Emergency Landing Requested
02:11:30,UAE201,Normal,Unruly Passenger,None
02:12:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
02:12:30,UAE201,Fatigued,Unruly Passenger,None
02:13:00,UAE201,Fatigued,Unruly Passenger,None
02:13:30,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
02:14:00,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
02:14:30,UAE201,Exceeded Duty Limits,Normal,None
02:15:00,UAE201,Normal,Medical Emergency,Emergency Landing Requested
02:15:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
02:16:00,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
02:16:30,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
02:17:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
02:17:30,UAE201,Fatigued,Normal,Crew Rotation Initiated
02:18:00,UAE201,Normal,Medical Emergency,None
02:18:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
02:19:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
02:19:30,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
02:20:00,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
02:20:30,UAE201,Normal,Medical Emergency,None
02:21:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
02:21:30,UAE201,Fatigued,Medical Emergency,None
02:22:00,UAE201,Normal,Normal,Crew Rotation Initiated
02:22:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
02:23:00,UAE201,Fatigued,Normal,Emergency Landing Requested
02:23:30,UAE201,Normal,Medical Emergency,None
02:24:00,UAE201,Normal,Unruly Passenger,None
02:24:30,UAE201,Normal,Normal,Crew Rotation Initiated
02:25:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
02:25:30,UAE201,Exceeded Duty Limits,Unruly Passenger,None
02:26:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
02:26:30,UAE201,Normal,Normal,Emergency Landing Requested
02:27:00,UAE201,Normal,Normal,None
02:27:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
02:28:00,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
02:28:30,UAE201,Fatigued,Unruly Passenger,None
02:29:00,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
02:29:30,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
02:30:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
02:30:30,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
02:31:00,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
02:31:30,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
02:32:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
02:32:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
02:33:00,UAE201,Exceeded Duty Limits,Normal,None
02:33:30,UAE201,Exceeded Duty Limits,Normal,None
02:34:00,UAE201,Normal,Medical Emergency,None
02:34:30,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
02:35:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
02:35:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
02:36:00,UAE201,Normal,Normal,Crew Rotation Initiated
02:36:30,UAE201,Normal,Normal,None
02:37:00,UAE201,Fatigued,Medical Emergency,None
02:37:30,UAE201,Fatigued,Medical Emergency,None
02:38:00,UAE201,Normal,Normal,Emergency Landing Requested
02:38:30,UAE201,Normal,Medical Emergency,Emergency Landing Requested
02:39:00,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
02:39:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
02:40:00,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
02:40:30,UAE201,Normal,Normal,Crew Rotation Initiated
02:41:00,UAE201,Fatigued,Unruly Passenger,None
02:41:30,UAE201,Fatigued,Normal,Emergency Landing Requested
02:42:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
02:42:30,UAE201,Normal,Medical Emergency,None
02:43:00,UAE201,Normal,Normal,None
02:43:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
02:44:00,UAE201,Fatigued,Unruly Passenger,None
02:44:30,UAE201,Normal,Normal,None
02:45:00,UAE201,Normal,Medical Emergency,Emergency Landing Requested
02:45:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
02:46:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
02:46:30,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
02:47:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
02:47:30,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
02:48:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
02:48:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Crew Rotation Initiated
02:49:00,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
02:49:30,UAE201,Fatigued,Unruly Passenger,None
02:50:00,UAE201,Normal,Normal,Crew Rotation Initiated
02:50:30,UAE201,Fatigued,Normal,Emergency Landing Requested
02:51:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
02:51:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
02:52:00,UAE201,Normal,Medical Emergency,None
02:52:30,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
02:53:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
02:53:30,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
02:54:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
02:54:30,UAE201,Fatigued,Normal,Emergency Landing Requested
02:55:00,UAE201,Fatigued,Unruly Passenger,None
02:55:30,UAE201,Exceeded Duty Limits,Medical Emergency,None
02:56:00,UAE201,Normal,Unruly Passenger,None
02:56:30,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
02:57:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
02:57:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
02:58:00,UAE201,Normal,Normal,None
02:58:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
02:59:00,UAE201,Fatigued,Normal,None
02:59:30,UAE201,Normal,Normal,None
03:00:00,UAE201,Fatigued,Normal,Emergency Landing Requested
03:00:30,UAE201,Exceeded Duty Limits,Normal,Emergency Landing Requested
03:01:00,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
03:01:30,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
03:02:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
03:02:30,UAE201,Fatigued,Normal,Emergency Landing Requested
03:03:00,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
03:03:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
03:04:00,UAE201,Normal,Unruly Passenger,Emergency Landing Requested
03:04:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
03:05:00,UAE201,Exceeded Duty Limits,Normal,None
03:05:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
03:06:00,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
03:06:30,UAE201,Fatigued,Normal,Crew Rotation Initiated
03:07:00,UAE201,Exceeded Duty Limits,Unruly Passenger,Emergency Landing Requested
03:07:30,UAE201,Fatigued,Unruly Passenger,Emergency Landing Requested
03:08:00,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
03:08:30,UAE201,Normal,Normal,None
03:09:00,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
03:09:30,UAE201,Normal,Normal,Emergency Landing Requested
03:10:00,UAE201,Normal,Normal,Emergency Landing Requested
03:10:30,UAE201,Fatigued,Normal,Emergency Landing Requested
03:11:00,UAE201,Normal,Normal,Crew Rotation Initiated
03:11:30,UAE201,Fatigued,Normal,None
03:12:00,UAE201,Normal,Normal,Emergency Landing Requested
03:12:30,UAE201,Exceeded Duty Limits,Medical Emergency,Emergency Landing Requested
03:13:00,UAE201,Fatigued,Normal,None
03:13:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
03:14:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
03:14:30,UAE201,Normal,Normal,None
03:15:00,UAE201,Exceeded Duty Limits,Unruly Passenger,None
03:15:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
03:16:00,UAE201,Fatigued,Unruly Passenger,Crew Rotation Initiated
03:16:30,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
03:17:00,UAE201,Exceeded Duty Limits,Normal,None
03:17:30,UAE201,Normal,Unruly Passenger,None
03:18:00,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
03:18:30,UAE201,Exceeded Duty Limits,Medical Emergency,None
03:19:00,UAE201,Normal,Normal,None
03:19:30,UAE201,Normal,Unruly Passenger,Crew Rotation Initiated
03:20:00,UAE201,Normal,Unruly Passenger,None
03:20:30,UAE201,Fatigued,Medical Emergency,None
03:21:00,UAE201,Fatigued,Normal,Crew Rotation Initiated
03:21:30,UAE201,Exceeded Duty Limits,Unruly Passenger,Crew Rotation Initiated
03:22:00,UAE201,Exceeded Duty Limits,Medical Emergency,Crew Rotation Initiated
03:22:30,UAE201,Fatigued,Unruly Passenger,None
03:23:00,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
03:23:30,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
03:24:00,UAE201,Fatigued,Medical Emergency,Crew Rotation Initiated
03:24:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
03:25:00,UAE201,Fatigued,Normal,Emergency Landing Requested
03:25:30,UAE201,Normal,Normal,Crew Rotation Initiated
03:26:00,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
03:26:30,UAE201,Normal,Normal,None
03:27:00,UAE201,Exceeded Duty Limits,Medical Emergency,None
03:27:30,UAE201,Exceeded Duty Limits,Normal,Crew Rotation Initiated
03:28:00,UAE201,Exceeded Duty Limits,Unruly Passenger,None
03:28:30,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
03:29:00,UAE201,Normal,Medical Emergency,Crew Rotation Initiated
03:29:30,UAE201,Fatigued,Medical Emergency,Emergency Landing Requested
