Time,Call Sign,Current Fuel (kg),Expected Fuel Upon Arrival (kg),Fuel Consumption Rate (kg/h),Remarks
00:17:30,UAE201,14399,13865,4604,Normal fuel burn.
00:18:00,UAE201,10587,11470,3244,Normal fuel burn.
00:18:30,UAE201,18062,10995,4285,Normal fuel burn.
00:19:00,UAE201,28446,16588,2766,Normal fuel burn.
00:19:30,UAE201,24956,13109,2482,Normal fuel burn.
00:20:00,UAE201,9387,12900,2031,Normal fuel burn.
00:20:30,UAE201,6532,8652,3701,Normal fuel burn.
00:21:00,UAE201,17212,12930,3076,Normal fuel burn.
00:21:30,UAE201,10417,5635,2608,Normal fuel burn.
00:22:00,UAE201,26954,15527,4729,Normal fuel burn.
00:22:30,UAE201,18818,8642,4665,Normal fuel burn.
00:23:00,UAE201,5584,8793,2347,Normal fuel burn.
00:23:30,UAE201,11952,18587,3730,Normal fuel burn.
00:24:00,UAE201,13458,11090,2960,Normal fuel burn.
00:24:30,UAE201,6485,18310,2755,Normal fuel burn.
00:25:00,UAE201,15511,19037,3085,Normal fuel burn.
00:25:30,UAE201,13521,10941,2776,Normal fuel burn.
00:26:00,UAE201,15848,7319,2720,Normal fuel burn.
00:26:30,UAE201,18747,15381,2263,Normal fuel burn.
00:27:00,UAE201,16952,6916,3531,Normal fuel burn.
00:27:30,UAE201,24812,7784,3850,Normal fuel burn.
00:28:00,UAE201,12316,17854,4016,Normal fuel burn.
00:28:30,UAE201,25285,13691,4564,Normal fuel burn.
00:29:00,UAE201,17255,13292,2093,Normal fuel burn.
00:29:30,UAE201,15184,12938,3301,Normal fuel burn.
00:30:00,UAE201,20764,17126,3415,Normal fuel burn.
00:30:30,UAE201,19681,16250,3588,Normal fuel burn.
00:31:00,UAE201,20444,5792,4174,Normal fuel burn.
00:31:30,UAE201,23803,6374,2096,Normal fuel burn.
00:32:00,UAE201,26115,14995,2890,Normal fuel burn.
00:32:30,UAE201,26491,8807,3510,Normal fuel burn.
00:33:00,UAE201,25667,16813,4239,Normal fuel burn.
00:33:30,UAE201,14361,14833,4380,Normal fuel burn.
00:34:00,UAE201,6163,7316,4728,Normal fuel burn.
00:34:30,UAE201,28129,5147,3112,Normal fuel burn.
00:35:00,UAE201,10439,19754,2887,Normal fuel burn.
00:35:30,UAE201,21786,12838,2668,Normal fuel burn.
00:36:00,UAE201,22967,16431,4824,Normal fuel burn.
00:36:30,UAE201,20824,18594,4226,Normal fuel burn.
00:37:00,UAE201,5684,19473,3736,Normal fuel burn.
00:37:30,UAE201,28444,15358,3195,Normal fuel burn.
00:38:00,UAE201,23383,5030,3812,Normal fuel burn.
00:38:30,UAE201,25873,9818,3653,Normal fuel burn.
00:39:00,UAE201,10738,11670,2111,Normal fuel burn.
00:39:30,UAE201,12635,7008,2292,Normal fuel burn.
00:40:00,UAE201,15180,8026,2302,Normal fuel burn.
00:40:30,UAE201,5055,7449,3302,Normal fuel burn.
00:41:00,UAE201,18902,8757,4441,Normal fuel burn.
00:41:30,UAE201,5307,13510,3561,Normal fuel burn.
00:42:00,UAE201,21127,12431,3563,Normal fuel burn.
00:42:30,UAE201,18223,5224,4555,Normal fuel burn.
00:43:00,UAE201,21677,5895,3323,Normal fuel burn.
00:43:30,UAE201,9672,9151,3075,Normal fuel burn.
00:44:00,UAE201,23162,11306,3413,Normal fuel burn.
00:44:30,UAE201,23918,15258,4116,Normal fuel burn.
00:45:00,UAE201,22454,6796,3934,Normal fuel burn.
00:45:30,UAE201,25166,16720,4651,Normal fuel burn.
00:46:00,UAE201,28843,15408,4088,Normal fuel burn.
00:46:30,UAE201,21786,19232,4944,Normal fuel burn.
00:47:00,UAE201,19234,13202,3234,Normal fuel burn.
00:47:30,UAE201,16630,12909,2877,Normal fuel burn.
00:48:00,UAE201,15174,15730,2811,Normal fuel burn.
00:48:30,UAE201,22710,7149,4312,Normal fuel burn.
00:49:00,UAE201,5103,19978,3727,Normal fuel burn.
00:49:30,UAE201,29408,6297,2125,Normal fuel burn.
00:50:00,UAE201,29417,7289,2358,Normal fuel burn.
00:50:30,UAE201,21965,12129,3809,Normal fuel burn.
00:51:00,UAE201,6490,7471,3136,Normal fuel burn.
00:51:30,UAE201,10727,16433,4675,Normal fuel burn.
00:52:00,UAE201,8840,7610,3267,Normal fuel burn.
00:52:30,UAE201,18377,19107,2329,Normal fuel burn.
00:53:00,UAE201,23543,19565,2936,Normal fuel burn.
00:53:30,UAE201,27150,6902,4304,Normal fuel burn.
00:54:00,UAE201,20145,14266,3179,Normal fuel burn.
00:54:30,UAE201,26345,18008,4013,Normal fuel burn.
00:55:00,UAE201,24477,6272,4960,Normal fuel burn.
00:55:30,UAE201,13764,5537,4035,Normal fuel burn.
00:56:00,UAE201,18271,19955,3414,Normal fuel burn.
00:56:30,UAE201,14554,18078,2556,Normal fuel burn.
00:57:00,UAE201,26514,6089,2412,Normal fuel burn.
00:57:30,UAE201,14436,16017,3243,Normal fuel burn.
00:58:00,UAE201,9284,7292,2769,Normal fuel burn.
00:58:30,UAE201,19145,14945,3280,Normal fuel burn.
00:59:00,UAE201,25749,7253,4941,Normal fuel burn.
00:59:30,UAE201,28114,6337,3890,Normal fuel burn.
01:00:00,UAE201,15825,15588,4680,Normal fuel burn.
01:00:30,UAE201,6756,19630,3893,Normal fuel burn.
01:01:00,UAE201,9087,11639,3142,Normal fuel burn.
01:01:30,UAE201,25434,19493,2532,Normal fuel burn.
01:02:00,UAE201,24480,9116,4169,Normal fuel burn.
01:02:30,UAE201,14899,18897,4716,Normal fuel burn.
01:03:00,UAE201,25935,10768,4968,Normal fuel burn.
01:03:30,UAE201,29643,11799,4637,Normal fuel burn.
01:04:00,UAE201,16427,16269,3691,Normal fuel burn.
01:04:30,UAE201,20054,5937,2361,Normal fuel burn.
01:05:00,UAE201,19954,19118,4752,Normal fuel burn.
01:05:30,UAE201,19486,18976,2750,Normal fuel burn.
01:06:00,UAE201,10271,11249,4884,Normal fuel burn.
01:06:30,UAE201,23068,16419,2082,Normal fuel burn.
01:07:00,UAE201,8416,13100,4842,Normal fuel burn.
01:07:30,UAE201,11673,12221,2927,Normal fuel burn.
01:08:00,UAE201,21766,19822,2228,Normal fuel burn.
01:08:30,UAE201,17075,19202,3433,Normal fuel burn.
01:09:00,UAE201,20553,18539,3886,Normal fuel burn.
01:09:30,UAE201,8420,6490,4328,Normal fuel burn.
01:10:00,UAE201,22346,8562,2963,Normal fuel burn.
01:10:30,UAE201,6238,8594,3184,Normal fuel burn.
01:11:00,UAE201,5462,18265,3804,Normal fuel burn.
01:11:30,UAE201,7804,17820,2693,Normal fuel burn.
01:12:00,UAE201,6626,7670,4829,Normal fuel burn.
01:12:30,UAE201,8101,9693,3537,Normal fuel burn.
01:13:00,UAE201,7602,9963,4856,Normal fuel burn.
01:13:30,UAE201,20992,15002,3079,Normal fuel burn.
01:14:00,UAE201,5948,12808,2260,Normal fuel burn.
01:14:30,UAE201,12383,14350,4738,Normal fuel burn.
01:15:00,UAE201,18951,17764,2400,Normal fuel burn.
01:15:30,UAE201,20262,18567,4076,Normal fuel burn.
01:16:00,UAE201,13643,14879,3136,Normal fuel burn.
01:16:30,UAE201,24306,9384,2288,Normal fuel burn.
01:17:00,UAE201,14759,18539,4707,Normal fuel burn.
01:17:30,UAE201,17791,17098,2662,Normal fuel burn.
01:18:00,UAE201,13523,6451,2923,Normal fuel burn.
01:18:30,UAE201,17148,10710,2859,Normal fuel burn.
01:19:00,UAE201,12737,16891,2409,Normal fuel burn.
01:19:30,UAE201,27748,5606,3918,Normal fuel burn.
01:20:00,UAE201,9559,16207,2249,Normal fuel burn.
01:20:30,UAE201,8219,12765,3980,Normal fuel burn.
01:21:00,UAE201,25774,7676,4829,Normal fuel burn.
01:21:30,UAE201,16012,11992,3984,Normal fuel burn.
01:22:00,UAE201,27175,7688,2185,Normal fuel burn.
01:22:30,UAE201,18371,14145,4406,Normal fuel burn.
01:23:00,UAE201,18285,9603,2802,Normal fuel burn.
01:23:30,UAE201,28996,10347,3222,Normal fuel burn.
01:24:00,UAE201,17708,9617,4234,Normal fuel burn.
01:24:30,UAE201,8021,18341,3507,Normal fuel burn.
01:25:00,UAE201,8965,7144,4203,Normal fuel burn.
01:25:30,UAE201,10959,19142,2854,Normal fuel burn.
01:26:00,UAE201,8461,18985,4978,Normal fuel burn.
01:26:30,UAE201,22364,15922,3649,Normal fuel burn.
01:27:00,UAE201,20620,19281,2876,Normal fuel burn.
01:27:30,UAE201,23804,6230,3103,Normal fuel burn.
01:28:00,UAE201,29856,9568,4113,Normal fuel burn.
01:28:30,UAE201,29272,11022,4433,Normal fuel burn.
01:29:00,UAE201,29264,12096,2664,Normal fuel burn.
01:29:30,UAE201,19440,12484,3425,Normal fuel burn.
01:30:00,UAE201,18757,14966,4209,Normal fuel burn.
01:30:30,UAE201,21483,19960,4086,Normal fuel burn.
01:31:00,UAE201,20907,6454,2743,Normal fuel burn.
01:31:30,UAE201,22163,15186,2052,Normal fuel burn.
01:32:00,UAE201,21075,13670,3268,Normal fuel burn.
01:32:30,UAE201,12995,11478,2538,Normal fuel burn.
01:33:00,UAE201,9629,6395,4808,Normal fuel burn.
01:33:30,UAE201,9660,8799,4318,Normal fuel burn.
01:34:00,UAE201,11075,14379,4164,Normal fuel burn.
01:34:30,UAE201,16322,12798,2183,Normal fuel burn.
01:35:00,UAE201,7934,18558,4002,Normal fuel burn.
01:35:30,UAE201,28176,17063,4535,Normal fuel burn.
01:36:00,UAE201,17766,19239,2887,Normal fuel burn.
01:36:30,UAE201,28517,14125,2873,Normal fuel burn.
01:37:00,UAE201,23188,11616,4047,Normal fuel burn.
01:37:30,UAE201,11708,8609,3152,Normal fuel burn.
01:38:00,UAE201,22082,12390,4953,Normal fuel burn.
01:38:30,UAE201,20483,5627,2586,Normal fuel burn.
01:39:00,UAE201,25800,11909,4280,Normal fuel burn.
01:39:30,UAE201,23092,16720,4883,Normal fuel burn.
01:40:00,UAE201,21850,13494,3383,Normal fuel burn.
01:40:30,UAE201,20422,11785,3278,Normal fuel burn.
01:41:00,UAE201,18054,16046,2227,Normal fuel burn.
01:41:30,UAE201,29011,17993,3006,Normal fuel burn.
01:42:00,UAE201,17139,15633,2624,Normal fuel burn.
01:42:30,UAE201,11723,18635,3458,Normal fuel burn.
01:43:00,UAE201,26922,17133,4266,Normal fuel burn.
01:43:30,UAE201,11855,17210,3628,Normal fuel burn.
01:44:00,UAE201,6988,6884,2200,Normal fuel burn.
01:44:30,UAE201,28206,10351,2992,Normal fuel burn.
01:45:00,UAE201,17377,7375,2486,Normal fuel burn.
01:45:30,UAE201,7193,7020,4808,Normal fuel burn.
01:46:00,UAE201,13255,5521,3701,Normal fuel burn.
01:46:30,UAE201,23392,8279,3951,Normal fuel burn.
01:47:00,UAE201,5547,14866,2377,Normal fuel burn.
01:47:30,UAE201,11283,16923,3638,Normal fuel burn.
01:48:00,UAE201,15768,9026,4525,Normal fuel burn.
01:48:30,UAE201,26460,17364,3033,Normal fuel burn.
01:49:00,UAE201,20219,13826,2137,Normal fuel burn.
01:49:30,UAE201,7063,10544,2957,Normal fuel burn.
01:50:00,UAE201,22637,14494,2739,Normal fuel burn.
01:50:30,UAE201,10829,5995,3273,Normal fuel burn.
01:51:00,UAE201,12208,13497,2477,Normal fuel burn.
01:51:30,UAE201,12228,11339,4288,Normal fuel burn.
01:52:00,UAE201,17733,19673,4397,Normal fuel burn.
01:52:30,UAE201,13210,9462,2654,Normal fuel burn.
01:53:00,UAE201,11737,10333,2274,Normal fuel burn.
01:53:30,UAE201,24021,9510,4566,Normal fuel burn.
01:54:00,UAE201,25375,18665,3177,Normal fuel burn.
01:54:30,UAE201,10304,19681,3211,Normal fuel burn.
01:55:00,UAE201,13467,7437,3007,Normal fuel burn.
01:55:30,UAE201,7999,12390,4378,Normal fuel burn.
01:56:00,UAE201,17258,10002,3046,Normal fuel burn.
01:56:30,UAE201,21599,19795,3013,Normal fuel burn.
01:57:00,UAE201,10963,5620,4747,Normal fuel burn.
01:57:30,UAE201,21894,6998,4909,Normal fuel burn.
01:58:00,UAE201,16539,12419,3107,Normal fuel burn.
01:58:30,UAE201,15951,19193,2491,Normal fuel burn.
01:59:00,UAE201,28457,11558,4282,Normal fuel burn.
01:59:30,UAE201,10897,8185,2013,Normal fuel burn.
02:00:00,UAE201,25342,7794,3547,Normal fuel burn.
02:00:30,UAE201,12491,14329,3033,Normal fuel burn.
02:01:00,UAE201,28203,18463,4642,Normal fuel burn.
02:01:30,UAE201,23732,11350,3252,Normal fuel burn.
02:02:00,UAE201,12493,12172,4021,Normal fuel burn.
02:02:30,UAE201,12409,7339,4825,Normal fuel burn.
02:03:00,UAE201,22225,5207,2052,Normal fuel burn.
02:03:30,UAE201,26983,11308,3979,Normal fuel burn.
02:04:00,UAE201,23194,16730,3359,Normal fuel burn.
02:04:30,UAE201,22532,7991,2410,Normal fuel burn.
02:05:00,UAE201,26641,8211,3204,Normal fuel burn.
02:05:30,UAE201,29534,11449,3633,Normal fuel burn.
02:06:00,UAE201,24795,8075,2472,Normal fuel burn.
02:06:30,UAE201,16903,10732,3432,Normal fuel burn.
02:07:00,UAE201,24923,9929,4049,Normal fuel burn.
02:07:30,UAE201,27911,5917,2568,Normal fuel burn.
02:08:00,UAE201,25659,12355,4337,Normal fuel burn.
02:08:30,UAE201,29520,9915,2139,Normal fuel burn.
02:09:00,UAE201,14783,19849,2825,Normal fuel burn.
02:09:30,UAE201,8527,9579,2400,Normal fuel burn.
02:10:00,UAE201,10985,15444,4854,Normal fuel burn.
02:10:30,UAE201,9167,9899,4292,Normal fuel burn.
02:11:00,UAE201,25459,9326,4249,Normal fuel burn.
02:11:30,UAE201,16317,5203,4956,Normal fuel burn.
02:12:00,UAE201,25489,17808,3068,Normal fuel burn.
02:12:30,UAE201,25163,15801,3045,Normal fuel burn.
02:13:00,UAE201,9049,8297,3685,Normal fuel burn.
02:13:30,UAE201,18328,8378,3218,Normal fuel burn.
02:14:00,UAE201,27877,5165,4185,Normal fuel burn.
02:14:30,UAE201,11819,11094,4974,Normal fuel burn.
02:15:00,UAE201,8386,7465,4534,Normal fuel burn.
02:15:30,UAE201,7916,5858,3491,Normal fuel burn.
02:16:00,UAE201,8749,19801,2885,Normal fuel burn.
02:16:30,UAE201,10445,11257,3837,Normal fuel burn.
02:17:00,UAE201,20340,13912,4460,Normal fuel burn.
02:17:30,UAE201,8064,8665,3177,Normal fuel burn.
02:18:00,UAE201,13061,18692,4166,Normal fuel burn.
02:18:30,UAE201,27812,5583,2978,Normal fuel burn.
02:19:00,UAE201,11220,18863,4332,Normal fuel burn.
02:19:30,UAE201,10546,9213,2547,Normal fuel burn.
02:20:00,UAE201,13974,6768,3864,Normal fuel burn.
02:20:30,UAE201,22433,11965,3495,Normal fuel burn.
02:21:00,UAE201,26011,19471,4386,Normal fuel burn.
02:21:30,UAE201,11391,17910,2461,Normal fuel burn.
02:22:00,UAE201,15492,9247,3853,Normal fuel burn.
02:22:30,UAE201,24341,17836,3920,Normal fuel burn.
02:23:00,UAE201,8793,16171,3852,Normal fuel burn.
02:23:30,UAE201,5729,14790,3209,Normal fuel burn.
02:24:00,UAE201,10925,15703,4347,Normal fuel burn.
02:24:30,UAE201,14393,14759,4472,Normal fuel burn.
02:25:00,UAE201,5501,9021,2549,Normal fuel burn.
02:25:30,UAE201,24768,16618,4029,Normal fuel burn.
02:26:00,UAE201,9594,7738,3740,Normal fuel burn.
02:26:30,UAE201,5408,8631,4259,Normal fuel burn.
02:27:00,UAE201,26389,7775,3177,Normal fuel burn.
02:27:30,UAE201,20629,18435,2447,Normal fuel burn.
02:28:00,UAE201,25030,5795,3370,Normal fuel burn.
02:28:30,UAE201,16650,19383,3607,Normal fuel burn.
02:29:00,UAE201,5789,19880,4726,Normal fuel burn.
02:29:30,UAE201,11732,7606,4376,Normal fuel burn.
02:30:00,UAE201,24151,5312,3975,Normal fuel burn.
02:30:30,UAE201,17688,17930,2062,Normal fuel burn.
02:31:00,UAE201,24826,5188,3948,Normal fuel burn.
02:31:30,UAE201,7449,9453,4751,Normal fuel burn.
02:32:00,UAE201,20029,16545,4002,Normal fuel burn.
02:32:30,UAE201,15267,12286,4138,Normal fuel burn.
02:33:00,UAE201,8598,5318,3528,Normal fuel burn.
02:33:30,UAE201,15315,19891,2755,Normal fuel burn.
02:34:00,UAE201,5631,14536,4194,Normal fuel burn.
02:34:30,UAE201,18872,16018,3601,Normal fuel burn.
02:35:00,UAE201,5407,6481,3399,Normal fuel burn.
02:35:30,UAE201,19109,5463,4391,Normal fuel burn.
02:36:00,UAE201,7213,9121,2557,Normal fuel burn.
02:36:30,UAE201,9180,9913,2880,Normal fuel burn.
02:37:00,UAE201,19992,14441,2221,Normal fuel burn.
02:37:30,UAE201,12327,19038,4567,Normal fuel burn.
02:38:00,UAE201,5911,7292,3942,Normal fuel burn.
02:38:30,UAE201,28868,19864,3461,Normal fuel burn.
02:39:00,UAE201,21633,9417,4720,Normal fuel burn.
02:39:30,UAE201,8007,10351,2080,Normal fuel burn.
02:40:00,UAE201,24333,11295,4705,Normal fuel burn.
02:40:30,UAE201,27100,19423,4603,Normal fuel burn.
02:41:00,UAE201,8442,16970,3150,Normal fuel burn.
02:41:30,UAE201,5580,13338,4733,Normal fuel burn.
02:42:00,UAE201,22041,10167,2017,Normal fuel burn.
02:42:30,UAE201,5589,11010,3389,Normal fuel burn.
02:43:00,UAE201,25306,10390,2323,Normal fuel burn.
02:43:30,UAE201,25092,13532,3600,Normal fuel burn.
02:44:00,UAE201,18289,18345,4508,Normal fuel burn.
02:44:30,UAE201,22472,12322,3368,Normal fuel burn.
02:45:00,UAE201,23933,17359,3536,Normal fuel burn.
02:45:30,UAE201,23018,11678,2355,Normal fuel burn.
02:46:00,UAE201,18424,16225,2811,Normal fuel burn.
02:46:30,UAE201,24681,18168,4392,Normal fuel burn.
02:47:00,UAE201,10520,13022,2558,Normal fuel burn.
02:47:30,UAE201,28390,5501,2580,Normal fuel burn.
02:48:00,UAE201,25499,8300,3382,Normal fuel burn.
02:48:30,UAE201,11212,7311,4590,Normal fuel burn.
02:49:00,UAE201,18734,8219,3933,Normal fuel burn.
02:49:30,UAE201,22590,14683,3678,Normal fuel burn.
02:50:00,UAE201,26536,18985,2099,Normal fuel burn.
02:50:30,UAE201,26870,9518,3776,Normal fuel burn.
02:51:00,UAE201,18441,5471,4119,Normal fuel burn.
02:51:30,UAE201,14493,19488,2793,Normal fuel burn.
02:52:00,UAE201,8830,12836,2734,Normal fuel burn.
02:52:30,UAE201,12717,13598,3325,Normal fuel burn.
02:53:00,UAE201,13176,19251,4784,Normal fuel burn.
02:53:30,UAE201,18005,16855,2880,Normal fuel burn.
02:54:00,UAE201,17047,9582,4091,Normal fuel burn.
02:54:30,UAE201,10112,13028,3610,Normal fuel burn.
02:55:00,UAE201,28488,12254,3906,Normal fuel burn.
02:55:30,UAE201,27717,19803,4882,Normal fuel burn.
02:56:00,UAE201,13335,18305,2394,Normal fuel burn.
02:56:30,UAE201,21719,12174,2328,Normal fuel burn.
02:57:00,UAE201,16684,7379,4425,Normal fuel burn.
02:57:30,UAE201,11079,8082,2601,Normal fuel burn.
02:58:00,UAE201,21224,5832,4404,Normal fuel burn.
02:58:30,UAE201,6708,9621,3824,Normal fuel burn.
02:59:00,UAE201,16044,6662,4521,Normal fuel burn.
02:59:30,UAE201,13684,16150,3145,Normal fuel burn.
03:00:00,UAE201,24088,18003,4330,Normal fuel burn.
03:00:30,UAE201,7930,11039,3054,Normal fuel burn.
03:01:00,UAE201,11356,6559,2230,Normal fuel burn.
03:01:30,UAE201,8892,14257,4753,Normal fuel burn.
03:02:00,UAE201,8635,18019,2994,Normal fuel burn.
03:02:30,UAE201,9259,9338,3831,Normal fuel burn.
03:03:00,UAE201,10710,5318,4321,Normal fuel burn.
03:03:30,UAE201,12291,11702,2689,Normal fuel burn.
03:04:00,UAE201,7853,19232,4839,Normal fuel burn.
03:04:30,UAE201,22509,11714,2525,Normal fuel burn.
03:05:00,UAE201,17037,7315,3318,Normal fuel burn.
03:05:30,UAE201,28436,19784,2548,Normal fuel burn.
03:06:00,UAE201,12800,17219,2929,Normal fuel burn.
03:06:30,UAE201,15382,12739,3174,Normal fuel burn.
03:07:00,UAE201,21529,9766,4126,Normal fuel burn.
03:07:30,UAE201,22108,9420,4266,Normal fuel burn.
03:08:00,UAE201,10133,8564,2697,Normal fuel burn.
03:08:30,UAE201,19733,18755,4588,Normal fuel burn.
03:09:00,UAE201,27643,8375,4697,Normal fuel burn.
03:09:30,UAE201,5961,10064,4990,Normal fuel burn.
03:10:00,UAE201,21791,7265,2186,Normal fuel burn.
03:10:30,UAE201,22304,19434,3787,Normal fuel burn.
03:11:00,UAE201,6333,7226,4575,Normal fuel burn.
03:11:30,UAE201,25831,16888,2219,Normal fuel burn.
03:12:00,UAE201,10079,18603,3689,Normal fuel burn.
03:12:30,UAE201,10041,7049,3257,Normal fuel burn.
03:13:00,UAE201,12580,16172,3604,Normal fuel burn.
03:13:30,UAE201,14113,15492,2550,Normal fuel burn.
03:14:00,UAE201,21224,11485,2348,Normal fuel burn.
03:14:30,UAE201,19039,8119,4946,Normal fuel burn.
03:15:00,UAE201,20341,9310,3772,Normal fuel burn.
03:15:30,UAE201,16417,9347,4975,Normal fuel burn.
03:16:00,UAE201,15898,6740,4780,Normal fuel burn.
03:16:30,UAE201,15552,6870,4811,Normal fuel burn.
03:17:00,UAE201,9579,14723,2098,Normal fuel burn.
03:17:30,UAE201,6097,17047,2674,Normal fuel burn.
03:18:00,UAE201,5215,16685,4242,Normal fuel burn.
03:18:30,UAE201,14427,9153,4185,Normal fuel burn.
03:19:00,UAE201,15371,5022,3435,Normal fuel burn.
03:19:30,UAE201,19465,17125,2842,Normal fuel burn.
03:20:00,UAE201,29617,14815,4981,Normal fuel burn.
03:20:30,UAE201,27011,12581,3727,Normal fuel burn.
03:21:00,UAE201,26566,16151,4033,Normal fuel burn.
03:21:30,UAE201,23706,15293,3971,Normal fuel burn.
03:22:00,UAE201,12191,13232,4121,Normal fuel burn.
03:22:30,UAE201,21743,12297,2089,Normal fuel burn.
03:23:00,UAE201,25906,19861,3750,Normal fuel burn.
03:23:30,UAE201,22548,10907,3692,Normal fuel burn.
03:24:00,UAE201,26361,6740,3676,Normal fuel burn.
03:24:30,UAE201,15445,7048,3492,Normal fuel burn.
03:25:00,UAE201,17107,16428,3567,Normal fuel burn.
03:25:30,UAE201,14232,12368,2106,Normal fuel burn.
03:26:00,UAE201,9767,16778,4289,Normal fuel burn.
03:26:30,UAE201,20166,15783,2019,Normal fuel burn.
03:27:00,UAE201,29900,16932,4073,Normal fuel burn.
03:27:30,UAE201,29601,17650,3952,Normal fuel burn.
03:28:00,UAE201,14526,5846,4603,Normal fuel burn.
03:28:30,UAE201,23893,12884,3659,Normal fuel burn.
03:29:00,UAE201,20416,11623,3495,Normal fuel burn.
03:29:30,UAE201,15599,13535,3612,Normal fuel burn.
03:30:00,UAE201,17576,11655,4706,Normal fuel burn.
03:30:30,UAE201,10632,19535,2685,Normal fuel burn.
03:31:00,UAE201,8373,5045,3838,Normal fuel burn.
03:31:30,UAE201,27339,19854,3214,Normal fuel burn.
03:32:00,UAE201,18618,10370,3439,Normal fuel burn.
03:32:30,UAE201,14594,9988,4852,Normal fuel burn.
03:33:00,UAE201,26989,6884,3010,Normal fuel burn.
03:33:30,UAE201,9577,16392,4242,Normal fuel burn.
03:34:00,UAE201,23136,16787,4775,Normal fuel burn.
03:34:30,UAE201,6681,14687,3360,Normal fuel burn.
03:35:00,UAE201,13467,18016,2405,Normal fuel burn.
03:35:30,UAE201,10768,14439,3378,Normal fuel burn.
03:36:00,UAE201,10694,19849,3193,Normal fuel burn.
03:36:30,UAE201,22080,5947,4622,Normal fuel burn.
03:37:00,UAE201,9203,5787,3727,Normal fuel burn.
03:37:30,UAE201,15053,14960,4175,Normal fuel burn.
03:38:00,UAE201,29753,13604,3877,Normal fuel burn.
03:38:30,UAE201,13055,8717,3567,Normal fuel burn.
03:39:00,UAE201,17999,7310,2438,Normal fuel burn.
03:39:30,UAE201,13660,16744,4138,Normal fuel burn.
03:40:00,UAE201,7024,14051,4543,Normal fuel burn.
03:40:30,UAE201,29670,14792,4815,Normal fuel burn.
03:41:00,UAE201,23297,13187,2046,Normal fuel burn.
03:41:30,UAE201,5436,15051,3874,Normal fuel burn.
03:42:00,UAE201,5880,7466,3900,Normal fuel burn.
03:42:30,UAE201,23703,18924,3659,Normal fuel burn.
03:43:00,UAE201,28003,15274,2223,Normal fuel burn.
03:43:30,UAE201,9608,17712,4707,Normal fuel burn.
03:44:00,UAE201,10895,7800,2029,Normal fuel burn.
03:44:30,UAE201,25351,8406,2826,Normal fuel burn.
03:45:00,UAE201,9308,8734,4777,Normal fuel burn.
03:45:30,UAE201,11140,6496,3466,Normal fuel burn.
03:46:00,UAE201,14358,7451,3216,Normal fuel burn.
03:46:30,UAE201,28459,12873,3035,Normal fuel burn.
03:47:00,UAE201,16263,5693,2972,Normal fuel burn.
03:47:30,UAE201,14164,5056,2272,Normal fuel burn.
03:48:00,UAE201,24338,14916,2412,Normal fuel burn.
03:48:30,UAE201,9786,6145,3746,Normal fuel burn.
03:49:00,UAE201,14113,8136,3867,Normal fuel burn.
03:49:30,UAE201,25398,12012,4305,Normal fuel burn.
03:50:00,UAE201,29067,8820,2095,Normal fuel burn.
03:50:30,UAE201,29207,15254,4757,Normal fuel burn.
